Entity,Year,Carbon Monoxide,NOx,Non-methane Volatile Organic Compounds (VOCs),PM₁₀,PM₂.₅,SO₂,Carbon Monoxide (Index),NOx (Index),Non-methane Volatile Organic Compounds (VOCs) (Index),PM₁₀ (Index),PM₂.₅ (Index),SO₂ (Index)
Australia,1990,,,,,,,100.00,100.00,,,,100.00
Australia,1991,,,,,,,100.33,98.48,,,,102.74
Australia,1992,,,,,,,102.93,101.31,,,,109.76
Australia,1993,,,,,,,106.87,103.97,,,,112.97
Australia,1994,,,,,,,109.33,104.08,,,,116.97
Australia,1995,,,,,,,106.62,104.49,,,,109.12
Australia,1996,,,,,,,109.66,107.67,,,,112.99
Australia,1997,,,,,,,109.93,110.96,,,,116.21
Australia,1998,,,,,,,103.83,113.26,,,,112.38
Australia,1999,,,,,,,100.53,115.11,,,,117.80
Australia,2000,,,,,,,94.78,115.82,,,,151.73
Australia,2001,,,,,,,90.46,121.16,,,,163.13
Australia,2002,,,,,,,85.25,125.58,,,,173.74
Australia,2003,,,,,,,77.26,130.49,,,,173.24
Australia,2004,,,,,,,78.52,133.67,,,,157.00
Australia,2005,,,,,,,68.94,135.24,,,,162.05
Australia,2006,,,,,,,66.01,135.26,,,,155.14
Australia,2007,,,,,,,58.08,136.87,,,,157.18
Australia,2008,,,,,,,56.06,140.04,,,,168.46
Australia,2009,,,,,,,54.97,138.68,,,,167.16
Australia,2010,,,,,,,52.02,146.32,,,,153.02
Australia,2011,,,,,,,51.13,140.73,,,,151.43
Australia,2012,,,,,,,50.65,150.18,,,,150.47
Australia,2013,,,,,,,48.98,155.31,,,,148.32
Australia,2014,,,,,,,47.50,155.69,,,,146.84
Australia,2015,,,,,,,46.66,157.22,,,,145.46
Austria,1990,,,,,,,100.00,100.00,,100.00,100.00,100.00
Austria,1991,,,,,,,99.96,103.86,,,,96.00
Austria,1992,,,,,,,94.53,97.75,,,,74.00
Austria,1993,,,,,,,89.41,93.30,,,,71.82
Austria,1994,,,,,,,84.32,90.64,,,,64.22
Austria,1995,,,,,,,76.72,90.38,,98.30,96.43,63.69
Austria,1996,,,,,,,77.15,98.28,,,,60.06
Austria,1997,,,,,,,71.75,93.02,,,,53.78
Austria,1998,,,,,,,68.77,98.53,,,,47.55
Austria,1999,,,,,,,60.85,94.67,,,,44.99
Austria,2000,,,,,,,60.97,97.10,,96.92,93.26,42.26
Austria,2001,,,,,,,59.22,101.57,,96.71,93.83,43.43
Austria,2002,,,,,,,56.68,104.08,,93.94,90.50,42.32
Austria,2003,,,,,,,57.04,107.90,,93.68,90.16,42.39
Austria,2004,,,,,,,55.55,106.48,,93.33,88.35,36.20
Austria,2005,,,,,,,53.34,107.37,,92.26,87.16,34.69
Austria,2006,,,,,,,51.69,100.90,,89.15,83.84,35.62
Austria,2007,,,,,,,48.69,96.02,,86.85,80.61,30.96
Austria,2008,,,,,,,46.84,88.81,,86.95,78.74,27.49
Austria,2009,,,,,,,44.18,81.47,,82.46,73.95,20.16
Austria,2010,,,,,,,45.17,81.54,,83.28,75.16,22.28
Austria,2011,,,,,,,43.75,77.10,,81.64,71.81,20.75
Austria,2012,,,,,,,43.78,73.97,,80.44,70.40,20.08
Austria,2013,,,,,,,45.37,73.88,,81.21,71.35,19.91
Austria,2014,,,,,,,41.69,68.78,,76.66,64.27,19.69
Austria,2015,,,,,,,43.92,67.00,,77.66,65.66,19.86
Belgium,1990,,,,,,,100.00,100.00,,,,100.00
Belgium,1991,,,,,,,97.12,97.39,,,,100.67
Belgium,1992,,,,,,,95.15,94.71,,,,98.26
Belgium,1993,,,,,,,89.02,93.28,,,,91.24
Belgium,1994,,,,,,,80.95,93.26,,,,79.52
Belgium,1995,,,,,,,79.91,92.91,,,,70.57
Belgium,1996,,,,,,,78.18,90.30,,,,67.92
Belgium,1997,,,,,,,71.14,87.44,,,,61.54
Belgium,1998,,,,,,,68.13,88.35,,,,58.30
Belgium,1999,,,,,,,62.71,82.21,,,,47.40
Belgium,2000,,,,,,,66.76,83.32,,,,47.25
Belgium,2001,,,,,,,63.47,80.97,,,,45.49
Belgium,2002,,,,,,,62.62,78.08,,,,42.81
