Entity,Year,Beer (NIAAA),Wine (NIAAA),Spirits (NIAAA),All beverages (NIAAA)
United States,1850,0.53,0.30,7.12,
United States,1860,1.02,0.38,8.18,
United States,1870,1.67,0.38,5.79,
United States,1880,2.12,0.53,3.86,
United States,1890,3.41,0.53,3.60,
United States,1895,4.43,0.42,3.60,
United States,1900,4.50,0.38,2.91,
United States,1905,4.96,0.49,3.60,
United States,1910,5.56,0.64,3.63,
United States,1915,5.60,0.53,3.56,
United States,1919,4.09,0.45,2.88,
United States,1920,0.00,0.00,0.00,
United States,1925,0.00,0.00,0.00,
United States,1933,0.00,0.00,0.00,
United States,1934,2.31,0.26,1.10,
United States,1935,2.57,0.34,1.63,
United States,1936,2.99,0.45,2.23,
United States,1937,3.10,0.49,2.42,
United States,1938,2.84,0.49,2.23,
United States,1939,2.84,0.53,2.35,
United States,1940,2.76,0.61,2.54,
United States,1941,3.07,0.68,2.69,
United States,1942,3.41,0.83,3.22,
United States,1943,3.79,0.64,2.50,
United States,1944,4.28,0.68,2.88,
United States,1945,4.43,0.76,3.33,
United States,1946,4.05,0.91,3.75,
United States,1947,4.20,0.61,2.88,
United States,1948,4.05,0.76,2.65,
United States,1949,4.01,0.83,2.65,
United States,1950,3.94,0.87,2.91,
United States,1951,3.90,0.76,2.95,
United States,1952,3.94,0.79,2.76,
United States,1953,3.94,0.76,2.91,
United States,1954,3.82,0.79,2.80,
United States,1955,3.82,0.83,2.91,
United States,1956,3.79,0.83,3.07,
United States,1957,3.67,0.83,3.03,
United States,1958,3.63,0.83,3.03,
United States,1959,3.79,0.83,3.18,
United States,1960,3.75,0.83,3.26,
United States,1961,3.67,0.87,3.26,
United States,1962,3.75,0.83,3.41,
United States,1963,3.82,0.87,3.44,
United States,1964,3.94,0.91,3.60,
United States,1965,3.94,0.91,3.75,
United States,1966,4.01,0.91,3.86,
United States,1967,4.05,0.95,3.97,
United States,1968,4.13,0.98,4.16,
United States,1969,4.24,0.98,4.28,
United States,1970,4.32,1.02,4.20,
United States,1971,4.35,1.17,4.24,
United States,1972,4.43,1.14,4.13,
United States,1973,4.54,1.17,4.16,
United States,1974,4.73,1.17,4.20,
United States,1975,4.77,1.21,4.20,
United States,1976,4.81,1.21,4.16,
United States,1977,4.88,1.10,4.01,
United States,1978,5.03,1.17,4.05,
United States,1979,5.19,1.21,4.01,
United States,1980,5.22,1.29,3.94,
United States,1981,5.26,1.32,3.86,
United States,1982,5.22,1.36,3.71,
United States,1983,5.19,1.36,3.63,
United States,1984,5.11,1.40,3.56,
United States,1985,5.03,1.44,3.41,
United States,1986,5.07,1.48,3.18,
United States,1987,5.07,1.44,3.10,
United States,1988,5.03,1.36,2.99,
United States,1989,4.96,1.29,2.91,
United States,1990,5.07,1.25,2.91,
United States,1991,4.88,1.14,2.69,
United States,1992,4.88,1.14,2.69,
United States,1993,4.77,1.06,2.57,
United States,1994,4.73,1.06,2.46,
United States,1995,4.66,1.10,2.38,
United States,1996,4.66,1.14,2.38,
United States,1997,4.62,1.14,2.35,
United States,1998,4.62,1.14,2.35,
United States,1999,4.66,1.17,2.35,
United States,2000,4.62,1.17,2.42,
United States,2001,4.66,1.17,2.42,
United States,2002,4.66,1.25,2.42,
United States,2003,4.58,1.29,2.54,
United States,2004,4.58,1.32,2.57,
United States,2005,4.50,1.36,2.65,
United States,2006,4.54,1.40,2.69,
United States,2007,4.58,1.44,2.73,
United States,2008,4.54,1.44,2.76,
United States,2009,4.43,1.48,2.80,
United States,2010,4.32,1.44,2.80,
United States,2011,4.24,1.55,2.88,
United States,2012,4.28,1.59,2.95,
United States,2013,4.24,1.59,3.03,
