Entity,Year,Liquor stores (at home),Food stores (at home),Other (at home),Total (at home),Restaurants & bars (away from home),Hotels & motels (away from home),All other (away from home),Total (away from home),Total alcohol expenditure
United States,1935,305000000,65000000,199000000,,964000000,81000000,20000000,,
United States,1936,435000000,95000000,220000000,,1195000000,97000000,24000000,,
United States,1937,504000000,113000000,235000000,,1299000000,109000000,28000000,,
United States,1938,479000000,111000000,227000000,,1246000000,98000000,26000000,,
United States,1939,517000000,122000000,237000000,,1365000000,103000000,28000000,,
United States,1940,602000000,131000000,244000000,,1459000000,113000000,30000000,,
United States,1941,758000000,151000000,271000000,,1753000000,124000000,37000000,,
United States,1942,1081000000,194000000,311000000,,2176000000,145000000,47000000,,
United States,1943,1395000000,225000000,361000000,,2744000000,194000000,60000000,,
United States,1944,1734000000,252000000,393000000,,3144000000,219000000,69000000,,
United States,1945,2070000000,272000000,422000000,,3609000000,236000000,79000000,,
United States,1946,2443000000,368000000,472000000,,3984000000,272000000,91000000,,
United States,1947,2540000000,341000000,481000000,,4178000000,274000000,96000000,,
United States,1948,2487000000,475000000,484000000,,4172000000,272000000,100000000,,
United States,1949,2359000000,550000000,479000000,,4029000000,258000000,110000000,,
United States,1950,2399000000,569000000,487000000,,4028000000,259000000,126000000,,
United States,1951,2646000000,617000000,526000000,,4341000000,272000000,152000000,,
United States,1952,2786000000,668000000,545000000,,4442000000,281000000,176000000,,
United States,1953,2830000000,698000000,552000000,,4482000000,282000000,196000000,,
United States,1954,2942000000,685000000,562000000,,4454000000,274000000,218000000,,
United States,1955,3060000000,717000000,584000000,,4552000000,290000000,226000000,,
United States,1956,3408000000,756000000,616000000,,4753000000,309000000,238000000,,
United States,1957,3642000000,806000000,645000000,,4861000000,325000000,252000000,,
United States,1958,3841000000,868000000,656000000,,4910000000,330000000,261000000,,
United States,1959,4056000000,919000000,678000000,,5014000000,356000000,289000000,,
United States,1960,4137000000,966000000,690000000,,5039000000,378000000,317000000,,
United States,1961,4120000000,979000000,695000000,,4975000000,395000000,337000000,,
United States,1962,4494000000,1071000000,714000000,,5172000000,427000000,365000000,,
United States,1963,4665000000,1169000000,725000000,,5306000000,458000000,385000000,,
United States,1964,4958000000,1272000000,761000000,,5465000000,493000000,408000000,,
United States,1965,5247000000,1382000000,809000000,,5681000000,541000000,440000000,,
United States,1966,5676000000,1535000000,864000000,,5981000000,593000000,487000000,,
United States,1967,6005000000,1539000000,904000000,,6222000000,623000000,551000000,,
United States,1968,6576000000,1708000000,955000000,,6642000000,667000000,587000000,,
United States,1969,7034000000,1834000000,987000000,,6878000000,691000000,624000000,,
United States,1970,7671000000,2110000000,1064000000,,7652000000,760000000,657000000,,
United States,1971,8506000000,2297000000,1102000000,,8026000000,849000000,678000000,,
United States,1972,8810000000,2702000000,1113000000,,7911000000,961000000,704000000,,
United States,1973,9236000000,3105000000,1254000000,,8747000000,1069000000,757000000,,
United States,1974,9948000000,3600000000,1355000000,,9371000000,1167000000,778000000,,
