Entity,Year,CFC-11 measurement,WMO (2003),WMO (2010),WMO (2014)
World,1995,,,,-0.13
World,1996,-0.43,,,-0.28
World,1997,-0.40,,,-0.38
World,1998,-0.68,,,-0.55
World,1999,-0.54,,,-0.49
World,2000,-0.63,,,-0.63
World,2001,-0.65,,,-0.61
World,2002,-0.74,,,-0.70
World,2003,-0.90,,,-0.87
World,2004,-0.89,,,-0.86
World,2005,-0.86,,,-0.91
World,2006,-0.83,,,-0.82
World,2007,-0.90,,,-0.90
World,2008,-0.82,,,-0.88
World,2009,-0.76,,,-0.81
World,2010,-0.85,,,-0.80
World,2011,-0.86,,,-0.86
World,2012,-0.84,,,-0.86
World,2013,-0.75,,,-0.95
World,2014,-0.58,,,-1.02
World,2015,-0.50,,,-1.05
World,2016,-0.51,,,-1.08
World,2017,-0.41,,,-1.11
World,2018,,,,-1.13
