Entity,Year,"Share of children dying in first 5 years globally, by cause (IHME (2017))",Deaths (IHME (2017))
Acute glomerulonephritis,1990,,1037.484748
Acute glomerulonephritis,2015,,255.7403122
Adverse effects of medical treatment,1990,,29952.70725
Adverse effects of medical treatment,2015,,14256.24915
African trypanosomiasis,1990,,1704.237458
African trypanosomiasis,2015,,261.1552601
Animal contact,1990,,23280.80926
Animal contact,2015,,9854.885288
Appendicitis,1990,,8194.160571
Appendicitis,2015,,3181.663796
Asthma,1990,,36645.1579
Asthma,2015,,9483.232057
Brain and nervous system cancer,1990,,7319.038622
Brain and nervous system cancer,2015,,5367.953985
Cardiomyopathy and myocarditis,1990,,17525.68986
Cardiomyopathy and myocarditis,2015,,9806.349318
Cerebrovascular disease,1990,,45589.39741
Cerebrovascular disease,2015,,14942.0091
Chagas disease,1990,,12.05153457
Chagas disease,2015,,2.50427621
Chronic kidney disease,1990,,23021.72173
Chronic kidney disease,2015,,11663.22631
Chronic obstructive pulmonary disease,1990,,56588.88058
Chronic obstructive pulmonary disease,2015,,12595.58048
Cirrhosis and other chronic liver diseases due to hepatitis B,1990,,197.8930516
Cirrhosis and other chronic liver diseases due to hepatitis B,2015,,75.27112375
Cirrhosis and other chronic liver diseases due to hepatitis C,1990,,104.3320655
Cirrhosis and other chronic liver diseases due to hepatitis C,2015,,38.76268564
Cirrhosis and other chronic liver diseases due to other causes,1990,,24805.2428
Cirrhosis and other chronic liver diseases due to other causes,2015,,9477.804053
Collective violence and legal intervention,1990,,11451.05659
Collective violence and legal intervention,2015,,23540.6604
Congenital birth defects,1990,,646946.3295
Congenital birth defects,2015,,496584.5646
Cystic echinococcosis,1990,,227.4780777
Cystic echinococcosis,2015,,40.55174306
Cysticercosis,1990,,21.94403578
Cysticercosis,2015,,7.515289437
Dengue,1990,,2910.849291
Dengue,2015,,4921.79851
Diabetes mellitus,1990,,4369.090715
Diabetes mellitus,2015,,1700.567656
Diarrheal diseases,1990,,1387614.431
Diarrheal diseases,2015,,498888.7531
Diphtheria,1990,,12006.47014
Diphtheria,2015,,1560.183983
Drowning,1990,,206538.3275
