Entity,Year,Children (1-14) who experienced any violent discipline,Children (13-15) who reported being bullied,Children (13-15) who reported being in a physical fight during past year,Girls (15-19) who experienced any physical violence since age 15,Girls (15-19) who ever experienced forced sexual intercourse or any other forced sexual acts,"Number of homicide victims among children (0-19) per 100,000 population",Women (15 and above) who experienced any intimate partner physical and/or sexual violence last year
Afghanistan,2015,,48.1,35.4,,,8,
Albania,2015,,43.3,47.9,,,2,
Algeria,2015,,52,48,,,2,
Antigua and Barbuda,2015,,25,48,,,2.9,
Argentina,2015,,25,34,,,3,
Armenia,2015,,10,51,,,1,
Australia,2015,,39.6,48.8,,,1,
Austria,2015,,41,37,,,,
Azerbaijan,2015,,36,37.7,,,3,
Bahamas,2015,,44.3,39.2,,,5,
Bangladesh,2015,,64.5,53.6,,,1,
Barbados,2015,,13,38,,,3,
Belarus,2015,,25.8,38.8,,,1,
Belgium,2015,,37,37,,,1,
Belize,2015,,31,36,,,6,
Benin,2015,,42,32,,,5,
Bhutan,2015,,29.6,25.5,,,1,
Bolivia,2015,,30,33,,,7,
Botswana,2015,,52,48,,,7,
Brazil,2015,,31.6,28,,,17,
Brunei,2015,,31.1,37.1,,,,
Bulgaria,2015,,23.7,30.3,,,1,
Burkina Faso,2015,,40.6,47.5,,,5,
Burundi,2015,,70.3,48.3,,,5,
Cambodia,2015,,22,14,,,4,
Cameroon,2015,,53.3,36.4,,,5,
Canada,2015,,32,34,,,2,
Cape Verde,2015,,22.4,24.1,,,1,
Central African Republic,2015,,50.8,46.6,,,5,
Chad,2015,,56.6,39.8,,,4,
Chile,2015,,15,29,,,2,
China,2015,,29,19,,,1,
Colombia,2015,,32,33,,,13,
Comoros,2015,,29.2,29.4,,,5,
Congo,2015,,48.5,45.7,,,5,
Costa Rica,2015,,19,22,,,5,
Cote d'Ivoire,2015,,53.3,48,,,9,
Croatia,2015,,16,39,,,,
Cuba,2015,,27.8,34.5,,,2,
Cyprus,2015,,33,46.8,,,,
Czech Republic,2015,,16,43,,,,
Democratic Republic of Congo,2015,,54.8,45.9,,,14,
Denmark,2015,,17,27,,,,
Dominican Republic,2015,,26.6,30.4,,,4,
Ecuador,2015,,29,34,,,6,
Egypt,2015,,70,45,,,1,
El Salvador,2015,,30.8,29.2,,,27,
Estonia,2015,,37,28,,,1,
Ethiopia,2015,,50.2,50.6,,,6,
Fiji,2015,,42,47,,,2,
Finland,2015,,28,28,,,1,
France,2015,,32,33,,,,
