Entity,Year,Coal Reserves (BP Statistical Review (2016)),Share of global coal reserves (%) (BP Statistical Review (2016))
Asia & Pacific,2015,288328,
Australia,2015,76400,
Brazil,2015,6630,
Bulgaria,2015,2366,
Canada,2015,6582,
China,2015,114500,
Colombia,2015,6746,
Czech Republic,2015,1052,
Europe & Central Asia,2015,310538,
Germany,2015,40548,
Greece,2015,3020,
Hungary,2015,1660,
India,2015,60600,
Indonesia,2015,28017,
Japan,2015,347,
Kazakhstan,2015,33600,
Latin America & the Caribbean,2015,14641,
Mexico,2015,1211,
Middle East,2015,1122,
Middle East & Africa,2015,32936,
Mongolia,2015,2520,
New Zealand,2015,571,
North America,2015,245088,
Other Africa,2015,1156,
Other Asia & Pacific,2015,1788,
Other Europe & Central Asia,2015,6882,
Other Latin America & the Caribbean,2015,786,
Pakistan,2015,2070,
Poland,2015,5465,
Romania,2015,291,
Russia,2015,157010,
Serbia,2015,13411,
South Africa,2015,30156,
South Korea,2015,126,
Spain,2015,530,
Thailand,2015,1239,
Turkey,2015,8702,
Ukraine,2015,33873,
United Kingdom,2015,228,
United States,2015,237295,
Uzbekistan,2015,1900,
Venezuela,2015,479,
Vietnam,2015,150,
World,2015,891531,
Zimbabwe,2015,502,
