Entity,Year,Share of consumer expenditure on food (USDA (2017)),Share of consumer expenditure on alcoholic beverages and tobacco (USDA (2017)),Consumer expenditure (USDA (2017)),Food expenditure (USDA (2017))
Algeria,2015,43,2,,724
Algeria,2016,37,1,,639
Argentina,2015,20,5,,1737
Argentina,2016,28,2,,2306
Australia,2015,10,3,,2915
Australia,2016,10,3,,2927
Austria,2015,10,3,,2322
Austria,2016,10,3,,2273
Azerbaijan,2015,40,2,,1210
Azerbaijan,2016,39,2,,896
Bahrain,2015,13,0,,1477
Bahrain,2016,13,0,,1347
Belarus,2015,36,8,,1050
Belarus,2016,36,9,,962
Belgium,2015,13,4,,2532
Belgium,2016,13,4,,2706
Bolivia,2015,29,2,,606
Bolivia,2016,29,2,,656
Bosnia and Herzegovina,2015,31,6,,1063
Bosnia and Herzegovina,2016,31,6,,1221
Brazil,2015,16,2,,815
Brazil,2016,16,2,,833
Bulgaria,2015,18,7,,813
Bulgaria,2016,19,7,,876
Cameroon,2015,46,2,,426
Cameroon,2016,45,2,,449
Canada,2015,9,3,,2168
Canada,2016,9,3,,2168
Chile,2015,15,3,,1293
Chile,2016,16,3,,1402
China,2015,25,4,,750
China,2016,22,2,,706
Colombia,2015,17,3,,650
Colombia,2016,17,3,,646
Costa Rica,2015,20,1,,1504
Costa Rica,2016,26,1,,2098
Croatia,2015,31,4,,2421
Croatia,2016,24,3,,2164
Czech Republic,2015,16,8,,1340
Czech Republic,2016,17,8,,1510
Denmark,2015,11,4,,2719
Denmark,2016,11,4,,2821
Dominican Republic,2015,23,4,,1173
Dominican Republic,2016,27,4,,1389
Ecuador,2015,23,1,,869
Ecuador,2016,22,1,,843
Egypt,2015,35,4,,1075
Egypt,2016,37,4,,921
Estonia,2015,20,9,,1917
Estonia,2016,21,9,,1952
Finland,2015,13,5,,2848
Finland,2016,12,4,,2757
France,2015,13,4,,2647
France,2016,13,4,,2727
Georgia,2015,32,5,,841
Georgia,2016,31,5,,817
Germany,2015,10,3,,2179
Germany,2016,11,3,,2246
Greece,2015,17,5,,2244
Greece,2016,17,5,,2245
Guatemala,2015,41,2,,1370
Guatemala,2016,41,2,,1450
Hong Kong,2015,14,1,,4263
Hong Kong,2016,14,1,,4423
Hungary,2015,19,9,,1152
Hungary,2016,18,8,,1196
India,2015,31,2,,315
India,2016,30,2,,311
Indonesia,2015,33,5,,629
Indonesia,2016,31,7,,638
Iran,2015,24,0,,541
Iran,2016,24,0,,598
Ireland,2015,10,6,,1945
Ireland,2016,9,6,,1973
Israel,2015,15,3,,2882
Israel,2016,16,3,,3320
Italy,2015,14,4,,2646
Italy,2016,14,4,,2664
Japan,2015,14,3,,2631
Japan,2016,14,3,,3020
Jordan,2015,38,7,,1899
Jordan,2016,30,5,,1080
Kazakhstan,2015,43,1,,2329
Kazakhstan,2016,43,1,,1744
Kenya,2015,47,3,,543
Kenya,2016,52,4,,634
Kuwait,2015,18,1,,1538
Kuwait,2016,18,1,,1604
Latvia,2015,20,8,,1663
Latvia,2016,19,8,,1617
Lithuania,2015,23,7,,2090
Lithuania,2016,23,7,,2215
Macedonia,2015,32,6,,1064
Macedonia,2016,32,6,,1108
Malaysia,2015,21,2,,1122
Malaysia,2016,21,2,,1118
Mexico,2015,23,3,,1421
Mexico,2016,23,3,,1331
Montenegro,2015,19,4,,1171
Montenegro,2016,18,3,,1173
Morocco,2015,35,4,,719
Morocco,2016,35,4,,709
Netherlands,2015,12,3,,2255
Netherlands,2016,12,3,,2341
New Zealand,2015,15,5,,3188
New Zealand,2016,14,5,,3149
Nigeria,2015,56,1,,1132
Nigeria,2016,59,1,,1028
Norway,2015,12,4,,3538
Norway,2016,12,4,,3524
Pakistan,2015,41,1,,458
Pakistan,2016,42,1,,490
Peru,2015,36,6,,1432
Peru,2016,26,2,,1068
Philippines,2015,42,1,,894
Philippines,2016,42,1,,925
Poland,2015,17,7,,1188
Poland,2016,17,6,,1181
Portugal,2015,17,3,,2251
Portugal,2016,17,3,,2311
Qatar,2015,12,0,,1516
Qatar,2016,12,0,,1570
Romania,2015,28,4,,1486
Romania,2016,30,6,,1712
Russia,2015,28,9,,1319
Russia,2016,30,7,,1305
Saudi Arabia,2015,25,1,,1954
Saudi Arabia,2016,21,1,,1664
Serbia,2015,25,7,,932
Serbia,2016,24,7,,934
Singapore,2015,7,2,,1336
Singapore,2016,7,2,,1297
Slovakia,2015,18,5,,1545
Slovakia,2016,18,5,,1581
Slovenia,2015,15,6,,1675
Slovenia,2016,15,6,,1821
South Africa,2015,19,6,,673
South Africa,2016,19,6,,612
South Korea,2015,13,2,,1640
South Korea,2016,13,3,,1683
Spain,2015,13,4,,2002
Spain,2016,14,4,,2138
Sweden,2015,13,4,,2784
Sweden,2016,13,4,,2820
Switzerland,2015,9,4,,3763
Switzerland,2016,9,4,,3631
Taiwan,2015,14,2,,1639
Taiwan,2016,14,2,,1685
Thailand,2015,26,3,,862
Thailand,2016,26,3,,884
Tunisia,2015,22,3,,643
Tunisia,2016,22,3,,618
Turkey,2015,22,5,,1440
Turkey,2016,21,5,,1471
Turkmenistan,2015,38,2,,1414
Turkmenistan,2016,38,2,,1637
Ukraine,2015,38,8,,513
Ukraine,2016,38,8,,539
United Arab Emirates,2015,14,0,,3159
United Arab Emirates,2016,14,0,,2950
United Kingdom,2015,8,4,,2217
United Kingdom,2016,8,4,,1991
United States,2015,6,2,,2392
United States,2016,6,2,,2408
Uruguay,2015,18,1,,2033
Uruguay,2016,19,1,,1990
Uzbekistan,2015,31,3,,380
Uzbekistan,2016,30,3,,369
Venezuela,2015,20,4,,165
Venezuela,2016,19,4,,258
Vietnam,2015,35,3,,460
Vietnam,2016,39,2,,612
