Entity,Year,Iron and steel production (Correlates of War: National Material Capabilities (v4.0)),"Military expenditure (1816-1913, current prices) (Correlates of War: National Material Capabilities (v4.0))","Military expenditure (1914-2007, current prices) (Correlates of War: National Material Capabilities (v4.0))",Military personnel (Correlates of War: National Material Capabilities (v4.0)),"Military expenditure (1830-1913, real prices) (Correlates of War: National Material Capabilities (v4.0))","Military expenditure (1914-2007, real prices) (Correlates of War: National Material Capabilities (v4.0))"
Afghanistan,1931,,,,,,43444.8
Afghanistan,1932,,,,,,40467.76026
Afghanistan,1935,,,,,,74249.69406
Afghanistan,1936,,,,,,75275.41448
Afghanistan,1938,,,,,,68490.73613
Afghanistan,1950,,,,,,27717.53164
Afghanistan,1951,,,,,,31470.90557
Afghanistan,1952,,,,,,36814.94322
Afghanistan,1953,,,,,,51834.85752
Afghanistan,1954,,,,,,26825.66536
Afghanistan,1955,,,,,,34229.59897
Afghanistan,1956,,,,,,24500.83654
Afghanistan,1957,,,,,,35587.43416
Afghanistan,1958,,,,,,30116.25176
Afghanistan,1959,,,,,,52596.75
Afghanistan,1960,,,,,,66711.30435
Afghanistan,1961,,,,,,65734.45161
Afghanistan,1962,,,,,,60078.60537
Afghanistan,1963,,,,,,66974.15976
Afghanistan,1964,,,,,,64834.41263
Afghanistan,1965,,,,,,60716.8369
Afghanistan,1966,,,,,,71622.87624
Afghanistan,1967,,,,,,74201.69176
Afghanistan,1968,,,,,,79655.19292
Afghanistan,1969,,,,,,79146.45795
Afghanistan,1970,,,,,,69956.84116
Afghanistan,1971,,,,,,102085.4286
Afghanistan,1972,,,,,,105850.5288
Afghanistan,1973,,,,,,100730.2961
Afghanistan,1974,,,,,,99104.01986
Afghanistan,1975,,,,,,105900.7956
Afghanistan,1976,,,,,,105016.2509
Afghanistan,1977,,,,,,121853.9047
Afghanistan,1978,,,,,,129368.7766
Afghanistan,1979,,,,,,116669.6143
Afghanistan,1980,,,,,,439318.2612
Afghanistan,1981,,,,,,550220.8003
Afghanistan,1982,,,,,,519455.6196
Afghanistan,1983,,,,,,454075.1574
Afghanistan,1984,,,,,,310068.8747
Afghanistan,1985,,,,,,409965.0314
Afghanistan,1990,,,,,,527373.0717
Afghanistan,1995,,,,,,217445.5656
Afghanistan,1996,,,,,,222074.5763
Afghanistan,1997,,,,,,219395.0776
Afghanistan,1998,,,,,,264797.7428
Afghanistan,1999,,,,,,255682.5278
Afghanistan,2000,,,,,,250000
Afghanistan,2001,,,,,,239558.806
Afghanistan,2004,,,,,,111183.6849
Afghanistan,2005,,,,,,103263.833
Afghanistan,2006,,,,,,103647.2946
Afghanistan,2007,,,,,,128715.5332
Albania,1914,,,,,,22107.64123
Albania,1915,,,,,,20788.45354
Albania,1916,,,,,,18276.56704
Albania,1917,,,,,,14532.46093
Albania,1918,,,,,,12295.43732
Albania,1919,,,,,,11832.87192
Albania,1920,,,,,,10179.9975
Albania,1921,,,,,,11531.77539
Albania,1922,,,,,,11948.99586
Albania,1923,,,,,,9993.216298
Albania,1924,,,,,,9206.370672
Albania,1925,,,,,,8483.804
Albania,1926,,,,,,7952.465139
Albania,1927,,,,,,9676.389796
Albania,1928,,,,,,19486.17308
Albania,1929,,,,,,23624.02424
Albania,1930,,,,,,24223.6457
Albania,1931,,,,,,28656.71111
Albania,1932,,,,,,30716.88477
Albania,1933,,,,,,27519.4966
Albania,1934,,,,,,24746.62968
Albania,1935,,,,,,22755.27434
Albania,1936,,,,,,25415.54806
Albania,1937,,,,,,27610.8729
Albania,1938,,,,,,31736.16153
Albania,1939,,,,,,71134.29851
Albania,1944,,,,,,74754.22134
Albania,1945,,,,,,81603.50437
Albania,1946,,,,,,84187.43029
Albania,1947,,,,,,79145.5097
Albania,1948,,,,,,83539.84265
Albania,1949,,,,,,95035.81738
Albania,1950,,,,,,112353.08
Albania,1951,,,,,,111324.7819
Albania,1952,,,,,,111916.3333
Albania,1953,,,,,,123045.6669
Albania,1954,,,,,,151496.5
Albania,1955,,,,,,166011.4499
Albania,1956,,,,,,174406.8689
Albania,1957,,,,,,184860.6428
Albania,1958,,,,,,192812.4135
Albania,1959,,,,,,199637.75
Albania,1960,,,,,,245754.3261
Albania,1961,,,,,,274523.828
Albania,1962,,,,,,282257.2985
Albania,1963,,,,,,326016.3577
Albania,1964,,,,,,368036.9298
Albania,1965,,,,,,363652.908
Albania,1966,,,,,,390759.6615
Albania,1967,,,,,,379735.3921
Albania,1968,,,,,,384255.825
Albania,1969,,,,,,358862.8688
Albania,1970,,,,,,352285.1027
Albania,1971,,,,,,395490.3889
Albania,1972,,,,,,384253.5813
Albania,1973,,,,,,388091.4465
Albania,1974,,,,,,357217.3052
Albania,1975,,,,,,344371.4739
Albania,1976,,,,,,335731.6714
Albania,1977,,,,,,321372.8073
Albania,1978,,,,,,336182.4072
Albania,1979,,,,,,337366.2822
Albania,1980,,,,,,316365.1683
Albania,1981,,,,,,317804.7609
Albania,1982,,,,,,249123.2694
Albania,1983,,,,,,199618.342
Albania,1984,,,,,,191918.154
Albania,1985,,,,,,270234.1387
Albania,1986,,,,,,236695.7534
Albania,1987,,,,,,268490.9067
Albania,1988,,,,,,207433.5269
Albania,1989,,,,,,212769.0169
Albania,1990,,,,,,209968.0695
Albania,1991,,,,,,122467.0884
Albania,1992,,,,,,40266.16126
Albania,1993,,,,,,119009.6886
Albania,1994,,,,,,108202.6697
Albania,1995,,,,,,96763.27669
Albania,1996,,,,,,109969.6219
Albania,1997,,,,,,98675.29804
Albania,1998,,,,,,105919.0971
Albania,1999,,,,,,143182.2156
Albania,2000,,,,,,113000
Albania,2001,,,,,,103645.8507
Albania,2002,,,,,,56814.55786
Albania,2003,,,,,,71750.51879
Albania,2004,,,,,,96481.71005
Albania,2005,,,,,,103263.833
Albania,2006,,,,,,121785.5711
Albania,2007,,,,,,166573.0429
Algeria,1962,,,,,,297532.1409
Algeria,1963,,,,,,359428.7452
Algeria,1964,,,,,,442442.264
