Entity,Year,GDP_per_cap
China,1000,1389.74
China,1001,1396.59
China,1002,1403.47
China,1003,1410.39
China,1004,1417.34
China,1005,1424.33
China,1006,1431.35
China,1007,1438.4
China,1008,1445.49
China,1009,1452.61
China,1010,1459.77
China,1011,1466.97
China,1012,1474.2
China,1013,1481.46
China,1014,1488.76
China,1015,1496.1
China,1016,1503.47
China,1017,1510.88
China,1018,1518.33
China,1019,1525.81
China,1020,1533.33
China,1021,1531.27
China,1022,1529.22
China,1023,1527.16
China,1024,1525.11
China,1025,1523.06
China,1026,1521.02
China,1027,1518.97
China,1028,1516.93
China,1029,1514.89
China,1030,1512.86
China,1031,1510.83
China,1032,1508.8
China,1033,1506.77
China,1034,1504.75
China,1035,1502.72
China,1036,1500.71
China,1037,1498.69
China,1038,1496.68
China,1039,1494.67
China,1040,1492.66
China,1041,1490.65
China,1042,1488.65
China,1043,1486.65
China,1044,1484.65
China,1045,1482.66
China,1046,1480.67
China,1047,1478.68
China,1048,1476.69
China,1049,1474.71
China,1050,1472.73
China,1051,1464.92
China,1052,1457.15
China,1053,1449.42
China,1054,1441.74
China,1055,1434.09
China,1056,1426.48
China,1057,1418.92
China,1058,1411.4
China,1059,1403.91
China,1060,1396.47
China,1061,1389.06
China,1062,1381.69
China,1063,1374.37
China,1064,1367.08
China,1065,1359.83
China,1066,1352.62
China,1067,1345.45
China,1068,1338.31
China,1069,1331.21
China,1070,1324.15
China,1071,1317.13
China,1072,1310.15
China,1073,1303.2
China,1074,1296.29
China,1075,1289.41
China,1076,1282.58
China,1077,1275.77
China,1078,1269.01
China,1079,1262.28
China,1080,1255.59
China,1081,1248.93
China,1082,1242.3
China,1083,1235.72
China,1084,1229.16
China,1085,1222.65
China,1086,1216.16
China,1087,1211.71
China,1088,1207.28
China,1089,1202.87
China,1090,1198.47
China,1091,1194.09
China,1092,1189.72
China,1093,1185.37
China,1094,1181.04
China,1095,1176.72
China,1096,1172.42
China,1097,1168.13
China,1098,1163.86
China,1099,1159.6
China,1100,1155.36
China,1101,1151.14
China,1102,1146.93
China,1103,1142.73
China,1104,1138.55
China,1105,1134.39
China,1106,1130.24
China,1107,1126.11
China,1108,1121.99
China,1109,1117.89
China,1110,1113.8
China,1111,1109.73
China,1112,1105.67
China,1113,1101.63
China,1114,1097.6
China,1115,1093.59
