Entity,Year,Deaths from Smallpox,Deaths from all causes,Smallpox death rate
United Kingdom,1629,72,,0.816882233
United Kingdom,1630,40,,0.382007449
United Kingdom,1631,58,,0.68574131
United Kingdom,1632,531,,5.566621239
United Kingdom,1633,72,,0.854396582
United Kingdom,1634,1354,,12.46203405
United Kingdom,1635,293,,2.753500611
United Kingdom,1636,127,,0.543152853
United Kingdom,1647,139,,1.008415554
United Kingdom,1648,400,,4.042037187
United Kingdom,1649,1190,,11.29889859
United Kingdom,1650,184,,2.119571478
United Kingdom,1651,525,,4.873294347
United Kingdom,1652,1279,,10.19854876
United Kingdom,1653,139,,1.53049989
United Kingdom,1654,812,,6.186195337
United Kingdom,1655,1294,,11.34192304
United Kingdom,1656,823,,5.984584061
United Kingdom,1657,835,,6.715457616
United Kingdom,1658,409,,2.727939705
United Kingdom,1659,1523,,10.32122526
United Kingdom,1660,354,,2.341579574
United Kingdom,1661,1246,,6.302159729
United Kingdom,1662,768,,4.639362088
United Kingdom,1663,411,,2.67647825
United Kingdom,1664,1233,,6.738809641
United Kingdom,1665,655,,0.673134236
United Kingdom,1666,38,,0.298319987
United Kingdom,1667,1196,,7.549551824
United Kingdom,1668,1987,,11.50017363
United Kingdom,1669,951,,4.893989296
United Kingdom,1670,1465,,7.253193385
United Kingdom,1671,696,,4.424947549
United Kingdom,1672,1116,,6.12177729
United Kingdom,1673,853,,4.873171846
United Kingdom,1674,2507,,11.82491392
United Kingdom,1675,997,,5.781721178
United Kingdom,1676,359,,1.916506513
United Kingdom,1677,1678,,8.800545445
United Kingdom,1678,1798,,8.695231647
United Kingdom,1679,1967,,9.052001841
United Kingdom,1680,698,,3.31544198
United Kingdom,1681,2982,,12.4400317
United Kingdom,1682,1408,,6.804891015
United Kingdom,1683,2096,,10.1811823
United Kingdom,1684,1560,,6.723558314
United Kingdom,1685,2496,,10.74842821
United Kingdom,1686,1062,,4.69724446
United Kingdom,1701,1095,,5.349030336
United Kingdom,1702,311,,1.596427288
United Kingdom,1703,898,,4.333976834
United Kingdom,1704,1501,,6.616998766
United Kingdom,1705,1095,,4.955423813
United Kingdom,1706,721,,3.63279085
United Kingdom,1707,1078,,4.990740741
United Kingdom,1708,1687,,7.923535766
United Kingdom,1709,1024,,4.697247706
United Kingdom,1710,3138,,12.74573517
United Kingdom,1711,915,,4.613522916
United Kingdom,1712,1943,,9.165959053
United Kingdom,1713,1614,,7.664909531
United Kingdom,1714,2810,,10.57623546
United Kingdom,1715,1057,,4.75440806
United Kingdom,1716,2427,,9.932067441
United Kingdom,1717,2211,,9.430179988
United Kingdom,1718,1884,,7.103268861
United Kingdom,1719,3229,,11.39097612
United Kingdom,1720,1440,,5.657264084
United Kingdom,1721,2375,,9.084997322
United Kingdom,1722,2167,,8.415533981
United Kingdom,1723,3271,,11.20320581
United Kingdom,1724,1227,,4.727959309
United Kingdom,1725,3188,,12.49069467
United Kingdom,1726,1519,,5.123621277
United Kingdom,1727,2379,,8.371454712
United Kingdom,1728,2105,,7.569219705
United Kingdom,1729,2849,,9.585492228
United Kingdom,1730,1914,,7.152199096
United Kingdom,1731,2640,,10.45047898
United Kingdom,1732,1197,,5.124582584
United Kingdom,1733,1370,,4.686484453
United Kingdom,1734,2688,,10.31386693
United Kingdom,1735,1594,,6.77202821
United Kingdom,1736,3014,,10.92781262
United Kingdom,1737,2084,,7.490205945
United Kingdom,1738,1590,,6.156824782
United Kingdom,1739,1690,,6.645171438
United Kingdom,1740,2725,,8.844243939
United Kingdom,1741,1977,,6.14566819
United Kingdom,1742,1429,,5.199577921
United Kingdom,1743,2029,,8.051587302
United Kingdom,1744,1633,,7.92487625
United Kingdom,1745,1206,,5.663035312
United Kingdom,1746,3236,,11.49270164
United Kingdom,1747,1380,,5.413038362
United Kingdom,1748,1789,,7.495077297
United Kingdom,1749,2625,,10.28766264
United Kingdom,1750,1229,,5.179753024
United Kingdom,1751,998,,4.746052882
United Kingdom,1752,3538,,17.27117403
United Kingdom,1753,774,,4.015355883
United Kingdom,1754,2359,,10.39390201
United Kingdom,1755,1988,,9.070584478
United Kingdom,1756,1608,,7.704101188
United Kingdom,1757,3296,,15.46473983
United Kingdom,1758,1273,,7.242831133
United Kingdom,1759,2596,,13.24219547
United Kingdom,1760,2187,,11.02874433
United Kingdom,1761,1525,,7.240184209
United Kingdom,1762,2743,,10.41935729
United Kingdom,1763,3582,,13.69894447
United Kingdom,1764,2382,,10.26635635
United Kingdom,1765,2498,,10.7533362
United Kingdom,1766,2334,,9.761197775
United Kingdom,1767,2188,,9.676278082
United Kingdom,1768,3028,,12.8093405
United Kingdom,1769,1968,,9.008101799
United Kingdom,1770,1986,,8.852634394
United Kingdom,1771,1660,,7.621671258
United Kingdom,1772,3992,,15.3226116
United Kingdom,1773,1039,,4.797746583
United Kingdom,1774,2479,,11.87033135
United Kingdom,1775,2669,,13.01062689
United Kingdom,1776,1728,,9.071818564
United Kingdom,1777,2567,,11.00111425
United Kingdom,1778,1425,,6.985636551
United Kingdom,1779,2493,,12.208619
United Kingdom,1780,871,,4.245260028
United Kingdom,1781,3500,,16.90086436
United Kingdom,1782,636,,3.549503293
United Kingdom,1783,1550,,8.145462189
United Kingdom,1784,1759,,9.866502131
United Kingdom,1785,1999,,10.56609757
United Kingdom,1786,1210,,5.915713308
United Kingdom,1787,2418,,12.49676986
United Kingdom,1788,1101,,5.589683708
United Kingdom,1789,2077,,10.01012097
United Kingdom,1790,1617,,8.964408471
United Kingdom,1791,1747,,9.312366738
United Kingdom,1792,1568,,7.757383862
United Kingdom,1793,2382,,10.95222769
United Kingdom,1794,1913,,9.942310691
United Kingdom,1795,1040,,4.910524576
United Kingdom,1796,3548,,18.39485691
United Kingdom,1797,522,,3.068061596
United Kingdom,1798,2337,,12.87248692
United Kingdom,1799,1111,,6.126612992
United Kingdom,1800,2409,,10.44303797
United Kingdom,1801,1461,,7.541034376
United Kingdom,1802,1579,,8.147995253
United Kingdom,1803,1202,,6.138290267
United Kingdom,1804,622,,3.651520488
United Kingdom,1805,1685,,9.592940507
United Kingdom,1806,1158,,6.455569183
United Kingdom,1807,1297,,7.074288208
United Kingdom,1808,1169,,5.858474491
United Kingdom,1809,1163,,6.972422062
United Kingdom,1810,1198,,6.022218871
United Kingdom,1811,751,,4.406501203
United Kingdom,1812,1287,,7.034708937
United Kingdom,1813,898,,5.184158873
United Kingdom,1814,638,,3.308613805
United Kingdom,1815,725,,3.706543967
United Kingdom,1816,653,,3.214215397
United Kingdom,1817,1051,,5.263421474
United Kingdom,1818,421,,2.136513575
United Kingdom,1819,712,,3.702933222
United Kingdom,1820,792,,4.093446351
United Kingdom,1821,508,,2.753238307
United Kingdom,1822,604,,3.201696263
United Kingdom,1823,774,,3.759654151
United Kingdom,1824,725,,3.58254682
United Kingdom,1825,1299,,6.178065253
United Kingdom,1826,503,,2.423162154
United Kingdom,1827,616,,2.763323165
United Kingdom,1828,598,,2.7546179
United Kingdom,1829,736,,3.128719606
United Kingdom,1830,627,,2.896742897
United Kingdom,1831,563,,2.222046809
United Kingdom,1841,1053,,2.313929725
United Kingdom,1842,360,,0.792951542
United Kingdom,1843,438,,0.899051685
United Kingdom,1844,1804,,3.529641949
United Kingdom,1845,909,,1.881286477
United Kingdom,1846,257,,0.519716886
United Kingdom,1847,955,,1.615058091
United Kingdom,1848,1620,,2.804175105
United Kingdom,1849,521,,0.757763072
United Kingdom,1850,499,,1.019407559
United Kingdom,1851,1062,,1.913927336
United Kingdom,1852,1159,,2.121234306
United Kingdom,1853,211,,0.351262715
United Kingdom,1854,694,,0.941693692
United Kingdom,1855,1039,,1.677375609
United Kingdom,1856,531,,0.927122254
United Kingdom,1857,156,,0.263945993
United Kingdom,1858,242,,0.377576334
United Kingdom,1859,1158,,1.871968962
United Kingdom,1860,898,,1.44120432
United Kingdom,1861,217,,0.332561953
United Kingdom,1862,366,,0.543260453
United Kingdom,1863,1996,,2.808893892
United Kingdom,1864,547,,0.699148751
United Kingdom,1865,640,,0.8703812
United Kingdom,1866,1391,,1.728959765
United Kingdom,1867,1345,,1.896396142
United Kingdom,1868,597,,0.808965013
United Kingdom,1869,275,,0.352193847
United Kingdom,1870,973,,1.253316846
United Kingdom,1871,7912,,9.837125451
United Kingdom,1872,1786,,2.502978067
United Kingdom,1873,113,,0.149750195
United Kingdom,1874,57,,0.074206189
United Kingdom,1875,46,,0.0561222
United Kingdom,1876,736,,0.947586615
United Kingdom,1877,2551,,3.293780423
United Kingdom,1878,1417,,1.683137739
United Kingdom,1879,450,,0.536960802
United Kingdom,1880,475,,0.585494527
United Kingdom,1881,2371,,2.924596958
United Kingdom,1882,431,,0.519821982
United Kingdom,1883,134,,0.165442311
United Kingdom,1884,913,,1.114080365
