Entity,Year,Ratio of diabetes to obesity prevalence,Ratio of diabetes to overweight prevalence
Afghanistan,2015,2.05,
Albania,2015,0.47,
Algeria,2015,0.29,
Andorra,2015,0.31,
Angola,2015,0.63,
Antigua and Barbuda,2015,0.73,
Argentina,2015,0.21,
Armenia,2015,0.32,
Australia,2015,0.17,
Austria,2015,0.32,
Azerbaijan,2015,0.34,
Bahamas,2015,0.42,
Bahrain,2015,0.70,
Bangladesh,2015,2.68,
Barbados,2015,0.56,
Belarus,2015,0.20,
Belgium,2015,0.21,
Belize,2015,0.76,
Benin,2015,0.10,
Bhutan,2015,1.69,
Bolivia,2015,0.41,
Bosnia and Herzegovina,2015,0.52,
Botswana,2015,0.35,
Brazil,2015,0.48,
Brunei,2015,0.97,
Bulgaria,2015,0.22,
Burkina Faso,2015,0.51,
Burundi,2015,0.64,
Cambodia,2015,0.91,
Cameroon,2015,0.71,
Canada,2015,0.24,
Cape Verde,2015,0.23,
Central African Republic,2015,1.03,
Chad,2015,1.24,
Chile,2015,0.35,
China,2015,1.58,
Colombia,2015,0.46,
Comoros,2015,1.50,
Congo,2015,0.86,
Costa Rica,2015,0.34,
Cote d'Ivoire,2015,0.26,
Croatia,2015,0.21,
Cuba,2015,0.38,
Cyprus,2015,0.43,
Czech Republic,2015,0.26,
Democratic Republic of Congo,2015,1.21,
Denmark,2015,0.34,
Djibouti,2015,0.71,
Dominica,2015,0.46,
Dominican Republic,2015,0.34,
Ecuador,2015,0.49,
Egypt,2015,0.55,
El Salvador,2015,0.42,
Equatorial Guinea,2015,1.08,
Eritrea,2015,0.95,
Estonia,2015,0.19,
Ethiopia,2015,1.00,
Fiji,2015,0.47,
Finland,2015,0.24,
France,2015,0.23,
Gabon,2015,0.60,
Gambia,2015,0.24,
Georgia,2015,0.28,
Germany,2015,0.29,
Ghana,2015,0.25,
Greece,2015,0.19,
Grenada,2015,0.59,
Guatemala,2015,0.61,
Guinea,2015,0.35,
Guinea-Bissau,2015,0.28,
Guyana,2015,0.60,
Haiti,2015,0.35,
Honduras,2015,0.49,
Hungary,2015,0.26,
Iceland,2015,0.27,
India,2015,2.58,
Indonesia,2015,1.00,
Iran,2015,0.41,
Iraq,2015,0.35,
Ireland,2015,0.17,
Israel,2015,0.29,
Italy,2015,0.23,
Jamaica,2015,0.49,
Japan,2015,1.36,
Jordan,2015,0.36,
Kazakhstan,2015,0.31,
Kenya,2015,0.42,
Kiribati,2015,0.41,
Kuwait,2015,0.55,
Kyrgyzstan,2015,0.43,
Laos,2015,0.86,
Latvia,2015,0.21,
Lebanon,2015,0.43,
Lesotho,2015,0.30,
Liberia,2015,0.28,
Libya,2015,0.34,
Lithuania,2015,0.14,
Luxembourg,2015,0.20,
Macedonia,2015,0.44,
Madagascar,2015,0.95,
Malawi,2015,0.80,
Malaysia,2015,1.22,
Maldives,2015,1.26,
Mali,2015,0.32,
Malta,2015,0.32,
Marshall Islands,2015,0.41,
Mauritania,2015,0.21,
Mauritius,2015,2.01,
Mexico,2015,0.57,
Micronesia (country),2015,0.40,
Moldova,2015,0.36,
Mongolia,2015,0.29,
Montenegro,2015,0.43,
Morocco,2015,0.33,
Mozambique,2015,0.45,
Myanmar,2015,1.26,
Namibia,2015,0.29,
Nauru,2015,0.40,
Nepal,2015,1.06,
Netherlands,2015,0.24,
New Zealand,2015,0.23,
Nicaragua,2015,0.43,
Niger,2015,0.49,
Nigeria,2015,0.31,
North Korea,2015,0.65,
Norway,2015,0.24,
Oman,2015,0.68,
Pakistan,2015,1.09,
Palau,2015,0.38,
Panama,2015,0.45,
Papua New Guinea,2015,0.81,
Paraguay,2015,0.53,
Peru,2015,0.37,
Philippines,2015,1.21,
Poland,2015,0.25,
Portugal,2015,0.44,
Qatar,2015,0.61,
Romania,2015,0.35,
Russia,2015,0.37,
Rwanda,2015,0.91,
Saint Kitts and Nevis,2015,0.58,
Saint Lucia,2015,0.57,
Saint Vincent and the Grenadines,2015,0.52,
Samoa,2015,0.18,
Sao Tome and Principe,2015,0.23,
Saudi Arabia,2015,0.59,
Senegal,2015,0.31,
Serbia,2015,0.45,
Seychelles,2015,1.23,
Sierra Leone,2015,0.31,
Singapore,2015,1.62,
Slovakia,2015,0.36,
Slovenia,2015,0.35,
Solomon Islands,2015,0.83,
Somalia,2015,0.77,
South Africa,2015,0.29,
South Korea,2015,1.50,
Spain,2015,0.29,
Sri Lanka,2015,1.57,
Suriname,2015,0.48,
Swaziland,2015,0.29,
Sweden,2015,0.22,
Switzerland,2015,0.29,
Syria,2015,0.32,
Tajikistan,2015,0.53,
Tanzania,2015,0.60,
Thailand,2015,0.70,
Timor,2015,2.57,
Togo,2015,0.71,
Tonga,2015,0.30,
Trinidad and Tobago,2015,0.72,
Tunisia,2015,0.36,
Turkey,2015,0.41,
Turkmenistan,2015,0.38,
Tuvalu,2015,0.34,
Uganda,2015,0.79,
Ukraine,2015,0.25,
United Arab Emirates,2015,0.67,
United Kingdom,2015,0.16,
United States,2015,0.29,
Uruguay,2015,0.21,
Uzbekistan,2015,0.45,
Vanuatu,2015,0.73,
Venezuela,2015,0.49,
Vietnam,2015,3.16,
Yemen,2015,0.38,
Zambia,2015,0.66,
Zimbabwe,2015,0.33,
