Entity,Year,All causes - Disability Adjusted Life Years (WHO (2015)),Communicable Diseases – Disability Adjusted Life Years (WHO (2015))
Afghanistan,2000,86566,37561
Afghanistan,2012,68970,23259
Albania,2000,36919,5068
Albania,2012,29903,3297
Algeria,2000,38868,8253
Algeria,2012,34790,5963
Angola,2000,115496,76145
Angola,2012,93709,52615
Argentina,2000,29479,4348
Argentina,2012,26808,3706
Armenia,2000,35104,4956
Armenia,2012,35083,3719
Australia,2000,20785,1333
Australia,2012,17696,1161
Austria,2000,22536,1023
Austria,2012,19763,934
Azerbaijan,2000,45307,11894
Azerbaijan,2012,33879,6634
Bahamas,2000,34269,11766
Bahamas,2012,30459,7820
Bahrain,2000,29903,2884
Bahrain,2012,25533,2861
Bangladesh,2000,52136,23279
Bangladesh,2012,38814,12774
Barbados,2000,30067,5578
Barbados,2012,26768,4249
Belarus,2000,40636,3114
Belarus,2012,33783,2598
Belgium,2000,22910,1361
Belgium,2012,19878,1162
Belize,2000,35540,7654
Belize,2012,31420,6164
Benin,2000,85433,49116
Benin,2012,65706,31393
Bhutan,2000,65068,24013
Bhutan,2012,44059,11694
Bolivia,2000,56175,20214
Bolivia,2012,44087,12622
Bosnia and Herzegovina,2000,28285,2527
Bosnia and Herzegovina,2012,24000,1820
Botswana,2000,114728,86832
Botswana,2012,61513,32066
Brazil,2000,38100,7866
Brazil,2012,31632,4804
Brunei,2000,24686,2456
Brunei,2012,22941,2205
Bulgaria,2000,33608,3781
Bulgaria,2012,28771,2666
Burkina Faso,2000,101477,66522
Burkina Faso,2012,70891,34532
Burundi,2000,107301,65366
Burundi,2012,80027,40770
Cambodia,2000,64725,34289
Cambodia,2012,40007,14772
Cameroon,2000,94590,59027
Cameroon,2012,77369,42373
Canada,2000,21044,1246
Canada,2012,18838,1311
Cape Verde,2000,41048,13489
Cape Verde,2012,31195,8291
Central African Republic,2000,122132,90789
Central African Republic,2012,97115,65903
Chad,2000,112973,74319
Chad,2012,94563,58484
Chile,2000,24547,2545
Chile,2012,21333,2001
China,2000,32966,7091
China,2012,24811,3282
Colombia,2000,34477,6110
Colombia,2012,27188,4614
Comoros,2000,69054,32778
Comoros,2012,59673,25705
Congo,2000,90299,58050
Congo,2012,70611,38994
Costa Rica,2000,25405,3129
Costa Rica,2012,23017,2549
Cote d'Ivoire,2000,106763,70408
Cote d'Ivoire,2012,88856,48603
Croatia,2000,28663,2055
Croatia,2012,24063,1465
Cuba,2000,26736,3410
Cuba,2012,25180,2847
Cyprus,2000,21523,1042
Cyprus,2012,15789,713
Czech Republic,2000,26544,1700
Czech Republic,2012,22380,1631
Democratic Republic of Congo,2000,104899,67894
Democratic Republic of Congo,2012,92831,54455
Denmark,2000,23437,1176
Denmark,2012,20451,1285
Djibouti,2000,75169,41149
Djibouti,2012,64677,33378
Dominican Republic,2000,34618,10404
Dominican Republic,2012,29597,6243
Ecuador,2000,35058,9208
Ecuador,2012,29357,6131
Egypt,2000,43150,9772
Egypt,2012,35784,5450
El Salvador,2000,39697,8260
El Salvador,2012,36007,5586
Equatorial Guinea,2000,98162,56240
Equatorial Guinea,2012,82201,43229
Eritrea,2000,123729,42581
Eritrea,2012,57089,24397
Estonia,2000,36400,3067
Estonia,2012,26242,2005
Ethiopia,2000,94034,58869
Ethiopia,2012,54964,28224
Fiji,2000,44300,7594
Fiji,2012,39681,6422
Finland,2000,22800,1237
Finland,2012,19843,776
France,2000,22097,1348
France,2012,19104,1115
Gabon,2000,68540,40010
Gabon,2012,58498,30811
Gambia,2000,77325,41769
Gambia,2012,62697,30929
Georgia,2000,33696,6038
Georgia,2012,29323,4260
Germany,2000,22368,1220
Germany,2012,19224,1129
Ghana,2000,71507,41076
Ghana,2012,58375,27278
Greece,2000,22112,1428
Greece,2012,19627,1121
Guatemala,2000,45470,15752
Guatemala,2012,37079,10821
Guinea,2000,99628,63188
Guinea,2012,72518,38941
Guinea-Bissau,2000,93520,58564
Guinea-Bissau,2012,83441,48396
Guyana,2000,51259,12705
Guyana,2012,55470,10593
Haiti,2000,77547,41590
Haiti,2012,61717,25114
Honduras,2000,39090,12598
Honduras,2012,33106,7618
Hungary,2000,34543,2155
Hungary,2012,28707,1629
Iceland,2000,19812,1072
Iceland,2012,17257,767
India,2000,60447,24726
India,2012,47950,15840
Indonesia,2000,45080,15211
Indonesia,2012,36015,9550
Iran,2000,38976,6701
Iran,2012,30911,4440
Iraq,2000,37596,8906
Iraq,2012,38798,6929
Ireland,2000,24183,1695
Ireland,2012,19319,1010
Israel,2000,21702,1474
Israel,2012,17719,1217
Italy,2000,20294,1280
Italy,2012,16957,1015
Jamaica,2000,37292,11561
Jamaica,2012,32646,7125
Japan,2000,17450,1470
Japan,2012,15700,1219
Jordan,2000,34738,5634
Jordan,2012,30626,4165
Kazakhstan,2000,54320,9164
Kazakhstan,2012,42084,4666
Kenya,2000,90442,62033
Kenya,2012,62578,34731
Kuwait,2000,27964,3127
Kuwait,2012,22687,3215
Kyrgyzstan,2000,47692,10405
Kyrgyzstan,2012,39969,6242
Laos,2000,65716,28646
Laos,2012,49556,19510
Latvia,2000,37190,3503
Latvia,2012,29932,2657
Lebanon,2000,28985,3989
Lebanon,2012,20828,2685
Lesotho,2000,106381,71288
Lesotho,2012,99421,64355
Liberia,2000,100675,63650
Liberia,2012,62373,31939
Libya,2000,35341,5249
Libya,2012,28906,3479
Lithuania,2000,33906,2568
Lithuania,2012,30215,2248
Luxembourg,2000,22677,1102
Luxembourg,2012,18648,905
Macedonia,2000,30232,2723
Macedonia,2012,26392,1883
Madagascar,2000,72916,37353
Madagascar,2012,54971,24108
Malawi,2000,123525,93801
Malawi,2012,70678,41634
Malaysia,2000,34316,6124
Malaysia,2012,29765,5432
Maldives,2000,43610,10334
Maldives,2012,25036,3776
Mali,2000,108153,65429
Mali,2012,75910,37702
Malta,2000,22028,1691
Malta,2012,19507,1241
Mauritania,2000,66860,37573
Mauritania,2012,58285,30734
Mauritius,2000,33835,3457
Mauritius,2012,30076,3656
Mexico,2000,29436,5176
Mexico,2012,26763,3556
Moldova,2000,43034,5646
Moldova,2012,35472,3912
Mongolia,2000,55523,11748
Mongolia,2012,42935,5989
Montenegro,2000,29832,2629
Montenegro,2012,26702,1855
Morocco,2000,43710,11775
Morocco,2012,38061,8260
Mozambique,2000,108720,69400
Mozambique,2012,88491,54637
Myanmar,2000,58153,25767
Myanmar,2012,48793,16796
Namibia,2000,74137,43117
Namibia,2012,48404,21350
Nepal,2000,59688,23876
Nepal,2012,43324,13914
Netherlands,2000,21969,1427
Netherlands,2012,18770,1134
New Zealand,2000,22104,1150
New Zealand,2012,18742,1157
Nicaragua,2000,34756,8561
Nicaragua,2012,33239,5741
Niger,2000,98342,65346
Niger,2012,70093,38549
Nigeria,2000,111480,72681
Nigeria,2012,84764,48537
North Korea,2000,47905,12683
North Korea,2012,36756,7319
Norway,2000,23043,1151
Norway,2012,19615,989
Oman,2000,33541,6151
Oman,2012,27260,4469
Pakistan,2000,57667,26978
Pakistan,2012,50534,19351
Panama,2000,29039,6423
Panama,2012,27476,5461
Papua New Guinea,2000,70304,32991
Papua New Guinea,2012,59322,24953
Paraguay,2000,32606,7357
Paraguay,2012,30862,5478
Peru,2000,35748,11237
Peru,2012,26911,5933
Philippines,2000,41372,13047
Philippines,2012,41446,10384
Poland,2000,29711,2212
Poland,2012,25415,1786
Portugal,2000,24909,2031
Portugal,2012,19815,1552
Qatar,2000,27102,2911
Qatar,2012,22923,2236
Romania,2000,35680,5890
Romania,2012,28496,3076
Russia,2000,50706,6050
Russia,2012,39906,4840
Rwanda,2000,117363,75927
Rwanda,2012,54160,22931
Saudi Arabia,2000,33652,5526
Saudi Arabia,2012,27174,3421
Senegal,2000,74595,44446
Senegal,2012,53970,26251
Serbia,2000,33396,2507
Serbia,2012,28151,1760
Sierra Leone,2000,157907,100560
Sierra Leone,2012,117683,70714
Singapore,2000,19028,1898
Singapore,2012,14354,1641
Slovakia,2000,30695,2328
Slovakia,2012,25991,2068
Slovenia,2000,26583,1732
Slovenia,2012,21200,1313
Solomon Islands,2000,50302,16328
Solomon Islands,2012,41888,10879
Somalia,2000,101532,65607
Somalia,2012,89247,52376
South Africa,2000,69032,34426
South Africa,2012,67514,34994
South Korea,2000,23891,1771
South Korea,2012,17921,1452
South Sudan,2000,103380,65175
South Sudan,2012,80319,45698
Spain,2000,20455,1569
Spain,2012,16984,1163
Sri Lanka,2000,39730,6604
Sri Lanka,2012,28527,4131
Sudan,2000,71794,37709
Sudan,2012,59210,27045
Suriname,2000,36786,9504
Suriname,2012,29901,6044
Swaziland,2000,106704,67517
Swaziland,2012,87161,52456
Sweden,2000,20534,957
Sweden,2012,18308,917
Switzerland,2000,20584,1161
Switzerland,2012,17679,961
Syria,2000,32393,5466
Syria,2012,43178,3775
Tajikistan,2000,52132,18073
