Entity,Year,Economic Complexity Index (ECI) (Observatory of Economic Complexity (2016)),ECI+ (Observatory of Economic Complexity (2016)),Economic Complexity Index (ECI) (Atlas of Economic Complexity (2016)),OEC ECI Ranking (Observatory of Economic Complexity (2016)),Atlas of Economic Complexity ECI Ranking (Atlas of Economic Complexity (2016))
Albania,1964,-.16267499,,,44,
Albania,1965,-.144394,,,43,
Albania,1966,.001056,,,43,
Albania,1967,.21063501,,,36,
Albania,1968,.056063,,,41,
Albania,1969,.061085999,,,43,
Albania,1970,-.024968,,,44,
Albania,1971,.089795001,,,41,
Albania,1972,.094190001,,,43,
Albania,1973,-.064341001,,,48,
Albania,1974,-.170026,,,53,
Albania,1975,-.13874801,,,53,
Albania,1976,-.171997,,,55,
Albania,1977,-.26786301,,,62,
Albania,1978,.027023001,,,48,
Albania,1979,-.074055001,,,48,
Albania,1980,.42067599,,,30,
Albania,1981,.242285,,,38,
Albania,1982,.34736201,,,34,
Albania,1983,.203431,,,39,
Albania,1984,-.040355001,,,51,
Albania,1985,-.226584,,,57,
Albania,1986,-.33635899,,,64,
Albania,1987,-.229183,,,57,
Albania,1988,-.28195199,,,58,
Albania,1989,-.264478,,,59,
Albania,1990,-.19779401,,,54,
Albania,1991,-.21099401,,,55,
Albania,1992,-.242111,,,65,
Albania,1993,-.19509301,,,67,
Albania,1994,-.179171,,,66,
Albania,1995,-.28680101,,-.50959998,69,
Albania,1996,-.37706399,,-.22149999,70,
Albania,1997,-.404282,,-.36790001,72,
Albania,1998,-.43934,,-.3215,71,
Albania,1999,-.42106,,-.1831,73,
Albania,2000,-.27605501,,-.1197,69,
Albania,2001,-.047386002,,-.1741,59,
Albania,2002,-.017419999,,-.138,56,
Albania,2003,-.023840001,,-.0184,59,
Albania,2004,-.128714,,-.2246,65,
Albania,2005,-.245883,,-.28150001,69,
Albania,2006,-.39510101,,-.51849997,75,
Albania,2007,-.49088901,,-.47580001,79,
Albania,2008,.151114,,.249,52,
Albania,2009,.56327897,,-.68360001,37,
Albania,2010,.55278802,,-.74519998,38,
Albania,2011,.27274901,,-.49970001,46,
Albania,2012,-.47258601,,-.48050001,76,
Albania,2013,-.68493301,,-.498,79,
Albania,2014,-.54207897,,-.65969998,75,
Albania,2015,-.65088499,,-.72689998,78,
Albania,2016,-.99780202,,-.50959998,71,
Algeria,1964,-.13141599,,,40,
Algeria,1965,-.248026,,,48,
Algeria,1966,-.298926,,,55,
Algeria,1967,-.326832,,,54,
Algeria,1968,-.46939701,,,60,
Algeria,1969,-.52116102,,,59,
Algeria,1970,-.49276501,,,58,
Algeria,1971,-.38789499,,,59,
Algeria,1972,-.58116198,,,67,
Algeria,1973,-.63415498,,,66,
Algeria,1974,-.77250397,,,74,
Algeria,1975,-.65800899,,,71,
Algeria,1976,-.81582999,,,74,
Algeria,1977,-.82202297,,,75,
Algeria,1978,-.93973303,,,79,
Algeria,1979,-.84465402,,,78,
Algeria,1980,-.75475103,,,77,
Algeria,1981,-1.0883,,,84,
Algeria,1982,-1.11657,,,85,
Algeria,1983,-1.18598,,,88,
Algeria,1984,-1.18261,,,88,
Algeria,1985,-1.10051,,,88,
Algeria,1986,-1.2243201,,,89,
Algeria,1987,-.78763902,,,76,
Algeria,1988,-.29223099,,,59,
Algeria,1989,-.25745699,,,58,
Algeria,1990,-.649656,,,75,
Algeria,1991,-.64568698,,,74,
Algeria,1992,-.79803199,,,90,
Algeria,1993,-.770482,,,90,
Algeria,1994,-.63565701,,,86,
Algeria,1995,-.78749698,,-.4267,90,
Algeria,1996,-.72510999,,-.16150001,86,
Algeria,1997,-.81471801,,-.62159997,93,
Algeria,1998,-.80282903,,-.70859998,94,
Algeria,1999,-.74116498,,-.86739999,86,
Algeria,2000,-.84342402,,-.95749998,97,
Algeria,2001,-.90610802,,-.86839998,98,
Algeria,2002,-.80861801,,-.9612,93,
Algeria,2003,-.87559199,,-1.2108001,97,
Algeria,2004,-1.11,,-.73580003,103,
Algeria,2005,-1.1146801,,-.5212,103,
Algeria,2006,-.78872699,,-.80199999,90,
Algeria,2007,-.68275499,,-.9975,88,
Algeria,2008,-1.0320899,,-1.0867,105,
Algeria,2009,-1.07781,,-1.2338001,107,
Algeria,2010,-1.1549799,,-1.1507,109,
Algeria,2011,-1.28473,,-1.415,114,
Algeria,2012,-1.56777,,-1.1093,114,
Algeria,2013,-2.0815401,,-1.4816999,110,
Algeria,2014,-1.7725199,,-1.411,104,
Algeria,2015,-1.6871001,,-1.3532,105,
Algeria,2016,-.78158498,,-.85659999,64,
Angola,1964,-1.31753,,,89,
Angola,1965,-1.21766,,,88,
Angola,1966,-1.17056,,,87,
Angola,1967,-1.03878,,,84,
Angola,1968,-1.23318,,,91,
Angola,1969,-1.22352,,,90,
Angola,1970,-1.20874,,,90,
Angola,1971,-1.32727,,,90,
Angola,1972,-1.28119,,,93,
Angola,1973,-1.15258,,,86,
Angola,1974,-1.14003,,,87,
Angola,1975,-1.24488,,,91,
Angola,1976,-1.37667,,,90,
Angola,1977,-1.54506,,,94,
Angola,1978,-1.43599,,,95,
Angola,1979,-1.4835,,,94,
Angola,1980,-1.43557,,,94,
Angola,1981,-1.70915,,,97,
Angola,1982,-1.7686501,,,97,
Angola,1983,-2.01443,,,97,
Angola,1984,-1.94971,,,98,
Angola,1985,-1.78521,,,99,
Angola,1986,-1.822,,,99,
Angola,1987,-1.2618099,,,90,
Angola,1988,-1.6952,,,98,
Angola,1989,-1.2709301,,,92,
Angola,1990,-1.67635,,,98,
Angola,1991,-2.0067899,,,100,
Angola,1992,-2.04018,,,114,
Angola,1993,-1.46963,,,114,
Angola,1994,-1.2622401,,,110,
Angola,1995,-1.70503,,-2.2361,117,
Angola,1996,-1.75814,,-1.8908,117,
Angola,1997,-1.79175,,-1.5132,117,
Angola,1998,-1.60166,,-1.7323999,115,
Angola,1999,-1.61325,,-1.4148999,115,
Angola,2000,-1.6736701,,-1.9914,117,
Angola,2001,-1.71443,,-1.6395,117,
Angola,2002,-2.04759,,-2.1928,120,
Angola,2003,-2.0692401,,-2.0332999,120,
Angola,2004,-.70573199,,-.91610003,88,
Angola,2005,-.78795898,,-1.8033,88,
Angola,2006,-.79822499,,-2.2246001,92,
Angola,2007,-1.91304,,-1.4768,119,
Angola,2008,-1.95195,,-2.29,120,
Angola,2009,-1.96257,,-1.1747,119,
Angola,2010,-2.0130899,,-1.0599999,120,
Angola,2011,-2.0908699,,-1.3122,121,
Angola,2012,-2.7913599,,-1.4043,119,
Angola,2013,,,-1.2627,,
Angola,2014,,,-1.5678,,
Angola,2015,,,-1.2772,,
Angola,2016,,,-1.1932,,
Argentina,1964,-.23552801,,,49,
Argentina,1965,-.138631,,,42,
Argentina,1966,-.186694,,,46,
Argentina,1967,-.281353,,,49,
Argentina,1968,-.27469999,,,52,
Argentina,1969,-.24875399,,,50,
Argentina,1970,-.139189,,,49,
Argentina,1971,-.117285,,,47,
Argentina,1972,-.021875,,,47,
Argentina,1973,.117281,,,41,
Argentina,1974,.269263,,,39,
Argentina,1975,.39073101,,,35,
Argentina,1976,.18431801,,,45,
Argentina,1977,.12915599,,,44,
Argentina,1978,.100627,,,45,
Argentina,1979,-.030212,,,46,
Argentina,1980,-.100055,,,52,
Argentina,1981,-.088912003,,,52,
Argentina,1982,-.040169999,,,48,
Argentina,1983,.100525,,,45,
Argentina,1984,.089542001,,,45,
Argentina,1985,.02977,,,44,
Argentina,1986,.021269999,,,46,
Argentina,1987,.064140998,,,42,
Argentina,1988,.042608999,,,42,
