Entity,Year,Greenhouse Gas Emissions (Clark & Tilman (2017)),Land Use (Clark & Tilman (2017)),Energy Use (Clark & Tilman (2017)),Acidification Potential (Clark & Tilman (2017)),Eutrophication Potential (Clark & Tilman (2017))
Beef/Mutton,2017,22.01127907,0.098756522,,,
Dairy,2017,1.823335867,0.002691698,,,
Eggs,2017,2.140920635,0.004510263,,,
Fresh Produce,2017,0.807432432,0.001148814,,,
Maize,2017,0.113846154,0.00037,,,
Non-Recirculating Aquaculture,2017,7.048965517,,,,
Non-Trawling Fishery,2017,5.963766234,,,,
Pork,2017,3.514826198,0.011403886,,,
Poultry,2017,3.729166667,0.006488333,,,
Pulses,2017,0.046153846,0.000848333,,,
Recirculating Aquaculture,2017,16.132,,,,
Rice,2017,0.454166667,0.000489231,,,
Trawl Fishery,2017,15.31285714,,,,
Wheat,2017,0.215945946,0.00165875,,,
