Entity,Year,"Number of cities with at least 10,000 inhabitants, by territory (De Vries (1984))","Total European urban population share, by region (De Vries (1984))","Urban share of total population, by territory and region (De Vries (1984))","Total European rural population share, by region (De Vries (1984))","Total European urban population, by region (De Vries (1984))","Total European rural population, by region (De Vries (1984))","Rural share of total population, by territory and region (De Vries (1984))",Total population (De Vries (1984)),Urban population (De Vries (1984)),Rural population (De Vries (1984))
Austria-Bohemia,1500,,,1.7,,,,98.300003,,59500,3440500
Austria-Bohemia,1550,,,1.9,,,,98.099998,,68400,3531600
Austria-Bohemia,1600,,,2.1,,,,97.900002,,90300,4209700
Austria-Bohemia,1650,,,2.4,,,,97.599998,,98400,4001600
Austria-Bohemia,1700,,,3.9,,,,96.099998,,179400,4420600
Austria-Bohemia,1750,,,5.2,,,,94.800003,,296400,5403600
Austria-Bohemia,1800,,,5.2,,,,94.800003,,410800,7489200
Austria-Bohemia,1850,,,6.7,,,,93.300003,,864300,12035700
Austria-Bohemia,1890,,,18.1,,,,81.900002,,3185600,14414400
Austria-Bohemia,1980,,,21.3,,,,78.699997,,4835100,17864900
Belgium,1500,,,21.1,,,,78.900002,,295400,1104600
Belgium,1550,,,22.7,,,,77.300003,,374550,1275450
Belgium,1600,,,18.8,,,,81.199997,,300800,1299200
Belgium,1650,,,20.8,,,,79.199997,,416000,1584000
Belgium,1700,,,23.9,,,,76.099998,,478000,1522000
Belgium,1750,,,19.6,,,,80.400002,,431200,1768800
Belgium,1800,,,18.9,,,,81.099998,,548100,2351900
Belgium,1850,,,20.5,,,,79.5,,902000,3498000
Belgium,1890,,,34.5,,,,65.5,,2104500,3995500
Belgium,1980,,,28.6,,,,71.400002,,2802800,6997200
British Isles,1500,,2.7,2,97.300003,,,98,,,
British Isles,1550,,2.8,2.4,97.199997,,,97.599998,,,
British Isles,1600,,4.8,4.2,95.199997,,,95.800003,,,
British Isles,1650,,8.800000000000001,6.5,91.199997,,,93.5,,,
British Isles,1700,,11.7,9.4,88.300003,,,90.599998,,,
British Isles,1750,,14.6,12.3,85.400002,,,87.699997,,,
British Isles,1800,,20.6,15.6,79.400002,,,84.400002,,,
British Isles,1850,,,32.5,,,,67.5,,,
British Isles,1890,,,55,,,,45,,,
British Isles,1980,,,46.6,,,,53.400002,,,
Central Italy,1550,,,11.4,,,,88.599998,,285000,2215000
Central Italy,1600,,,12.5,,,,87.5,,362500,2537500
Central Italy,1650,,,14.2,,,,85.800003,,383400,2316600
Central Italy,1700,,,14.3,,,,85.699997,,400400,2399600
Central Italy,1750,,,14.5,,,,85.5,,449500,2650500
Central Italy,1800,,,13.6,,,,86.400002,,489600,3110400
Central region,1500,,31.5,3.7,68.5,,,96.300003,,1073000,27927000
Central region,1550,,30.8,4,69.199997,,,96,,1352000,32448000
