Entity,Year,Fatal accidents from commercial and non-commercial airliners (ASN),Fatalities from commercial and non-commercial airliners (ASN),Hijacking incidents (ASN),Fatalties from hijaking incidents (ASN),Fatal accidents from commercial airliners (ASN),Fatalities from commercial airliners (ASN),Number of flight departures (ASN),Fatal accidents from passenger-only commercial airliners (ASN),Fatalities from passenger-only commercial airliners (ASN),Fatalities per million flights (ASN),Fatal accidents per million commercial flights (ASN),Million flights per fatal accident (ASN),Passengers per year (World Bank),Fatalities per million passengers (ASN),Million passengers per fatality (ASN),Number of flight departures
World,1942,,,0,0,,,,,,,,,,,,
World,1943,,,0,0,,,,,,,,,,,,
World,1944,,,0,0,,,,,,,,,,,,
World,1945,,,0,0,,,,,,,,,,,,
World,1946,,,0,0,60,792,,,,,,,,,,
World,1947,,,0,0,72,1050,,,,,,,,,,
World,1948,,,7,26,80,1234,,,,,,,,,,
World,1949,,,7,1,70,1100,,,,,,,,,,
World,1950,,,4,0,55,1062,,,,,,,,,,
World,1951,,,1,0,60,918,,,,,,,,,,
World,1952,,,4,2,51,762,,,,,,,,,,
World,1953,,,0,0,61,922,,,,,,,,,,
World,1954,,,2,1,46,680,,,,,,,,,,
World,1955,,,0,0,55,695,,,,,,,,,,
World,1956,,,2,1,44,799,,,,,,,,,,
World,1957,,,0,0,53,857,,,,,,,,,,
World,1958,,,8,19,61,1183,,,,,,,,,,
World,1959,,,6,1,60,1021,,,,,,,,,,
World,1960,,,8,3,61,1448,,,,,,,,,,
World,1961,,,10,3,50,1367,,,,,,,,,,
World,1962,,,1,0,57,1724,,,,,,,,,,
World,1963,,,1,0,47,1199,,,,,,,,,,
World,1964,,,0,0,43,1049,,,,,,,,,,
World,1965,,,5,1,48,1201,,,,,,,,,,
World,1966,,,4,2,48,1429,,,,,,,,,,
World,1967,,,5,1,50,1323,,,,,,,,,,
World,1968,,,29,1,53,1356,,,,,,,,,,
World,1969,,,86,5,66,1654,,,,,,,,,,
World,1970,,,77,7,60,1476,,,,,6.35,,,4.75,0.2,
World,1971,,,54,8,46,1457,,,,,4.84,,,4.39,0.2,
World,1972,,,59,25,64,2469,,,,,,,,,,
World,1973,,,22,88,60,2268,,,,,6.14,,,5.65,0.2,
World,1974,,,20,83,58,2109,,,,,6.27,,,5.01,0.2,
World,1975,,,19,2,43,1149,,,,,4.65,,,2.66,0.4,
World,1976,,,16,15,51,1708,,,,,5.33,,,3.62,0.3,
World,1977,,,32,114,51,1712,,,,,5.14,,,3.34,0.3,
World,1978,,,26,4,41,1235,,,,,4.03,,,2.14,0.5,
World,1979,,,23,0,55,1749,,,,,5.16,,,2.70,0.4,
World,1980,,,37,1,33,1336,,,,,3.08,,,2.08,0.5,
World,1981,,,31,6,37,866,,,,,3.60,,,1.35,0.7,
World,1982,,,31,1,31,1138,,,,,3.00,,,1.74,0.6,
World,1983,,,35,12,32,1347,,,,,2.97,,,1.97,0.5,
World,1984,,,27,33,30,639,,,,,2.63,,,0.87,1.1,
World,1985,,,26,65,39,2421,,,,,3.28,,,3.09,0.3,
World,1986,,,16,87,37,883,,,,,2.92,,,1.05,1.0,
World,1987,,,12,2,43,1316,,,,,3.25,,,1.45,0.7,
World,1988,,,15,12,54,1708,,,,,3.89,,,1.79,0.6,
World,1989,,,15,1,54,1784,,,,,3.85,,,1.81,0.6,
World,1990,,,38,86,43,758,,,,,2.95,,,0.74,1.4,
World,1991,,,20,6,49,1145,,,,,3.41,,,1.01,1.0,
World,1992,,,11,4,48,1494,,,,,3.22,,,1.30,0.8,
World,1993,,,36,4,45,1235,,,,,2.81,,,1.08,0.9,
World,1994,,,27,8,49,1435,,,,,2.85,,,1.16,0.9,
World,1995,,,12,1,48,1181,,,,,2.67,,,0.91,1.1,
World,1996,,,17,125,49,1924,,,,,2.59,,,1.38,0.7,
World,1997,,,12,1,37,1240,,,,,1.89,,,0.85,1.2,
World,1998,,,14,1,47,1330,,,,,2.39,,,0.91,1.1,
World,1999,,,13,2,43,689,,,,,2.07,,,0.44,2.3,
World,2000,,,27,5,37,1139,,,,,1.68,,,0.68,1.5,
World,2001,,,11,268,36,1125,,,,,1.62,,,0.68,1.5,
World,2002,,,10,2,33,1069,,,,,1.59,,,0.66,1.5,
World,2003,,,9,0,24,666,,,,,1.13,,,0.40,2.5,
World,2004,,,4,0,32,541,,,,,1.35,,,0.29,3.5,
World,2005,,,1,0,34,1056,,,,,1.40,,,0.54,1.9,
World,2006,,,3,0,24,881,,,,,0.97,,,0.43,2.4,
World,2007,,,6,0,29,771,,,,,1.11,,,0.35,2.9,
World,2008,,,3,0,26,552,,,,,1.02,,,0.25,4.0,
World,2009,,,5,0,23,725,,,,,0.88,,,0.32,3.1,
World,2010,,,1,0,27,831,,,,,0.91,,,0.32,3.2,
World,2011,,,1,0,32,511,,,,,1.05,,,0.18,5.5,
World,2012,,,3,2,18,418,,,,,0.58,,,0.14,6.9,
World,2013,,,1,0,23,256,,,,,0.74,,,0.08,11.9,
World,2014,,,3,0,18,961,,,,,0.56,,,0.30,3.4,
World,2015,,,0,0,10,537,,,,,0.30,,,0.16,6.5,
World,2016,,,2,0,16,303,,,,,0.46,,,0.08,12.2,
World,2017,,,0,0,10,44,,,,,0.27,,,0.01,90.3,
