Entity,Year,GDP per capita
Argentina,1928,4291.301697
Argentina,1929,4367.067703
Argentina,1930,4079.581957
Argentina,1931,3711.655441
Argentina,1932,3521.821986
Argentina,1933,3621.314863
Argentina,1934,3844.818097
Argentina,1935,3950.009064
Argentina,1936,3911.963942
Argentina,1937,4125.313665
Argentina,1938,4071.915168
Argentina,1939,4147.909463
Argentina,1940,4161.43383
Argentina,1941,4303.959694
Argentina,1942,4284.201059
Argentina,1943,4182.167772
Argentina,1944,4578.966537
Argentina,1945,4356.213147
Argentina,1946,4665.168191
Argentina,1947,5089.47231
Argentina,1948,5251.776208
Argentina,1949,5047.398128
Argentina,1950,4986.724458
Argentina,1951,5073.029915
Argentina,1952,4717.413859
Argentina,1953,4874.493824
Argentina,1954,4979.828648
Argentina,1955,5237.000075
Argentina,1956,5285.31468
Argentina,1957,5460.686494
Argentina,1958,5697.980988
Argentina,1959,5241.468063
Argentina,1960,5559.465947
Argentina,1961,5861.841649
Argentina,1962,5677.233225
Argentina,1963,5455.440482
Argentina,1964,5926.126658
Argentina,1965,6370.747338
Argentina,1966,6320.604235
Argentina,1967,6398.951785
Argentina,1968,6577.756622
Argentina,1969,7037.280383
Argentina,1970,7301.966217
Argentina,1971,7529.937018
Argentina,1972,7634.565559
Argentina,1973,7961.973879
Argentina,1974,8334.083602
Argentina,1975,8122.497305
Argentina,1976,7965.20183
Argentina,1977,8304.381424
Argentina,1978,7807.247683
Argentina,1979,8226.909848
Argentina,1980,8205.979887
Argentina,1981,7606.558514
Argentina,1982,7245.755199
Argentina,1983,7387.053452
Argentina,1984,7425.854256
Argentina,1985,6834.930882
Argentina,1986,7223.791941
Argentina,1987,7297.928854
Argentina,1988,7054.363064
Argentina,1989,6520.109296
Argentina,1990,6432.921661
Argentina,1991,6954.710722
Argentina,1992,7383.739587
Argentina,1993,7748.367729
Argentina,1994,8119.048972
Argentina,1995,7785.950334
Argentina,1996,8090.801274
Argentina,1997,8614.729624
Argentina,1998,8899.888248
Argentina,1999,8545.157891
Argentina,2000,8409.969914
Argentina,2001,7967.806307
Argentina,2002,7038.063218
Argentina,2003,7518.343329
Argentina,2004,7966.885575
Argentina,2005,8540.598227
Argentina,2006,9101.152747
Argentina,2007,9715.227196
Argentina,2008,9971.923685
Argentina,2009,9580.694777
Argentina,2010,10256.27514
Argentina,2011,10671.09802
Argentina,2012,10452.12035
Argentina,2013,10574.3942
Argentina,2014,10409.95503
Argentina,2015,10497.90173
Botswana,1950,349
Botswana,1951,355
Botswana,1952,359
Botswana,1953,366
Botswana,1954,372
Botswana,1955,377
Botswana,1956,383
Botswana,1957,388
Botswana,1958,392
Botswana,1959,399
Botswana,1960,403
Botswana,1961,410
Botswana,1962,415
Botswana,1963,422
Botswana,1964,430
Botswana,1965,437
Botswana,1966,473
Botswana,1967,513
Botswana,1968,557
Botswana,1969,601
Botswana,1970,647
Botswana,1971,747
Botswana,1972,956
Botswana,1973,1123
Botswana,1974,1300
Botswana,1975,1223
Botswana,1976,1381
Botswana,1977,1358
Botswana,1978,1537
Botswana,1979,1613
Botswana,1980,1765
Botswana,1981,1858
Botswana,1982,1921
Botswana,1983,2144
Botswana,1984,2300
Botswana,1985,2387
Botswana,1986,2485
Botswana,1987,2619
Botswana,1988,2937
Botswana,1989,3216
Botswana,1990,3304
Botswana,1991,3360
Botswana,1992,3354
Botswana,1993,3311
Botswana,1994,3321
Botswana,1995,3367
Botswana,1996,3458
Botswana,1997,3589
Botswana,1998,3704
Botswana,1999,3845
Botswana,2000,4084
Botswana,2001,4211
Botswana,2002,4339
Botswana,2003,4429
Botswana,2004,4489
Botswana,2005,4481
Botswana,2006,4619
Botswana,2007,4728
Botswana,2008,4769
Botswana,2009,4317.731533
Botswana,2010,4594.509251
Botswana,2011,4774.76313
Botswana,2012,4886.723193
Botswana,2013,5260.807804
Botswana,2014,5323.149038
Botswana,2015,5209.737764
Brazil,1928,1158
Brazil,1929,1137
Brazil,1930,1048
Brazil,1931,1004
Brazil,1932,1018
Brazil,1933,1076
Brazil,1934,1142
Brazil,1935,1150
Brazil,1936,1235
Brazil,1937,1250
Brazil,1938,1276
Brazil,1939,1263
Brazil,1940,1250
Brazil,1941,1307
Brazil,1942,1229
Brazil,1943,1368
Brazil,1944,1386
Brazil,1945,1390
Brazil,1946,1501
Brazil,1947,1518
Brazil,1948,1596
Brazil,1949,1659
Brazil,1950,1672
Brazil,1951,1702
Brazil,1952,1752
Brazil,1953,1784
Brazil,1954,1848
Brazil,1955,1926
Brazil,1956,1896
Brazil,1957,1994
Brazil,1958,2111
Brazil,1959,2221
Brazil,1960,2335
