Entity,Year,Deviation from 1961-1990 average temperature
World,1000,0.0030465
World,1001,-0.006229
World,1002,-0.014937
World,1003,-0.022072
World,1004,-0.027126
World,1005,-0.030245
World,1006,-0.032083
World,1007,-0.03342
World,1008,-0.034744
World,1009,-0.035978
World,1010,-0.036503
World,1011,-0.035484
World,1012,-0.032357
World,1013,-0.027283
World,1014,-0.021349
World,1015,-0.016398
World,1016,-0.014509
World,1017,-0.017293
World,1018,-0.025239
World,1019,-0.03736
World,1020,-0.051282
World,1021,-0.063798
World,1022,-0.071728
World,1023,-0.07284
World,1024,-0.066562
World,1025,-0.054256
World,1026,-0.03897
World,1027,-0.024713
World,1028,-0.015467
World,1029,-0.014181
World,1030,-0.022022
World,1031,-0.038077
World,1032,-0.059563
World,1033,-0.082483
World,1034,-0.10254
World,1035,-0.11609
World,1036,-0.12087
World,1037,-0.11638
World,1038,-0.10385
World,1039,-0.085764
World,1040,-0.065213
World,1041,-0.045119
World,1042,-0.027619
World,1043,-0.013703
World,1044,-0.0031992
World,1045,0.0049089
World,1046,0.011943
World,1047,0.018922
World,1048,0.026086
World,1049,0.032694
World,1050,0.037207
World,1051,0.037801
World,1052,0.033084
World,1053,0.022783
World,1054,0.0081403
World,1055,-0.0081582
World,1056,-0.022582
World,1057,-0.031744
World,1058,-0.033505
World,1059,-0.02781
World,1060,-0.01696
World,1061,-0.005138
World,1062,0.0027109
World,1063,0.0023532
World,1064,-0.0083771
World,1065,-0.028785
World,1066,-0.055374
World,1067,-0.082772
World,1068,-0.10525
World,1069,-0.11834
World,1070,-0.12008
World,1071,-0.11146
World,1072,-0.095944
World,1073,-0.078338
World,1074,-0.063312
World,1075,-0.054131
World,1076,-0.051933
World,1077,-0.055754
World,1078,-0.06317
World,1079,-0.071296
World,1080,-0.077746
World,1081,-0.081243
World,1082,-0.081739
World,1083,-0.080092
World,1084,-0.077499
World,1085,-0.074961
World,1086,-0.072997
World,1087,-0.071695
World,1088,-0.071037
World,1089,-0.07131
World,1090,-0.073384
World,1091,-0.078694
World,1092,-0.088878
World,1093,-0.10519
World,1094,-0.1279
World,1095,-0.15591
World,1096,-0.18681
World,1097,-0.21735
World,1098,-0.24426
World,1099,-0.26515
World,1100,-0.27921
World,1101,-0.28749
World,1102,-0.29256
World,1103,-0.29773
World,1104,-0.30606
World,1105,-0.31932
World,1106,-0.33743
World,1107,-0.35838
World,1108,-0.37871
World,1109,-0.3945
World,1110,-0.40242
World,1111,-0.40065
World,1112,-0.38942
World,1113,-0.37095
World,1114,-0.3489
World,1115,-0.32747
World,1116,-0.3104
World,1117,-0.30013
World,1118,-0.29727
World,1119,-0.30059
World,1120,-0.30737
World,1121,-0.31408
World,1122,-0.31721
World,1123,-0.31407
World,1124,-0.30335
World,1125,-0.28539
World,1126,-0.26212
World,1127,-0.23665
World,1128,-0.2126
World,1129,-0.19339
World,1130,-0.18154
World,1131,-0.17819
World,1132,-0.18289
World,1133,-0.19372
World,1134,-0.20785
World,1135,-0.2221
World,1136,-0.23378
World,1137,-0.24126
World,1138,-0.24433
World,1139,-0.24423
World,1140,-0.24328
World,1141,-0.24421
World,1142,-0.24943
World,1143,-0.26038
World,1144,-0.2771
World,1145,-0.29825
World,1146,-0.32137
World,1147,-0.34355
World,1148,-0.36206
World,1149,-0.37493
World,1150,-0.38128
World,1151,-0.38133
World,1152,-0.37618
World,1153,-0.36739
World,1154,-0.35665
World,1155,-0.34544
World,1156,-0.33495
World,1157,-0.326
World,1158,-0.31912
World,1159,-0.31457
World,1160,-0.31233
World,1161,-0.31203
World,1162,-0.3129
World,1163,-0.31378
World,1164,-0.31325
World,1165,-0.30988
World,1166,-0.30255
World,1167,-0.2907
World,1168,-0.27455
World,1169,-0.25504
World,1170,-0.23372
World,1171,-0.21238
World,1172,-0.19279
World,1173,-0.1764
World,1174,-0.16424
World,1175,-0.15687
World,1176,-0.15456
World,1177,-0.1574
World,1178,-0.16541
World,1179,-0.17856
World,1180,-0.19659
World,1181,-0.21889
World,1182,-0.24424
World,1183,-0.27086
World,1184,-0.29644
World,1185,-0.3186
World,1186,-0.33527
World,1187,-0.34516
World,1188,-0.34806
World,1189,-0.34483
