Entity,Year,Food consumed at home as share of disposable income,Food consumed away from home as share of disposable income,Food as share of disposable income (at and away from home),Restaurant prices relative to retail prices,Manufacturers' and shippers' prices relative to retail prices,Food eaten away from home as share of total food expenditure,Food expenditure at home (current prices),Food expenditure away from home (current prices),"Food expenditure, total (current prices)",Food expenditure at home (constant 1988 prices),Food expenditure away from home (constant 1988 prices),"Food expenditure, total (constant 1988 prices)"
United States,1929,20.26,3.13,,124,,,,,,,,
United States,1930,21.09,3.07,,,,,,,,,,
United States,1931,19.66,3.25,,,,,,,,,,
United States,1932,19.39,3.43,,,,,,,,,,
United States,1933,21.77,3.23,,,,,,,,,,
United States,1934,20.86,3.20,,,,,,,,,,
United States,1935,20.23,3.01,,,,,,,,,,
United States,1936,18.70,2.95,,,,,,,,,,
United States,1937,18.27,3.02,,,,,,,,,,
United States,1938,18.75,3.13,,,,,,,,,,
United States,1939,17.96,3.17,,124,,,,,,,,
United States,1940,17.37,3.09,,,,,,,,,,
United States,1941,16.01,3.03,,,,,,,,,,
United States,1942,15.15,2.96,,,,,,,,,,
United States,1943,14.82,3.23,,,,,,,,,,
United States,1944,14.55,3.36,,,,,,,,,,
United States,1945,15.08,3.65,,,,,,,,,,
United States,1946,17.16,3.93,,,,,,,,,,
United States,1947,18.79,4.23,,,,,,,,,,
United States,1948,17.96,3.86,,127.2,,,,,,,,
United States,1949,17.62,4.00,,,,,,,,,,
United States,1950,16.59,3.53,,,,,,,,,,
United States,1951,16.84,3.54,,,,,,,,,,
United States,1952,16.67,3.51,,,,,,,,,,
United States,1953,15.90,3.38,,,,,,,,1129,522,
United States,1954,15.57,3.41,,129.6,,,,,,996,522,
United States,1955,14.70,3.36,,133.6,,,,,,1116,533,
United States,1956,14.24,3.34,,135.7,,,,,,1125,537,
United States,1957,14.58,3.31,,136.3,,,,,,1136,541,
United States,1958,14.62,3.26,,134.6,,,,,,1070,536,
United States,1959,13.89,3.36,,141.7,,,,,,1130,522,
United States,1960,13.67,3.34,,144.2,,,,,,1137,522,
United States,1961,13.20,3.33,,146.0,,,,,,1132,522,
United States,1962,12.68,3.33,,148.9,,,,,,1113,522,
United States,1963,12.16,3.32,,150.2,,,,,,1105,530,
United States,1964,11.66,3.29,,151.4,,,,,,1077,534,
United States,1965,11.38,3.30,,151.0,,,,,,1095,551,
United States,1966,11.00,3.36,,150.5,,,,,,1108,580,
United States,1967,10.35,3.34,,158.7,,,,,,1084,602,
United States,1968,10.02,3.37,,161.7,,,,,,1082,599,
United States,1969,9.91,3.36,,163.7,,,,,,1090,621,
United States,1970,9.92,3.47,,167.3,,,,,,1102,626,
United States,1971,9.58,3.38,,171.9,,,,,,1130,630,
United States,1972,9.56,3.48,,171.1,,,,,,1143,631,
United States,1973,9.43,3.47,,158.7,,,,,,1168,661,
United States,1974,9.77,3.51,,155.8,,,,,,1099,686,
United States,1975,9.63,3.77,,157.3,,,,,,1074,665,
United States,1976,9.43,3.97,,162.8,,,,,,1069,706,
United States,1977,9.19,4.01,,167.1,,,,,,1104,739,
United States,1978,9.03,4.14,,164.4,,,,,,1108,751,
United States,1979,9.06,4.25,,164.4,,,,,,1091,766,
United States,1980,8.96,4.22,,166.9,,,,,,1082,780,
United States,1981,8.69,4.26,,168.9,,,,,,1092,773,
United States,1982,8.29,4.31,,171.5,,,,,,1075,764,
United States,1983,8.08,4.34,,176.5,,,,,,1072,767,
United States,1984,7.71,4.20,,176.8,,,,,,1105,786,
United States,1985,7.55,4.15,,180.6,,,,,,1113,798,
United States,1986,7.38,4.20,,181.8,,,,,,1128,798,
United States,1987,7.29,4.16,,180.6,,,,,,1126,819,
United States,1988,7.21,4.12,,188.0,,,,,,1143,845,
United States,1989,7.16,4.03,,196.6,,,,,,1153,877,
United States,1990,7.29,4.06,,205.9,,,,,,1140,885,
United States,1991,7.33,4.10,,212.8,,,,,,1147,897,
United States,1992,6.92,3.97,,217.2,,,,,,1154,898,
United States,1993,6.80,4.09,,221.0,,,,,,1145,894,
United States,1994,6.73,4.10,,224.9,,,,,,1132,919,
United States,1995,6.50,4.14,,230.0,,,,,,1130,934,
United States,1996,6.42,3.98,,235.7,,,,,,1104,956,
United States,1997,6.30,4.02,,242.3,,,,,,1097,937,
United States,1998,6.04,3.96,,248.6,,,,,,1098,966,
United States,1999,6.02,3.95,,254.8,,,,,,1092,979,
United States,2000,5.83,3.94,,260.8,,,,,,1106,983,
United States,2001,5.85,3.88,,268.4,,,,,,1091,999,
United States,2002,5.86,3.79,,275.2,,,,,,1096,991,
United States,2003,5.77,3.94,,281.1,,,,,,1123,977,
United States,2004,5.65,3.88,,289.4,,,,,,1125,1028,
United States,2005,5.68,4.06,,298.5,,,,,,1115,1033,
United States,2006,5.50,4.07,,307.8,,,,,,1138,1081,
United States,2007,5.51,4.10,,319.0,,,,,,1144,1108,
United States,2008,5.52,4.02,,333.1,,,,,,1143,1115,
United States,2009,5.54,4.01,,344.6,,,,,,1114,1088,
United States,2010,5.52,4.02,,349.0,,,,,,1096,1034,
United States,2011,5.53,4.05,,357.1,,,,,,1113,1042,
United States,2012,5.45,4.06,,367.3,,,,,,1108,1073,
United States,2013,5.57,4.24,,375.2,,,,,,1111,1092,
United States,2014,5.48,4.26,,384.2,,,,,,1126,1125,
United States,2015,6.00,,,,,,,,,,,
United States,2016,6.26,,,,,,,,,,,
