Entity,Year,Fat supply (FAO (2017)),Caloric supply (FAO (2017)),Protein supply (FAO (2017))
Africa,1961,39.59,,52.64
Africa,1962,40.94,,53.26
Africa,1963,40.89,,53.17
Africa,1964,40.28,,53.76
Africa,1965,41.54,,53.49
Africa,1966,40.4,,53
Africa,1967,41.27,,53.48
Africa,1968,42.25,,53.71
Africa,1969,42.78,,54.61
Africa,1970,42.91,,54.93
Africa,1971,42.91,,54.54
Africa,1972,41.81,,53.6
Africa,1973,42.22,,53.68
Africa,1974,43.88,,54.88
Africa,1975,42.93,,55.08
Africa,1976,43.71,,55.01
Africa,1977,45.49,,55.11
Africa,1978,46.02,,55.77
Africa,1979,46.27,,56.37
Africa,1980,46.76,,57.27
Africa,1981,48.05,,57.19
Africa,1982,47.91,,57.35
Africa,1983,45.96,,56.9
Africa,1984,44.85,,55.99
Africa,1985,46.09,,57.22
Africa,1986,47.37,,57.72
Africa,1987,45.45,,57.96
Africa,1988,46.79,,58.47
Africa,1989,46.65,,58.47
Africa,1990,47.38,,58.79
Africa,1991,47.45,,58.93
Africa,1992,48.09,,58.75
Africa,1993,48.1,,59.01
Africa,1994,48.3,,59.61
Africa,1995,48.86,,60.25
Africa,1996,48.37,,60.78
Africa,1997,49.19,,61.01
Africa,1998,49.69,,61.83
Africa,1999,50.38,,62.15
Africa,2000,49.96,,62.34
Africa,2001,50.92,,62.75
Africa,2002,52.14,,63.42
Africa,2003,52.46,,64.01
Africa,2004,52.58,,64.35
Africa,2005,53.57,,65.6
Africa,2006,53.9,,66.37
Africa,2007,54.01,,66.83
Africa,2008,55.09,,67.24
Africa,2009,53.73,,67.86
Africa,2010,54.38,,68.57
Africa,2011,55.16,,69.3
Africa,2012,54.99,,69.03
Africa,2013,54.46,,69.1
Asia,1961,24.58,,47.44
Asia,1962,25.49,,48.98
Asia,1963,26.94,,49.1
Asia,1964,28.23,,49.95
Asia,1965,28.57,,50.4
Asia,1966,29.4,,50.72
Asia,1967,29.5,,50.59
Asia,1968,29.34,,50.54
Asia,1969,29.14,,50.22
Asia,1970,29.89,,51.65
Asia,1971,30.18,,51.01
Asia,1972,30.47,,50.95
Asia,1973,31.19,,52.3
Asia,1974,31.17,,51.33
Asia,1975,31.76,,52.19
Asia,1976,31.55,,51.44
Asia,1977,32.55,,52.54
Asia,1978,34.16,,54.68
Asia,1979,35.05,,54.45
Asia,1980,36.93,,54.57
Asia,1981,38.21,,55.8
Asia,1982,39.59,,56.77
Asia,1983,40.66,,59.18
Asia,1984,42.38,,59.44
Asia,1985,43.32,,59.24
Asia,1986,44.22,,59.93
Asia,1987,45.34,,60.39
Asia,1988,46.88,,61.21
Asia,1989,48.43,,61.86
Asia,1990,49.18,,61.17
Asia,1991,49.55,,61.16
Asia,1992,50.85,,62.75
Asia,1993,51.89,,64
Asia,1994,54.2,,65.53
Asia,1995,55.89,,66.69
Asia,1996,56.69,,67.24
Asia,1997,57.35,,67.71
Asia,1998,58.16,,68.04
Asia,1999,59.22,,68.77
Asia,2000,60.41,,69.67
Asia,2001,59.94,,69.29
Asia,2002,60.79,,69.14
Asia,2003,61.92,,69.51
Asia,2004,62.95,,69.84
Asia,2005,64.5,,70.24
Asia,2006,66.32,,71.02
Asia,2007,68.15,,72.75
Asia,2008,68.27,,73.64
Asia,2009,70.39,,74.12
Asia,2010,71.21,,75.79
Asia,2011,71.87,,76.39
Asia,2012,72.63,,76.88
Asia,2013,72.66,,77.57
Europe,1961,89.11,,90.39
Europe,1962,92.72,,91.78
Europe,1963,94.06,,92.63
Europe,1964,93.58,,92.09
Europe,1965,96.19,,92.42
Europe,1966,97.14,,92.95
Europe,1967,99.56,,94
Europe,1968,102.56,,94.74
Europe,1969,102.38,,95.16
Europe,1970,104.94,,96.38
Europe,1971,105.71,,96.41
Europe,1972,106.8,,96.81
Europe,1973,107.7,,97.53
Europe,1974,109.42,,98.94
Europe,1975,108.95,,99.35
Europe,1976,111.92,,99.45
Europe,1977,111.12,,99.27
Europe,1978,113.66,,100.66
Europe,1979,115.37,,101.4
Europe,1980,115.56,,101.33
Europe,1981,115.04,,100.56
Europe,1982,114.98,,100.18
Europe,1983,117.22,,100.44
Europe,1984,118.15,,101.76
Europe,1985,120.88,,102.99
Europe,1986,121.11,,103.42
Europe,1987,122.74,,104.13
Europe,1988,124.19,,104.45
Europe,1989,125.17,,104.06
Europe,1990,124.86,,104.17
Europe,1991,118.88,,101.35
Europe,1992,120.52,,97.55
Europe,1993,118.37,,96.53
Europe,1994,117.07,,96.05
Europe,1995,117.1,,95.95
Europe,1996,117.87,,95.77
Europe,1997,118.38,,96.04
Europe,1998,120.17,,97.94
Europe,1999,119.7,,97.35
Europe,2000,120.04,,96.93
Europe,2001,120.92,,98.37
Europe,2002,122.29,,99.48
Europe,2003,121.84,,99.11
Europe,2004,122.03,,99.44
Europe,2005,123.93,,100.08
Europe,2006,125.89,,100.78
Europe,2007,126.96,,101.93
Europe,2008,127.8,,102.03
Europe,2009,127.24,,101.92
Europe,2010,128.57,,102.05
Europe,2011,128.6,,102.08
Europe,2012,128.64,,102.15
Europe,2013,128.96,,102.06
Northern America,1961,109.91,,94.85
Northern America,1962,108.98,,94.21
Northern America,1963,110.62,,95.33
Northern America,1964,113.7,,96.8
