Entity,Year,Share of people who prefer male boss (Gallup (2017)),Share of people who prefer female boss (Gallup (2017)),Share of women who prefer a male boss (Gallup (2017)),Share of women who prefer a female boss (Gallup (2017)),Share of men who prefer a male boss (Gallup (2017)),Share of men who prefer a female boss (Gallup (2017))
United States,1953,66,5,57,,75,
United States,1975,62,7,60,,63,
United States,1982,46,12,52,,40,
United States,1989,48,14,54,,43,
United States,1993,39,22,44,,33,
United States,1994,35,16,40,,30,
United States,1995,46,20,54,,37,
United States,1999,38,16,42,,35,
United States,2000,48,22,50,,45,
United States,2002,31,19,32,,29,
United States,2006,37,19,40,,34,
United States,2011,32,22,39,,26,
United States,2013,35,23,40,,29,
United States,2014,33,20,39,,26,
United States,2017,23,21,27,,19,
