Entity,Year,CO2 emissions (CDIAC and UN Population),Per capita CO2 emissions (CDIAC and UN Population)
World,1751,,0.01346054
World,1752,,0.013391525
World,1753,,0.013324268
World,1754,,0.013258699
World,1755,,0.013194754
World,1756,,0.013132368
World,1757,,0.013071478
World,1758,,0.01301202
World,1759,,0.012953936
World,1760,,0.012897164
World,1761,,0.012841647
World,1762,,0.012787326
World,1763,,0.012734146
World,1764,,0.012682051
World,1765,,0.012630986
World,1766,,0.012580898
World,1767,,0.012531734
World,1768,,0.012483443
World,1769,,0.012435972
World,1770,,0.012389272
World,1771,,0.016457723
World,1772,,0.016397314
World,1773,,0.016337737
World,1774,,0.016278928
World,1775,,0.016220826
World,1776,,0.016163368
World,1777,,0.016106494
World,1778,,0.016050144
World,1779,,0.015994258
World,1780,,0.015938779
World,1781,,0.019854561
World,1782,,0.019786012
World,1783,,0.019717757
World,1784,,0.019649727
World,1785,,0.019581854
World,1786,,0.01951407
World,1787,,0.019446309
World,1788,,0.019378504
World,1789,,0.01931059
World,1790,,0.019242505
World,1791,,0.023009021
World,1792,,0.022926679
World,1793,,0.022843907
World,1794,,0.022760631
World,1795,,0.022676782
World,1796,,0.022592288
World,1797,,0.026258261
World,1798,,0.026157941
World,1799,,0.026056632
World,1800,,0.02966201
World,1801,,0.029543732
World,1802,,0.036780264
World,1803,,0.032966446
World,1804,,0.032829391
World,1805,,0.032691139
World,1806,,0.036168616
World,1807,,0.03601256
World,1808,,0.035855389
World,1809,,0.035697175
World,1810,,0.035537987
World,1811,,0.038915685
World,1812,,0.038738664
World,1813,,0.038560798
World,1814,,0.038382159
World,1815,,0.041675803
World,1816,,0.044936097
World,1817,,0.048162959
World,1818,,0.047932575
World,1819,,0.047701655
World,1820,,0.047470285
World,1821,,0.047238549
World,1822,,0.05036414
World,1823,,0.053456355
World,1824,,0.053190823
World,1825,,0.056233072
World,1826,,0.055950938
World,1827,,0.058943584
World,1828,,0.058645241
World,1829,,0.058347233
World,1830,,0.077399541
World,1831,,0.073794989
World,1832,,0.073416198
World,1833,,0.076213878
World,1834,,0.075820598
World,1835,,0.078571332
World,1836,,0.09067047
World,1837,,0.090199863
World,1838,,0.092825227
World,1839,,0.095420314
World,1840,,0.101047506
World,1841,,0.103567105
World,1842,,0.109087771
World,1843,,0.111533658
World,1844,,0.116949972
World,1845,,0.12827338
World,1846,,0.127605973
World,1847,,0.135799252
World,1848,,0.138031296
World,1849,,0.146080978
World,1850,,0.156951622
World,1851,,0.156141761
World,1852,,0.163967592
World,1853,,0.168848471
World,1854,,0.196453513
World,1855,,0.201111912
World,1856,,0.214172867
World,1857,,0.215881382
World,1858,,0.217567682
World,1859,,0.230332077
World,1860,,0.251243611
World,1861,,0.260948504
World,1862,,0.265082039
World,1863,,0.282760391
World,1864,,0.302955435
World,1865,,0.320244381
World,1866,,0.326637524
World,1867,,0.346273021
World,1868,,0.357746192
World,1869,,0.37436216
World,1870,,0.385548664
World,1871,,0.40704288
World,1872,,0.449066139
World,1873,,0.475143867
World,1874,,0.446985692
World,1875,,0.480432935
World,1876,,0.485547624
World,1877,,0.490587234
World,1878,,0.493036016
World,1879,,0.525462169
World,1880,,0.587387611
World,1881,,0.601589455
World,1882,,0.630383911
World,1883,,0.666184973
World,1884,,0.669897661
World,1885,,0.67111037
World,1886,,0.677090925
World,1887,,0.706930577
World,1888,,0.779298198
World,1889,,0.77498168
World,1890,,0.839010787
World,1891,,0.871806199
World,1892,,0.871551765
World,1893,,0.85733882
World,1894,,0.882394574
World,1895,,0.930008652
World,1896,,0.954234229
World,1897,,0.99622232
World,1898,,1.04664952
World,1899,,1.134442867
World,1900,,1.187745455
World,1901,,1.220424087
World,1902,,1.243846838
World,1903,,1.347759016
World,1904,,1.354860949
World,1905,,1.430941238
World,1906,,1.516874133
World,1907,,1.672247028
World,1908,,1.590526507
World,1909,,1.655367
World,1910,,1.71756
World,1911,,1.743801841
World,1912,,1.823780718
World,1913,,1.946172444
World,1914,,1.744738432
World,1915,,1.710471942
World,1916,,1.828263727
World,1917,,1.925767712
World,1918,,1.874864756
World,1919,,1.602848468
World,1920,,1.838946237
World,1921,,1.570976927
World,1922,,1.63807123
World,1923,,1.862156065
World,1924,,1.82983176
World,1925,,1.832855088
World,1926,,1.827425402
World,1927,,1.951745526
World,1928,,1.934357317
World,1929,,2.054863137
World,1930,,1.866913043
World,1931,,1.64627056
World,1932,,1.465365789
World,1933,,1.526415134
World,1934,,1.643689093
World,1935,,1.715330719
World,1936,,1.867107933
World,1937,,1.977570253
World,1938,,1.850740954
World,1939,,1.915787016
World,1940,,2.072752174
World,1941,,2.115671351
World,1942,,2.116937112
World,1943,,2.18287618
World,1944,,2.158382787
World,1945,,1.798872838
World,1946,,1.905043783
World,1947,,2.121506772
World,1948,,2.212074097
World,1949,,2.105022553
World,1950,,2.369008427
World,1951,,2.521471251
World,1952,,2.516348349
World,1953,,2.536184844
World,1954,,2.525032694
World,1955,,2.716927287
World,1956,,2.846059654
World,1957,,2.915284364
World,1958,,2.9388744
World,1959,,3.039326137
World,1960,,3.123643474
World,1961,,3.079146241
World,1962,,3.145827026
World,1963,,3.255123587
World,1964,,3.374789317
World,1965,,3.457371518
World,1966,,3.558855552
World,1967,,3.597536962
World,1968,,3.70326615
World,1969,,3.845098979
World,1970,,4.039255864
World,1971,,4.109752647
World,1972,,4.189258501
World,1973,,4.331095531
World,1974,,4.256784562
World,1975,,4.153081008
World,1976,,4.315411205
World,1977,,4.371244501
World,1978,,4.344459384
World,1979,,4.50695456
World,1980,,4.38204517
World,1981,,4.173073846
World,1982,,4.065006802
World,1983,,3.978725154
World,1984,,4.049149514
World,1985,,4.096903409
World,1986,,4.145968704
World,1987,,4.173930105
World,1988,,4.249401371
World,1989,,4.265628236
World,1990,,4.198300395
World,1991,,4.175577485
World,1992,,4.066689373
World,1993,,3.999410863
