Entity,Year,Freshwater use,Meat consumption,CO₂ emissions,Primary energy use,Agricultural land,Cropland,Aquaculture production,Fishery catch,GDP,Caloric supply,Fertilizer consumption,Coal consumption,Oil consumption,Natural gas consumption,Fertilizer production
China,1965,,,140,158,,,,,,,100,118,129,243,
China,1966,,106,111,106,99,97,,97,106,104,133,104,125,119,
China,1967,,110,89,93,97,94,,94,101,101,92,90,120,126,
China,1968,,106,94,91,95,91,,96,96,98,65,87,128,118,
China,1969,,102,111,108,94,88,,91,102,97,94,102,167,160,
China,1970,,99,144,135,93,86,,86,111,103,121,127,225,229,
China,1971,,109,161,156,91,83,,91,113,103,144,143,300,291,
China,1972,,117,167,164,90,81,,99,114,102,173,148,336,367,
China,1973,,116,167,169,90,79,,100,119,106,208,146,401,444,
China,1974,,115,167,171,89,77,,107,119,106,187,142,452,547,
China,1975,,116,189,188,89,75,,108,124,106,229,157,489,631,
China,1976,,115,194,195,88,74,,110,122,105,224,158,549,708,
China,1977,,115,211,209,88,72,,109,127,107,300,171,571,836,
China,1978,,123,233,226,88,71,,102,139,115,354,185,623,934,
China,1979,,146,233,229,88,70,,90,148,116,424,189,613,973,
China,1980,,159,228,231,88,69,,90,151,119,483,193,575,943,
China,1981,,164,222,225,87,68,,89,158,120,480,190,538,830,
China,1982,,172,239,231,88,71,,98,169,129,495,198,524,767,
China,1983,,176,244,242,89,73,,101,179,133,525,209,527,773,
China,1984,,189,267,256,90,77,,107,199,135,547,224,538,775,
China,1985,,209,283,272,91,80,,112,217,134,488,240,553,793,
China,1986,,216,294,280,90,78,,126,228,134,496,247,577,829,
China,1987,,231,306,296,89,77,,139,248,135,581,262,601,821,
China,1988,,250,322,312,89,76,,147,261,134,594,277,633,833,
China,1989,,258,322,322,88,75,,154,261,133,602,285,651,856,
China,1990,,271,322,320,88,75,,164,267,139,618,284,635,854,
China,1991,,290,333,332,88,74,,179,288,135,638,294,676,878,
China,1992,,313,344,345,87,72,,200,324,136,652,304,725,866,
