Entity,Year,Total tax (% of GDP) (OECD (2018)),"Taxes on income, profits, and capital gains (% of GDP) (OECD (2018))",Social security contributions (SSC) (% of GDP) (OECD (2018),Taxes on payroll and workforce (% of GDP) (OECD (2018)),Taxes on property (% of GDP) (OECD (2018)),Taxes on goods and services (% of GDP) (OECD (2018)),Other tax (% of GDP) (OECD (2018))
Africa,2000,14.16635,,,,,,
Africa,2001,14.77207,,,,,,
Africa,2002,14.95969,,,,,,
Africa,2003,15.27215,,,,,,
Africa,2004,15.71029,,,,,,
Africa,2005,16.16036,,,,,,
Africa,2006,16.58058,,,,,,
Africa,2007,17.16140,,,,,,
Africa,2008,17.65134,,,,,,
Africa,2009,17.13240,,,,,,
Africa,2010,17.22495,,,,,,
Africa,2011,17.79419,,,,,,
Africa,2012,18.06892,,,,,,
Africa,2013,18.47696,,,,,,
Africa,2014,18.77583,,,,,,
Africa,2015,19.14279,,,,,,
Argentina,1990,13.67558,,,,,,
Argentina,1991,15.58561,,,,,,
Argentina,1992,18.19939,,,,,,
Argentina,1993,19.95190,,,,,,
Argentina,1994,19.79483,,,,,,
Argentina,1995,18.66990,,,,,,
Argentina,1996,18.20775,,,,,,
Argentina,1997,19.02222,,,,,,
Argentina,1998,19.39409,,,,,,
Argentina,1999,19.50762,,,,,,
Argentina,2000,19.80082,,,,,,
Argentina,2001,19.28983,,,,,,
Argentina,2002,18.41269,,,,,,
Argentina,2003,21.62566,,,,,,
Argentina,2004,24.32660,,,,,,
Argentina,2005,24.53157,,,,,,
Argentina,2006,25.07923,,,,,,
Argentina,2007,26.36808,,,,,,
Argentina,2008,27.62396,,,,,,
Argentina,2009,28.92403,,,,,,
Argentina,2010,29.06707,,,,,,
Argentina,2011,29.29883,,,,,,
Argentina,2012,30.63524,,,,,,
Argentina,2013,31.17895,,,,,,
Argentina,2014,31.10933,,,,,,
Argentina,2015,31.99369,,,,,,
Argentina,2016,31.29553,,,,,,
Australia,1990,28.04236,,,,,,
Australia,1991,26.60083,,,,,,
Australia,1992,26.06457,,,,,,
Australia,1993,26.52127,,,,,,
Australia,1994,27.41927,,,,,,
Australia,1995,28.17779,,,,,,
Australia,1996,28.82215,,,,,,
Australia,1997,28.60265,,,,,,
Australia,1998,29.39119,,,,,,
Australia,1999,29.78874,,,,,,
Australia,2000,30.37723,,,,,,
Australia,2001,28.89034,,,,,,
Australia,2002,29.73938,,,,,,
