Entity,Year,"Global Smallpox Cases (WHO, 2011)","Reported Smallpox Cases (WHO, 2011)"
World,1920,,401318
World,1921,,303850
World,1922,,190159
World,1923,,174799
World,1924,,186354
World,1925,,284845
World,1926,,324125
World,1927,,327289
World,1928,,272529
World,1929,,267322
World,1930,,360575
World,1931,,182829
World,1932,,211274
World,1933,,328212
World,1934,,327373
World,1935,,331151
World,1936,,263579
World,1937,,149184
World,1938,,144042
World,1939,,186393
World,1940,,235820
World,1941,,195863
World,1942,,124504
World,1943,,210358
World,1944,,407525
World,1945,,405833
World,1946,,302694
World,1947,,163375
World,1948,,161893
World,1949,,632858
World,1950,,426006
World,1951,,554756
World,1952,,167085
World,1953,,94135
World,1954,,99232
World,1955,,91823
World,1956,,96089
World,1957,,156652
World,1958,,280475
World,1959,,96270
World,1960,,67146
World,1961,,90555
World,1962,,98757
World,1963,,133504
World,1964,,76198
World,1965,,112280
World,1966,,92804
World,1967,,131697
World,1968,,80024
World,1969,,54202
World,1970,,33706
World,1971,,52806
World,1972,,65153
World,1973,,135859
World,1974,,218367
World,1975,,19278
World,1976,,954
World,1977,,3234
World,1978,,2
World,1979,,0
World,1980,,0
World,1981,,0
World,1982,,0
World,1983,,0
World,1984,,0
World,1985,,0
World,1986,,0
World,1987,,0
World,1988,,0
World,1989,,0
World,1990,,0
World,1991,,0
World,1992,,0
World,1993,,0
World,1994,,0
World,1995,,0
World,1996,,0
World,1997,,0
World,1998,,0
World,1999,,0
World,2000,,0
World,2001,,0
World,2002,,0
World,2003,,0
World,2004,,0
World,2005,,0
World,2006,,0
World,2007,,0
World,2008,,0
World,2009,,0
World,2010,,0
World,2011,,0
World,2012,,0
World,2013,,0
World,2014,,0
World,2015,,0
World,2016,,0
