Entity,Year,World trade (% of GDP) (PWT 9.0),World trade (% of GDP) (World Bank WDI (2016)) ,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) , World trade based on Maddison (% of GDP) (Klasing and Milionis (2014)) ,"World trade - upper bound (% of GDP) (Estevadeordal, Frantz, and Taylor (2003))","World trade - lower bound (% of GDP) (Estevadeordal, Frantz, and Taylor (2003))"
World,1500,,,,,2.25,.5
World,1600,,,,,5.5,1.25
World,1700,,,,,5.5,1.25
World,1820,,,,,9.5,2
World,1870,,,17.57,11.76,,
World,1871,,,20.469999,13.7,,
World,1872,,,21.32,14.38,,
World,1873,,,20.85,14.06,,
World,1874,,,21.620001,14.68,,
World,1875,,,21.98,14.96,,
World,1876,,,22.09,15.02,,
World,1877,,,22.209999,15.14,,
World,1878,,,23.35,15.89,,
World,1879,,,23.67,16.030001,,
World,1880,,,23.66,16.040001,,
World,1881,,,23.790001,16.18,,
World,1882,,,23.870001,16.290001,,
World,1883,,,24.33,16.65,,
World,1884,,,23.26,15.95,,
World,1885,,,22.52,15.49,,
World,1886,,,22.639999,15.58,,
World,1887,,,22.23,15.31,,
World,1888,,,22.92,15.81,,
World,1889,,,24.290001,16.799999,,
World,1890,,,24.52,16.98,,
World,1891,,,24.129999,16.76,,
World,1892,,,22.049999,15.34,,
World,1893,,,21.860001,15.25,,
World,1894,,,22.219999,15.54,,
World,1895,,,21.24,14.87,,
World,1896,,,24,16.83,,
World,1897,,,24.459999,17.190001,,
World,1898,,,24.459999,17.23,,
World,1899,,,25,17.65,,
World,1900,,,24.360001,17.219999,,
World,1901,,,24.459999,17.280001,,
World,1902,,,24.620001,17.370001,,
World,1903,,,24.68,17.48,,
World,1904,,,24.99,17.73,,
World,1905,,,26.290001,18.690001,,
World,1906,,,27.66,19.700001,,
World,1907,,,27.559999,19.68,,
World,1908,,,26.530001,18.98,,
World,1909,,,27.24,19.51,,
World,1910,,,27.459999,19.709999,,
World,1911,,,28.629999,20.58,,
World,1912,,,29.629999,21.370001,,
World,1913,,,29.01,20.98,,
World,1914,,,17.959999,13.89,,
World,1915,,,18.799999,14.58,,
World,1916,,,21.809999,16.959999,,
World,1917,,,25.950001,20.530001,,
World,1918,,,23.459999,18.68,,
World,1919,,,22.42,17.1,,
World,1920,,,21.66,16.290001,,
World,1921,,,15.12,11.41,,
World,1922,,,16.709999,12.71,,
World,1923,,,18.02,13.64,,
World,1924,,,18.48,14.07,,
World,1925,,,19.360001,14.82,,
World,1926,,,18.379999,14.03,,
World,1927,,,18.93,14.54,,
World,1928,,,19.15,14.78,,
World,1929,,,18.75,14.45,,
World,1930,,,15.97,12.37,,
World,1931,,,13.77,10.61,,
World,1932,,,10.34,8.0200005,,
World,1933,,,10.72,8.3500004,,
World,1934,,,13.48,10.51,,
World,1935,,,13.11,10.21,,
World,1936,,,13.53,10.45,,
World,1937,,,15.39,11.92,,
World,1938,,,12.96,10.1,,
World,1939,,,12.97,10.11,,
World,1940,,,13.89,10.97,,
World,1941,,,12.68,10.26,,
World,1942,,,11.76,9.3299999,,
World,1943,,,12.55,10.16,,
World,1944,,,11.94,9.7399998,,
World,1945,,,10.14,8.4099998,,
World,1946,,,15.05,11.59,,
World,1947,,,19.82,15.03,,
World,1948,,,17.139999,12.99,,
World,1949,,,16.35,12.37,,
World,1950,19.699657,,,,,
World,1951,22.602556,,,,,
World,1952,20.039427,,,,,
World,1953,18.605169,,,,,
World,1954,19.137075,,,,,
World,1955,19.803598,,,,,
World,1956,20.773001,,,,,
World,1957,21.180166,,,,,
World,1958,19.363848,,,,,
World,1959,19.645361,,,,,
World,1960,21.878801,,,,,
World,1961,21.515263,,,,,
World,1962,21.160868,,,,,
World,1963,21.769508,,,,,
World,1964,21.967764,,,,,
World,1965,21.802967,,,,,
World,1966,22.147774,,,,,
World,1967,21.964436,,,,,
World,1968,22.54854,,,,,
World,1969,23.184582,,,,,
World,1970,25.128378,,,,,
World,1971,25.324158,,,,,
World,1972,25.976826,,,,,
World,1973,29.106222,,,,,
World,1974,35.408798,,,,,
World,1975,33.527973,,,,,
World,1976,34.545944,,,,,
World,1977,34.85038,,,,,
World,1978,33.96426,,,,,
World,1979,36.755074,,,,,
World,1980,39.633266,,,,,
World,1981,38.987637,,,,,
World,1982,37.121052,,,,,
World,1983,35.700443,,,,,
World,1984,36.398335,,,,,
World,1985,35.471012,,,,,
World,1986,33.683235,,,,,
World,1987,34.655285,,,,,
World,1988,35.484547,,,,,
World,1989,36.447186,,,,,
World,1990,38.199646,,,,,
World,1991,37.445099,,,,,
World,1992,39.391827,,,,,
World,1993,37.433014,,,,,
World,1994,38.933857,,,,,
World,1995,41.388763,,,,,
World,1996,42.460262,,,,,
World,1997,44.109795,,,,,
World,1998,43.79887,,,,,
World,1999,44.031902,,,,,
World,2000,47.770676,,,,,
World,2001,46.45742,,,,,
World,2002,46.884949,,,,,
World,2003,48.662586,,,,,
World,2004,52.616741,,,,,
World,2005,55.219563,,,,,
World,2006,58.421734,,,,,
World,2007,59.990646,,,,,
World,2008,62.118317,,,,,
World,2009,52.318314,,,,,
World,2010,57.170895,,,,,
World,2011,60.602215,,,,,
World,2012,59.744713,,,,,
World,2013,59.455887,,,,,
World,2014,58.278103,,,,,
