Entity,Year,HALF Index (total land area) (Alexander et al. (2016)),HALF Index (habitable land area) (Alexander et al. (2016))
Afghanistan,2011,,33.6
Albania,2011,,91.1
Algeria,2011,,49.0
Angola,2011,,29.7
Antigua and Barbuda,2011,,64.9
Argentina,2011,,161.8
Armenia,2011,,79.6
Australia,2011,,158.0
Austria,2011,,112.3
Azerbaijan,2011,,68.3
Bahamas,2011,,71.6
Bangladesh,2011,,14.9
Barbados,2011,,67.0
Belarus,2011,,81.5
Belgium,2011,,104.5
Belize,2011,,37.7
Benin,2011,,22.1
Bermuda,2011,,156.0
Bolivia,2011,,70.5
Bosnia and Herzegovina,2011,,53.3
Botswana,2011,,56.1
Brazil,2011,,124.2
Brunei,2011,,56.8
Bulgaria,2011,,46.9
Burkina Faso,2011,,47.4
Cabo Verde,2011,,39.5
Cambodia,2011,,22.6
Cameroon,2011,,35.4
Canada,2011,,129.8
Central African Republic,2011,,74.5
Chad,2011,,39.7
Chile,2011,,76.8
China,2011,,40.2
Colombia,2011,,63.1
Congo,2011,,30.2
Costa Rica,2011,,75.2
Cote d'Ivoire,2011,,27.4
Croatia,2011,,68.0
Cuba,2011,,49.6
Cyprus,2011,,56.1
Czech Republic,2011,,73.8
Denmark,2011,,136.1
Djibouti,2011,,41.0
Dominica,2011,,57.2
Dominican Republic,2011,,45.5
Ecuador,2011,,75.4
Egypt,2011,,53.4
El Salvador,2011,,41.2
Estonia,2011,,74.5
Ethiopia,2011,,26.9
Fiji,2011,,55.3
Finland,2011,,108.4
France,2011,,122.1
French Polynesia,2011,,121.8
Gabon,2011,,58.7
Gambia,2011,,28.0
Georgia,2011,,44.2
Germany,2011,,98.7
Ghana,2011,,26.3
Greece,2011,,114.2
Grenada,2011,,42.0
Guatemala,2011,,30.2
Guinea,2011,,23.9
Guinea-Bissau,2011,,23.6
Guyana,2011,,30.1
Haiti,2011,,24.0
Honduras,2011,,39.4
Hungary,2011,,62.1
Iceland,2011,,119.7
India,2011,,22.2
Indonesia,2011,,18.3
Iran,2011,,41.6
Iraq,2011,,20.9
Ireland,2011,,105.8
Israel,2011,,104.5
Italy,2011,,116.6
Jamaica,2011,,37.6
Japan,2011,,42.7
Jordan,2011,,46.5
Kazakhstan,2011,,108.5
Kenya,2011,,48.8
Kiribati,2011,,29.1
Kuwait,2011,,66.7
Kyrgyzstan,2011,,75.2
Laos,2011,,30.0
Latvia,2011,,70.7
Lebanon,2011,,68.3
Lesotho,2011,,36.7
Liberia,2011,,13.4
Lithuania,2011,,69.4
Luxembourg,2011,,126.5
Macedonia,2011,,55.3
Madagascar,2011,,29.9
Malawi,2011,,18.1
Malaysia,2011,,32.0
Maldives,2011,,38.9
Mali,2011,,62.2
Malta,2011,,99.3
Mauritania,2011,,66.2
Mauritius,2011,,45.6
Mexico,2011,,65.3
Moldova,2011,,29.2
Mongolia,2011,,139.8
Montenegro,2011,,76.9
Morocco,2011,,45.4
Mozambique,2011,,13.3
Myanmar,2011,,30.7
Namibia,2011,,53.9
Nepal,2011,,37.5
Netherlands,2011,,99.9
New Caledonia,2011,,77.9
New Zealand,2011,,191.2
Nicaragua,2011,,31.8
Niger,2011,,61.7
Nigeria,2011,,25.7
North Korea,2011,,21.2
Norway,2011,,106.8
Oman,2011,,75.2
Pakistan,2011,,50.2
Panama,2011,,75.7
Paraguay,2011,,70.4
Peru,2011,,28.5
Philippines,2011,,27.9
Poland,2011,,56.4
Portugal,2011,,96.1
Romania,2011,,65.2
Russia,2011,,81.7
Rwanda,2011,,26.7
Saint Kitts and Nevis,2011,,56.2
Saint Lucia,2011,,44.8
Saint Vincent and the Grenadines,2011,,56.4
Samoa,2011,,52.7
Sao Tome and Principe,2011,,26.8
Saudi Arabia,2011,,46.9
Senegal,2011,,32.1
Serbia,2011,,55.2
Sierra Leone,2011,,18.0
Slovakia,2011,,55.8
Slovenia,2011,,100.3
Solomon Islands,2011,,26.7
South Africa,2011,,60.3
South Korea,2011,,58.2
Spain,2011,,79.4
Sri Lanka,2011,,16.2
Suriname,2011,,45.7
Swaziland,2011,,50.2
Sweden,2011,,126.4
Switzerland,2011,,111.5
Tajikistan,2011,,29.2
Tanzania,2011,,29.6
Thailand,2011,,20.9
Timor,2011,,39.6
Togo,2011,,17.7
Trinidad and Tobago,2011,,40.9
Tunisia,2011,,46.8
Turkey,2011,,60.9
Turkmenistan,2011,,124.0
Uganda,2011,,31.5
Ukraine,2011,,52.5
United Arab Emirates,2011,,55.0
United Kingdom,2011,,94.66197183
United States,2011,,137.6478873
Uruguay,2011,,104.6
Uzbekistan,2011,,92.6
Vanuatu,2011,,39.5
Venezuela,2011,,88.0
Vietnam,2011,,36.9
World,2011,,49.5
Yemen,2011,,28.1
Zambia,2011,,22.5
Zimbabwe,2011,,33.0
