Entity,Year,Share of agriculture in GDP at current prices (Herrendorf et al. data),Share of industry in GDP at current prices (Herrendorf et al. data),Share of services in GDP at current prices (Herrendorf et al. data),Number of people employed in agriculture  (Herrendorf et al. data),Number of people employed in industry  (Herrendorf et al. data),Number of people employed in services (Herrendorf et al. data),Share of agriculture in GDP at current prices (Herrendorf et al. and GGDC-10 data),Share of industry in GDP at current prices (Herrendorf et al. and GGDC-10 data),Share of services in GDP at current prices (Herrendorf et al. and GGDC-10 data),Share of employment in agriculture (Herrendorf et al. and GGDC-10 data),Share of employment in industry (Herrendorf et al. and GGDC-10 data),Share of employment in services (Herrendorf et al. and GGDC-10 data),Share of industry in GDP at constant 2005 prices (GGDC)
Argentina,1950,,,,,,,5.7,39.7,54.6,27.5,29.8,42.7,37.5
Argentina,1951,,,,,,,6.3,37.7,56.0,27.6,30.5,41.9,38
Argentina,1952,,,,,,,6.2,37.6,56.2,25.6,30.2,44.2,36.5
Argentina,1953,,,,,,,8.6,35.0,56.4,29.6,27.8,42.7,34.1
Argentina,1954,,,,,,,7.0,37.2,55.7,27.1,29.9,43,35.6
Argentina,1955,,,,,,,6.6,38.7,54.7,26,31.4,42.6,36.5
Argentina,1956,,,,,,,6.9,37.0,56.0,24.9,31.5,43.6,35.9
Argentina,1957,,,,,,,7.2,36.5,56.3,23.7,33,43.3,36.8
Argentina,1958,,,,,,,7.2,36.5,56.3,22.8,34.3,42.9,37.5
Argentina,1959,,,,,,,8.6,34.0,57.4,23.1,32.1,44.8,35
Argentina,1960,,,,,,,8.3,35.1,56.6,21.8,33.9,44.3,36.3
Argentina,1961,,,,,,,6.8,36.4,56.8,20.3,34.1,45.6,37.3
Argentina,1962,,,,,,,7.6,36.0,56.4,21.2,32.1,46.7,36.4
Argentina,1963,,,,,,,8.9,35.3,55.8,22.1,30.8,47.1,36.1
Argentina,1964,,,,,,,10.2,36.3,53.5,21.8,31.6,46.6,37.8
Argentina,1965,,,,,,,8.8,38.6,52.6,21.3,31.7,46.9,38.8
Argentina,1966,,,,,,,8.0,38.4,53.6,20.3,31.3,48.4,39
Argentina,1967,,,,,,,8.0,37.8,54.1,20.5,30.7,48.9,39.2
Argentina,1968,,,,,,,7.4,37.6,55.0,18.7,31.5,49.8,40.7
Argentina,1969,,,,,,,7.6,37.6,54.9,18.2,32.5,49.3,42.2
Argentina,1970,,,,,,,7.9,37.9,54.3,17.9,32.5,49.6,42.7
Argentina,1971,,,,,,,8.5,37.5,54.0,17.4,32.4,50.2,44.7
Argentina,1972,,,,,,,9.3,38.8,51.9,17,32.3,50.7,45.5
Argentina,1973,,,,,,,10.7,41.8,47.5,16.5,32.1,51.4,44.8
Argentina,1974,,,,,,,9.1,42.2,48.7,15.7,32.3,52,44.8
Argentina,1975,,,,,,,6.5,45.7,47.7,16.2,30,53.8,44.1
Argentina,1976,,,,,,,7.0,47.2,45.9,15.1,31.5,53.4,44.4
Argentina,1977,,,,,,,7.2,45.3,47.4,14.1,31.7,54.2,45.4
Argentina,1978,,,,,,,6.6,44.2,49.2,13.9,31.4,54.8,43.8
Argentina,1979,,,,,,,7.2,43.9,49.0,13.3,30.7,56,44.3
Argentina,1980,,,,,,,5.9,42.0,52.2,12.9,32.7,54.4,43.4
Argentina,1981,,,,,,,7.4,40.9,51.8,12.7,30.4,56.9,41.2
Argentina,1982,,,,,,,10.7,42.7,46.6,12.4,26.3,61.3,40.6
Argentina,1983,,,,,,,9.7,42.6,47.7,12.3,26.8,61,41.1
Argentina,1984,,,,,,,9.3,40.7,50.0,12.1,28.1,59.9,40.4
Argentina,1985,,,,,,,8.5,39.8,51.7,12.1,26.8,61.1,39.3
Argentina,1986,,,,,,,8.8,38.4,52.8,12.2,27.4,60.4,40.5
Argentina,1987,,,,,,,9.3,39.1,51.6,11.8,27.4,60.8,40.9
Argentina,1988,,,,,,,10.1,39.5,50.3,11.6,26.7,61.6,40.3
Argentina,1989,,,,,,,10.5,42.1,47.4,11.6,26,62.4,39.1
Argentina,1990,,,,,,,9.1,36.5,54.4,11.4,25.3,63.3,37.8
Argentina,1991,,,,,,,7.7,33.9,58.4,11.1,24.7,64.2,38.4
Argentina,1992,,,,,,,7.0,32.3,60.7,10.8,24.6,64.6,39.6
Argentina,1993,,,,,,,6.5,32.1,61.4,10.8,22.7,66.5,40
Argentina,1994,,,,,,,6.5,31.9,61.6,10.7,22,67.3,39.9
Argentina,1995,,,,,,,6.9,31.2,61.9,10.8,22,67.2,39.1
Argentina,1996,,,,,,,7.2,31.7,61.1,10.4,21.5,68.1,39.4
Argentina,1997,,,,,,,6.7,32.4,60.9,9.9,21.3,68.8,39.7
Argentina,1998,,,,,,,6.7,31.6,61.7,9.4,20.2,70.5,38.8
Argentina,1999,,,,,,,5.7,30.6,63.7,9.2,18.9,71.9,37.3
Argentina,2000,,,,,,,6.0,30.2,63.9,8.9,18.2,73,36.6
Argentina,2001,,,,,,,5.8,29.0,65.2,8.7,18.3,73,36.1
Argentina,2002,,,,,,,12.3,34.8,52.8,8.7,16.8,74.5,35.2
Argentina,2003,,,,,,,12.5,37.5,50.1,7.9,18.4,73.7,37.2
Argentina,2004,,,,,,,11.7,38.2,50.1,7.6,19.7,72.7,38.4
Argentina,2005,,,,,,,10.5,38.0,51.4,7.4,20.1,72.5,38
Argentina,2006,,,,,,,9.4,38.2,52.4,7.2,20.3,72.5,38.3
Argentina,2007,,,,,,,10.6,36.2,53.2,7,20.9,72.2,37.7
Argentina,2008,,,,,,,11.1,34.8,54.1,6.9,20.6,72.5,37
Argentina,2009,,,,,,,8.5,34.5,57.1,6.8,20,73.3,36.7
Argentina,2010,,,,,,,11.2,33.3,55.5,6.7,20.2,73.2,36
Argentina,2011,,,,,,,11.8,33.1,55.1,6.5,20.7,72.9,36.1
Belgium,1835,20.58,34.55,44.87,,,,20.6,34.6,44.9,,,,
Belgium,1836,19.34,36.64,44.02,,,,19.3,36.6,44.0,,,,
Belgium,1837,18.74,36.25,45.01,,,,18.7,36.2,45.0,,,,
Belgium,1838,19.64,34.82,45.54,,,,19.6,34.8,45.5,,,,
Belgium,1839,20.78,35.16,44.06,,,,20.8,35.2,44.1,,,,
Belgium,1840,21.61,35.69,42.71,,,,21.6,35.7,42.7,,,,
Belgium,1841,21.47,36.03,42.5,,,,21.5,36.0,42.5,,,,
Belgium,1842,22.41,37.37,40.22,,,,22.4,37.4,40.2,,,,
Belgium,1843,23.08,37.41,39.51,,,,23.1,37.4,39.5,,,,
Belgium,1844,22.18,36.57,41.26,,,,22.2,36.6,41.3,,,,
Belgium,1845,21.89,36.1,42.01,,,,21.9,36.1,42.0,,,,
Belgium,1846,24.22,35.72,40.06,681000,414000,178000,24.2,35.7,40.1,53.5,32.5,14,
Belgium,1847,31.28,31.5,37.22,,,,31.3,31.5,37.2,,,,
Belgium,1848,22.27,37.86,39.87,,,,22.3,37.9,39.9,,,,
Belgium,1849,22.77,36.58,40.65,,,,22.8,36.6,40.6,,,,
Belgium,1850,20.11,38.81,41.08,,,,20.1,38.8,41.1,,,,
Belgium,1851,20.43,38.2,41.37,,,,20.4,38.2,41.4,,,,
Belgium,1852,21.07,38.38,40.55,,,,21.1,38.4,40.5,,,,
Belgium,1853,21.42,40.59,37.99,,,,21.4,40.6,38.0,,,,
Belgium,1854,25.24,39.72,35.04,,,,25.2,39.7,35.0,,,,
Belgium,1855,22.06,42.97,34.97,,,,22.1,43.0,35.0,,,,
Belgium,1856,22.44,43.3,34.25,712000,525000,211000,22.4,43.3,34.3,49.2,36.3,14.6,
Belgium,1857,20.44,43.62,35.94,,,,20.4,43.6,35.9,,,,
Belgium,1858,18.26,44.09,37.65,,,,18.3,44.1,37.7,,,,
