Entity,Year,Cropland (HYDE (2017)),Grazing (HYDE (2017)),Total Irrigated Area (HYDE (2017)),Irrigated Non-rice Crops (HYDE (2017)),Irrigated Rice (HYDE (2017)),Pastureland (HYDE (2017)),Rangeland (HYDE (2017)),Total Rainfed Area (HYDE (2017)),Rainfed Non-rice Crops (HYDE (2017)),Total Rice Area (HYDE (2017)),Built-up Area (HYDE (2017)),Total population (HYDE (2017)),Urban population (HYDE (2017)),Rural Population (HYDE (2017)),Agricultural area (crops & grazing) (HYDE (2017)),Cropland per capita (HYDE (2017)),Grazing land per capita (HYDE (2017)),Agricultural land per capita (HYDE (2017))
Africa,-10000,0,0,,,,,,,,,1,,,,0,0,,0
Africa,-9000,0,0,,,,,,,,,2,,,,0,0,,0
Africa,-8000,0,0,,,,,,,,,4,,,,0,0,,0
Africa,-7000,7711.773,0,,,,,,,,,7,,,,7711.773,0.011509142,,0.011509142
Africa,-6000,164918.4,0,,,,,,,,,14,,,,164918.4,0.168429385,,0.168429385
Africa,-5000,839165.19,5845343.4,,,,,,,,,30,,,,6684508.59,0.580913205,,4.627359848
Africa,-4000,4396548.49,11206709.32,,,,,,,,,107,,,,15603257.81,1.952985288,,6.931103577
Africa,-3000,6526042.73,19398754.11,,,,,,,,,361,,,,25924796.84,1.62840318,,6.468854613
Africa,-2000,6605706.6,33224739.58,,,,,,,,,621,,,,39830446.18,1.089204512,,6.567579266
Africa,-1000,8585603.8,58420146.87,,,,,,,,,977,,,,67005750.67,0.954750413,,7.451283521
Africa,0,11746738.4,90431003.32,,,,,,,,,2033,,,,102177741.7,0.793277286,,6.900237227
Africa,100,12469700.6,96468641.28,,,,,,,,,2409,,,,108938341.9,0.770452738,,6.730862792
Africa,200,13286179.3,102255677.7,,,,,,,,,2820,,,,115541857,0.748364191,,6.508070254
Africa,300,13610254.9,108043701.5,,,,,,,,,2865,,,,121653956.4,0.727364364,,6.501476516
Africa,400,14120194.9,114815292.1,,,,,,,,,2893,,,,128935487,0.707011541,,6.455922035
Africa,500,14855204.4,123255320.9,,,,,,,,,2808,,,,138110525.3,0.691439107,,6.428388036
Africa,600,15891169.8,133191039.4,,,,,,,,,2704,,,,149082209.2,0.67665859,,6.348038488
Africa,700,17737918.9,145041774,,,,,,,,,3167,,,,162779692.9,0.655435809,,6.014890487
