Entity,Year,Land use per kilocalorie,Land use per unit protein,Land use per unit mass
Barley (non-organic),2018,0.27,9.70,
"Beef (non-organic, grain-fed)",2018,8.27,95.57,
"Beef (non-organic, grass-fed)",2018,3.01,34.83,
"Beef (organic, grass-fed)",2018,13.55,156.70,
Eggs (non-organic),2018,0.34,3.88,
Eggs (organic),2018,0.52,5.96,
Maize (non-organic),2018,0.04,1.44,
Milk (non-organic),2018,0.23,4.49,
Milk (organic),2018,0.45,4.38,
Mutton & Goat Meat (non-organic),2018,20.98,120.40,
Mutton & Goat Meat (organic),2018,4.64,26.60,
Pork (non-organic),2018,1.17,13.30,
Pork (organic),2018,1.06,12.14,
Potatoes (non-organic),2018,0.04,1.36,
Potatoes (organic),2018,0.08,2.87,
Poultry (non-organic),2018,0.41,4.78,
Poultry (organic),2018,1.12,12.95,
Rice (non-organic),2018,0.05,2.28,
Rice (organic),2018,0.05,2.44,
Soybean (non-organic),2018,0.08,1.04,
Tomatoes (greenhouse),2018,0.03,0.48,
Tomatoes (non-greenhouse),2018,0.07,0.94,
Wheat (non-organic),2018,0.17,3.67,
Wheat (organic),2018,0.07,1.53,
