Entity,Year,Public expenditure on health per capita in developing countries (PPP) (World Bank (WDI) (2017)),Tax revenues per capita in developing countries (PPP) (World Bank (WDI) (2017))
Afghanistan,2014,56.9698437,
Albania,2014,332.0318551,2070.813918
Algeria,2014,748.739616,
Angola,2014,155.7003803,1140.532275
Argentina,2014,527.3702476,
Armenia,2014,156.3188116,1753.336429
Azerbaijan,2014,216.7441116,2504.029927
Bangladesh,2014,24.68329715,
Belarus,2014,684.3948314,2405.182951
Belize,2014,329.2105159,1971.682159
Benin,2014,46.05884089,
Bhutan,2014,205.9553146,1050.3871
Bolivia,2014,304.1820414,
Bosnia and Herzegovina,2014,713.5143154,2075.406773
Botswana,2014,511.400578,4228.288363
Brazil,2014,612.0097642,2100.096624
Bulgaria,2014,802.0088689,
Burkina Faso,2014,43.0720167,257.7535255
Burundi,2014,30.74485049,
Cambodia,2014,41.01956685,477.432854
Cameroon,2014,28.03674608,
Cape Verde,2014,230.3574551,
Central African Republic,2014,12.25518172,
Chad,2014,43.23409398,
China,2014,415.9885654,1299.967442
Colombia,2014,724.6120706,1968.03793
Comoros,2014,32.98878699,
Congo,2014,265.6838266,
Costa Rica,2014,1017.045124,2032.759378
Cote d'Ivoire,2014,54.76612122,471.3098679
Democratic Republic of Congo,2014,11.97140719,
Djibouti,2014,221.8761764,
Dominica,2014,414.2121935,2408.063835
Dominican Republic,2014,389.74611,1835.232233
Ecuador,2014,518.7177101,
Egypt,2014,228.1501341,1310.809975
El Salvador,2014,373.1684974,
Equatorial Guinea,2014,1326.115878,
Ethiopia,2014,43.22003541,
Fiji,2014,259.7041295,
Gabon,2014,458.9874768,
Gambia,2014,82.67680977,
Georgia,2014,143.1046901,2164.773043
Ghana,2014,87.32533546,
Grenada,2014,358.6275771,2464.445727
Guatemala,2014,174.7741773,
Guinea,2014,33.5831067,
Guinea-Bissau,2014,16.12130603,
Guyana,2014,226.3245947,
Haiti,2014,27.15050735,
Honduras,2014,217.9336469,826.0601573
India,2014,79.92530276,
Indonesia,2014,113.6514151,1145.40603
Iran,2014,493.9709191,
Iraq,2014,509.6175443,139.4612438
Jamaica,2014,244.9972796,2328.781056
Jordan,2014,560.2797711,1712.34183
Kazakhstan,2014,588.3162754,3526.422822
Kenya,2014,104.0305979,
Kiribati,2014,160.8924937,312.146146
Kyrgyzstan,2014,121.976793,593.4095077
Laos,2014,50.280944,856.5751113
Lebanon,2014,431.9255119,2105.621463
Lesotho,2014,234.9475838,
Liberia,2014,26.74511003,
Macedonia,2014,552.747767,
Madagascar,2014,21.31132515,143.2445561
Malawi,2014,70.44120082,187.1129556
Malaysia,2014,592.6871707,3823.762812
Maldives,2014,1348.365245,2915.291792
Mali,2014,30.58858068,
Marshall Islands,2014,556.5526682,
Mauritania,2014,72.79678754,
Mauritius,2014,454.7446172,3518.231975
Mexico,2014,560.8251266,
Micronesia (country),2014,416.1641708,421.4394055
Moldova,2014,266.1060597,994.3740782
Mongolia,2014,314.7894229,
Montenegro,2014,565.1460656,
Morocco,2014,150.580693,
Mozambique,2014,44.77314529,
Myanmar,2014,51.01666168,
Namibia,2014,536.2708304,3361.705362
Nepal,2014,56.10234496,381.6592898
Nicaragua,2014,252.6905829,765.3132064
Niger,2014,30.53475865,
Nigeria,2014,54.80384636,
Pakistan,2014,44.41218036,482.8027385
Palau,2014,913.4388848,
Palestine,2014,,259.9371763
Panama,2014,1242.110614,
Papua New Guinea,2014,99.42352141,
Paraguay,2014,403.2017812,1141.126546
Peru,2014,403.6246729,2030.836214
Philippines,2014,113.1863607,952.8796159
Romania,2014,930.5565843,3744.863366
Russia,2014,926.2270062,3372.697332
Rwanda,2014,47.90486804,225.2887169
Saint Lucia,2014,383.5099396,2435.537412
Saint Vincent and the Grenadines,2014,476.1162821,
Samoa,2014,380.3740371,1341.727131
Sao Tome and Principe,2014,113.0058446,
Senegal,2014,56.07660558,
Serbia,2014,885.8648835,
Sierra Leone,2014,37.63821568,171.7317519
Solomon Islands,2014,99.35328921,632.8286601
South Africa,2014,555.7822218,3472.864548
South Sudan,2014,23.06684199,
Sri Lanka,2014,220.1650207,1126.946195
Sudan,2014,76.2614582,
Suriname,2014,491.6766581,
Swaziland,2014,596.6145688,
Tajikistan,2014,53.64312639,
Tanzania,2014,66.05665098,316.7251833
Thailand,2014,885.8607806,2528.613444
Timor,2014,31.06706996,
Togo,2014,28.39834433,
Tonga,2014,226.4840835,
Tunisia,2014,450.7708521,
Turkey,2014,824.2290395,4153.296986
Turkmenistan,2014,209.6981436,
Tuvalu,2014,622.2637312,
Uganda,2014,32.40980224,205.0900728
Ukraine,2014,313.0036682,1501.779052
Uzbekistan,2014,176.5255736,
Vanuatu,2014,137.4151262,
Venezuela,2014,272.5255832,
Vietnam,2014,216.0968359,
Yemen,2014,50.58780509,
Zambia,2014,104.9397687,
Zimbabwe,2014,44.4069093,
