Entity,Year,Deaths from all causes,Measles
United Kingdom,1629,,42
United Kingdom,1630,,2
United Kingdom,1631,,3
United Kingdom,1632,,80
United Kingdom,1633,,21
United Kingdom,1634,,33
United Kingdom,1635,,27
United Kingdom,1636,,12
United Kingdom,1647,,5
United Kingdom,1648,,92
United Kingdom,1649,,3
United Kingdom,1650,,33
United Kingdom,1651,,33
United Kingdom,1652,,62
United Kingdom,1653,,8
United Kingdom,1654,,52
United Kingdom,1655,,11
United Kingdom,1656,,153
United Kingdom,1657,,15
United Kingdom,1658,,80
United Kingdom,1659,,6
United Kingdom,1660,,74
United Kingdom,1661,,188
United Kingdom,1662,,20
United Kingdom,1663,,42
United Kingdom,1664,,311
United Kingdom,1665,,7
United Kingdom,1666,,3
United Kingdom,1667,,83
United Kingdom,1668,,200
United Kingdom,1669,,15
United Kingdom,1670,,295
United Kingdom,1671,,7
United Kingdom,1672,,118
United Kingdom,1673,,15
United Kingdom,1674,,795
United Kingdom,1675,,1
United Kingdom,1676,,83
United Kingdom,1677,,87
United Kingdom,1678,,93
United Kingdom,1679,,117
United Kingdom,1680,,49
United Kingdom,1681,,121
United Kingdom,1682,,50
United Kingdom,1683,,39
United Kingdom,1684,,6
United Kingdom,1685,,197
United Kingdom,1686,,25
United Kingdom,1701,,4
United Kingdom,1702,,27
United Kingdom,1703,,51
United Kingdom,1704,,12
United Kingdom,1705,,319
United Kingdom,1706,,361
United Kingdom,1707,,37
United Kingdom,1708,,126
United Kingdom,1709,,89
United Kingdom,1710,,181
United Kingdom,1711,,97
United Kingdom,1712,,77
United Kingdom,1713,,61
United Kingdom,1714,,139
United Kingdom,1715,,30
United Kingdom,1716,,270
United Kingdom,1717,,35
United Kingdom,1718,,492
United Kingdom,1719,,243
United Kingdom,1720,,213
United Kingdom,1721,,238
United Kingdom,1722,,114
United Kingdom,1723,,231
United Kingdom,1724,,118
United Kingdom,1725,,70
United Kingdom,1726,,256
United Kingdom,1727,,72
United Kingdom,1728,,82
United Kingdom,1729,,41
United Kingdom,1730,,311
United Kingdom,1731,,102
United Kingdom,1732,,30
United Kingdom,1733,,605
United Kingdom,1734,,20
United Kingdom,1735,,10
United Kingdom,1736,,169
United Kingdom,1737,,127
United Kingdom,1738,,216
United Kingdom,1739,,326
United Kingdom,1740,,46
United Kingdom,1741,,42
United Kingdom,1742,,981
United Kingdom,1743,,17
United Kingdom,1744,,5
United Kingdom,1745,,14
United Kingdom,1746,,250
United Kingdom,1747,,81
United Kingdom,1748,,10
United Kingdom,1749,,106
United Kingdom,1750,,321
United Kingdom,1751,,21
United Kingdom,1752,,111
United Kingdom,1753,,253
United Kingdom,1754,,12
United Kingdom,1755,,423
United Kingdom,1756,,156
United Kingdom,1757,,24
United Kingdom,1758,,696
United Kingdom,1759,,316
United Kingdom,1760,,175
United Kingdom,1761,,394
United Kingdom,1762,,122
United Kingdom,1763,,610
United Kingdom,1764,,65
United Kingdom,1765,,54
United Kingdom,1766,,482
United Kingdom,1767,,80
United Kingdom,1768,,409
United Kingdom,1769,,90
United Kingdom,1770,,325
United Kingdom,1771,,115
United Kingdom,1772,,211
United Kingdom,1773,,199
United Kingdom,1774,,121
United Kingdom,1775,,283
United Kingdom,1776,,153
United Kingdom,1777,,145
United Kingdom,1778,,388
United Kingdom,1779,,99
United Kingdom,1780,,272
United Kingdom,1781,,201
United Kingdom,1782,,170
United Kingdom,1783,,185
United Kingdom,1784,,29
United Kingdom,1785,,20
United Kingdom,1786,,793
United Kingdom,1787,,84
United Kingdom,1788,,55
United Kingdom,1789,,534
United Kingdom,1790,,119
United Kingdom,1791,,156
United Kingdom,1792,,450
United Kingdom,1793,,248
United Kingdom,1794,,172
United Kingdom,1795,,328
United Kingdom,1796,,307
United Kingdom,1797,,222
United Kingdom,1798,,196
United Kingdom,1799,,223
United Kingdom,1800,,395
United Kingdom,1801,,136
United Kingdom,1802,,559
United Kingdom,1803,,438
United Kingdom,1804,,619
United Kingdom,1805,,523
United Kingdom,1806,,530
United Kingdom,1807,,452
United Kingdom,1808,,1386
United Kingdom,1809,,106
United Kingdom,1810,,1031
United Kingdom,1811,,235
United Kingdom,1812,,427
United Kingdom,1813,,550
United Kingdom,1814,,817
United Kingdom,1815,,711
United Kingdom,1816,,1106
United Kingdom,1817,,725
United Kingdom,1818,,728
United Kingdom,1819,,695
United Kingdom,1820,,720
United Kingdom,1821,,547
United Kingdom,1822,,712
United Kingdom,1823,,573
United Kingdom,1824,,966
United Kingdom,1825,,743
United Kingdom,1826,,774
United Kingdom,1827,,525
United Kingdom,1828,,736
United Kingdom,1829,,578
United Kingdom,1830,,479
United Kingdom,1831,,750
United Kingdom,1841,,973
United Kingdom,1842,,1293
United Kingdom,1843,,1442
United Kingdom,1844,,1182
United Kingdom,1845,,2318
United Kingdom,1846,,747
United Kingdom,1847,,1778
United Kingdom,1848,,1144
United Kingdom,1849,,1154
United Kingdom,1850,,980
United Kingdom,1851,,1297
United Kingdom,1852,,595
United Kingdom,1853,,1007
United Kingdom,1854,,1399
United Kingdom,1855,,864
United Kingdom,1856,,1445
United Kingdom,1857,,1400
United Kingdom,1858,,2383
United Kingdom,1859,,1305
United Kingdom,1860,,2054
United Kingdom,1861,,1070
United Kingdom,1862,,2281
United Kingdom,1863,,1698
United Kingdom,1864,,2750
United Kingdom,1865,,1302
United Kingdom,1866,,2220
United Kingdom,1867,,1143
United Kingdom,1868,,1962
United Kingdom,1869,,1456
