Entity,Year,Cadmium (BGS (2016)),Cobalt (BGS (2016)),Diamond (BGS (2016)),Graphite (BGS (2016)),Lithium (BGS (2016)),Mercury (BGS (2016)),Platinum (BGS (2016)),Uranium (BGS (2016)),Silicon (BGS (2016))
Angola,1970,,,2396000,,,,,,
Angola,1971,,,2413021,,,,,,
Angola,1972,,,2155057,,,,,,
Angola,1973,,,2124720,,,,,,
Angola,1974,,,1959272,,,,,,
Angola,1975,,,991000,,,,,,
Angola,1976,,,340000,,,,,,
Angola,1977,,,353000,,,,,,
Angola,1978,,,650000,,,,,,
Angola,1979,,,840000,,,,,,
Angola,1980,,,1485100,,,,,,
Angola,1981,,,1400481,,,,,,
Angola,1982,,,1221150,,,,,,
Angola,1983,,,1006520,,,,,,
Angola,1984,,,923669,,,,,,
Angola,1985,,,717028,,,,,,
Angola,1986,,,266184,,,,,,
Angola,1987,,,871391,,,,,,
Angola,1988,,,1044551,,,,,,
Angola,1989,,,1320000,,,,,,
Angola,1990,,,1280000,,,,,,
Angola,1991,,,960559,,,,,,
Angola,1992,,,1395379,,,,,,
Angola,1993,,,146787,,,,,,
Angola,1994,,,303867,,,,,,
Angola,1995,,,671394,,,,,,
Angola,1996,,,2500000,,,,,,
Angola,1997,,,1314182,,,,,,
Angola,1998,,,2764858,,,,,,
Angola,1999,,,3572200,,,,,,
Angola,2000,,,4014000,,,,,,
Angola,2001,,,5100000,,,,,,
Angola,2002,,,5700000,,,,,,
Angola,2003,,,6300000,,,,,,
Angola,2004,,,6146361,,,,,,
Angola,2005,,,7079121,,,,,,
Angola,2006,,,9175061,,,,,,
Angola,2007,,,9701709,,,,,,
Angola,2008,,,8906974,,,,,,
Angola,2009,,,13827609,,,,,,
Angola,2010,,,8362139,,,,,,
Angola,2011,,,8328519,,,,,,
Angola,2012,,,8330096,,,,,,
Angola,2013,,,8598695,,,,,,
Angola,2014,,,8791340,,,,,,
Angola,2015,,,9016343,,,,,,
Argentina,1970,,,,,,,,42,
Argentina,1971,,,,,,,,42,
Argentina,1972,,,,,,,,38,
Argentina,1973,,,,,,,,39,
Argentina,1974,,,,,,,,32,
Argentina,1975,,,,,,,,32,
Argentina,1976,,,,,,,,174,
Argentina,1977,,,,,,,,185,
Argentina,1978,,,,,,,,143,
Argentina,1979,,,,,,,,745,
Argentina,1980,,,,,,,,242,
Argentina,1981,,,,,,,,187,
Argentina,1982,,,,,,,,572,
Argentina,1983,,,,,,,,172,
Argentina,1984,,,,,,,,129,
Argentina,1985,,,,,,,,126,
Argentina,1986,,,,,,,,173,
Argentina,1987,,,,,,,,95,
Argentina,1988,,,,,,,,142,
Argentina,1989,,,,,,,,52,
Argentina,1990,,,,,,,,9,
Argentina,1991,,,,,,,,18,
Argentina,1992,,,,,,,,124,
Argentina,1993,,,,,,,,126,
Argentina,1994,,,,,,,,80,
Argentina,1995,,,,,,,,58,
Argentina,1996,,,,,,,,23,
Argentina,1997,,,,,,,,35,
Argentina,1998,,,,,,,,8,
Argentina,1999,,,,,,,,8,
Armenia,2001,,,186000,,,,,,
Australia,1976,,,,,,,,359,
Australia,1977,,,,,,,,356,
Australia,1978,,,,,,,,516,
Australia,1979,,,0,,,,,706,
Australia,1980,,,0,,,,,1561,
Australia,1981,,,0,,,,,2922,
Australia,1982,,,457000,,,,,4422,
Australia,1983,,,6200227,,,,,3211,
Australia,1984,,,5692193,,,,,4324,
Australia,1985,,,7070062,,,,,3206,
Australia,1986,,,29232453,,,,,4154,
Australia,1987,,,30331701,,,,,3780,
Australia,1988,,,35221000,,,,,3532,
Australia,1989,,,35079000,,,,,3800,
Australia,1990,,,34662000,,,,,3530,
Australia,1991,,,35956000,,,,,3776,
Australia,1992,,,40172000,,,,,2334,
Australia,1993,,,41883000,,,,,2256,
Australia,1994,,,43789000,,,,,2208,
Australia,1995,,,40692000,,,,,3712,
Australia,1996,,,41993000,,,,,4976,
Australia,1997,,,40175000,,,,,5490,
Australia,1998,,,40843000,,,,,4901,
Australia,1999,,,29784000,,,,,5997,
Australia,2000,,,26647000,,,,,7588,
Australia,2001,,,26176000,,,,,7652,
Australia,2002,,,33648000,,,,,7146,
Australia,2003,,,31013000,,,,,7633,
Australia,2004,,,20620000,,,,,9010,
Australia,2005,,,30678000,,,,,9516,
Australia,2006,,,29308000,,,,,7606,
Australia,2007,,,19231000,,,,,8603,
Australia,2008,,,15670000,,,,,8471,
Australia,2009,,,10795000,,,,,7942,
Australia,2010,,,9998000,,,,,5971,
Australia,2011,,,7561487,,,,,5961,
Australia,2012,,,8625996,,,,,7022,
Australia,2013,,,11481749,,,,,6370,
Australia,2014,,,9288118,,,,,5634,
Australia,2015,,,13560795,,,,,5655,
Belgium,1980,,,,,,,,20,
Belgium,1981,,,,,,,,41,
Belgium,1982,,,,,,,,44,
Belgium,1983,,,,,,,,43,
Belgium,1984,,,,,,,,50,
Belgium,1985,,,,,,,,44,
Belgium,1986,,,,,,,,50,
Belgium,1987,,,,,,,,54,
Botswana,1970,,,463595,,,,,,
Botswana,1971,,,871765,,,,,,
Botswana,1972,,,2402936,,,,,,
Botswana,1973,,,2416460,,,,,,
Botswana,1974,,,2718000,,,,,,
Botswana,1975,,,2413839,,,,,,
Botswana,1976,,,2361000,,,,,,
Botswana,1977,,,2691000,,,,,,
Botswana,1978,,,2799000,,,,,,
Botswana,1979,,,4369000,,,,,,
Botswana,1980,,,5146000,,,,,,
Botswana,1981,,,4960000,,,,,,
Botswana,1982,,,7562000,,,,,,
Botswana,1983,,,10897000,,,,,,
Botswana,1984,,,12904000,,,,,,
Botswana,1985,,,12608000,,,,,,
Botswana,1986,,,13138000,,,,,,
Botswana,1987,,,13225344,,,,,,
Botswana,1988,,,15229000,,,,,,
Botswana,1989,,,15252000,,,,,,
Botswana,1990,,,17351000,,,,,,
Botswana,1991,,,16506000,,,,,,
Botswana,1992,,,15946000,,,,,,
Botswana,1993,,,14730000,,,,,,
Botswana,1994,,,15550000,,,,,,
Botswana,1995,,,16802438,,,,,,
Botswana,1996,,,17707000,,,,,,
Botswana,1997,,,20111000,,,,,,
Botswana,1998,,,19639000,,,,,,
Botswana,1999,,,21263000,,,,,,
Botswana,2000,,,24635000,,,,,,
Botswana,2001,,,26190000,,,,,,
Botswana,2002,,,28368000,,,,,,
Botswana,2003,,,30412155,,,,,,
Botswana,2004,,,31125000,,,,,,
Botswana,2005,,,31889771,,,,,,
Botswana,2006,,,34293401,,,,,,
Botswana,2007,,,33639000,,,,,,
Botswana,2008,,,32595000,,,,,,
Botswana,2009,,,17734000,,,,,,
Botswana,2010,,,22019000,,,,,,
Botswana,2011,,,22903000,,,,,,
Botswana,2012,,,20478000,,,,,,
Botswana,2013,,,22597000,,,,,,
Botswana,2014,,,24658000,,,,,,
Botswana,2015,,,20824000,,,,,,
Brazil,1970,,,73000,,,,,,
Brazil,1971,,,92000,,,,,,
Brazil,1972,,,99087,,,,,,
Brazil,1973,,,112751,,,,,,
Brazil,1974,,,254032,,,,,,
Brazil,1975,,,261641,,,,,,
Brazil,1976,,,261000,,,,,,
Brazil,1977,,,320000,,,,,,
Brazil,1978,,,500000,,,,,,
Brazil,1979,,,500000,,,,,,
Brazil,1980,,,666832,,,,,,
Brazil,1981,,,1089313,,,,,5,
Brazil,1982,,,529760,,,,,243,
Brazil,1983,,,311589,,,,,194,
Brazil,1984,,,800927,,,,,117,
Brazil,1985,,,450000,,,,,72,
Brazil,1986,,,625000,,,,,26,
Brazil,1987,,,522437,,,,,104,
Brazil,1988,,,544588,,,,,15,
Brazil,1989,,,500141,,,,,30,
Brazil,1990,,,1542241,,,,,5,
Brazil,1991,,,1546800,,,,,0,
Brazil,1992,,,1285402,,,,,0,
Brazil,1993,,,1000000,,,,,50,
Brazil,1994,,,300000,,,,,50,
Brazil,1995,,,676269,,,,,125,
Brazil,1996,,,200000,,,,,,
Brazil,1997,,,100000,,,,,,
Brazil,1998,,,100349,,,,,,
Brazil,1999,,,900000,,,,,0,
Brazil,2000,,,1000000,,,,,50,
Brazil,2001,,,700000,,,,,58,
Brazil,2002,,,500000,,,,,270,
Brazil,2003,,,400000,,,,,310,
Brazil,2004,,,300000,,,,,300,
Brazil,2005,,,207836,,,,,110,
Brazil,2006,,,181350,,,,,190,
Brazil,2007,,,182031,,,,,299,
Brazil,2008,,,80226,,,,,330,
Brazil,2009,,,21153,,,,,345,
Brazil,2010,,,25394,,,,,148,
Brazil,2011,,,45536,,,,,265,
Brazil,2012,,,46292,,,,,231,
Brazil,2013,,,49166,,,,,192,
Brazil,2014,,,56923,,,,,231,
Brazil,2015,,,31826,,,,,40,
Cameroon,2001,,,4800,,,,,,
Cameroon,2002,,,5000,,,,,,
Cameroon,2003,,,5500,,,,,,
Cameroon,2004,,,12000,,,,,,
Cameroon,2005,,,12000,,,,,,
Cameroon,2006,,,12000,,,,,,
Cameroon,2007,,,12000,,,,,,
Cameroon,2008,,,12000,,,,,,
Cameroon,2009,,,8000,,,,,,
Cameroon,2010,,,6000,,,,,,
Cameroon,2011,,,6000,,,,,,
Cameroon,2012,,,5000,,,,,,
Cameroon,2013,,,5000,,,,,,
Cameroon,2014,,,6000,,,,,,
Cameroon,2015,,,5000,,,,,,
Canada,1970,,,,,,,,3157,
Canada,1971,,,,,,,,3160,
Canada,1972,,,,,,,,3755,
Canada,1973,,,,,,,,3661,
Canada,1974,,,,,,,,3689,
Canada,1975,,,,,,,,4679,
Canada,1976,,,,,,,,5438,
Canada,1977,,,,,,,,5787,
Canada,1978,,,,,,,,6800,
Canada,1979,,,,,,,,6530,
Canada,1980,,,,,,,,6739,
Canada,1981,,,,,,,,7507,
Canada,1982,,,,,,,,7643,
Canada,1983,,,,,,,,6823,
Canada,1984,,,,,,,,10272,
Canada,1985,,,,,,,,10866,
Canada,1986,,,,,,,,11722,
Canada,1987,,,,,,,,12437,
Canada,1988,,,,,,,,12461,
Canada,1989,,,,,,,,11427,
Canada,1990,,,,,,,,8770,
Canada,1991,,,,,,,,8161,
Canada,1992,,,,,,,,9298,
Canada,1993,,,,,,,,9154,
Canada,1994,,,0,,,,,9644,
Canada,1995,,,0,,,,,10462,
Canada,1996,,,0,,,,,11689,
Canada,1997,,,0,,,,,12020,
Canada,1998,,,300006,,,,,10936,
Canada,1999,,,2492807,,,,,8214,
Canada,2000,,,2533750,,,,,10683,
Canada,2001,,,3685173,,,,,12487,
Canada,2002,,,4975021,,,,,11607,
Canada,2003,,,10755654,,,,,10456,
Canada,2004,,,12618080,,,,,11599,
Canada,2005,,,12314000,,,,,11627,
Canada,2006,,,13233813,,,,,9862,
Canada,2007,,,17007850,,,,,9475,
Canada,2008,,,14802699,,,,,9001,
Canada,2009,,,10946098,,,,,10176,
Canada,2010,,,11773000,,,,,9518,
Canada,2011,,,10795000,,,,,9145,
Canada,2012,,,10529215,,,,,8998,
Canada,2013,,,10561600,,,,,9331,
Canada,2014,,,12082000,,,,,9101,
Canada,2015,,,11600000,,,,,13324,
Central African Republic,1970,,,482447,,,,,,
Central African Republic,1971,,,468138,,,,,,
Central African Republic,1972,,,524102,,,,,,
Central African Republic,1973,,,380100,,,,,,
Central African Republic,1974,,,337800,,,,,,
Central African Republic,1975,,,338894,,,,,,
Central African Republic,1976,,,286007,,,,,,
Central African Republic,1977,,,296908,,,,,,
Central African Republic,1978,,,284246,,,,,,
Central African Republic,1979,,,314067,,,,,,
Central African Republic,1980,,,342000,,,,,,
Central African Republic,1981,,,311903,,,,,,
Central African Republic,1982,,,276573,,,,,,
Central African Republic,1983,,,295357,,,,,,
Central African Republic,1984,,,337150,,,,,,
Central African Republic,1985,,,353481,,,,,,
Central African Republic,1986,,,356707,,,,,,
Central African Republic,1987,,,413087,,,,,,
Central African Republic,1988,,,359752,,,,,,
Central African Republic,1989,,,447676,,,,,,
Central African Republic,1990,,,418667,,,,,,
Central African Republic,1991,,,429734,,,,,,
Central African Republic,1992,,,414277,,,,,,
Central African Republic,1993,,,494922,,,,,,
Central African Republic,1994,,,531926,,,,,,
Central African Republic,1995,,,477698,,,,,,
Central African Republic,1996,,,487360,,,,,,
Central African Republic,1997,,,486787,,,,,,
Central African Republic,1998,,,419967,,,,,,
Central African Republic,1999,,,430126,,,,,,
Central African Republic,2000,,,461004,,,,,,
Central African Republic,2001,,,550000,,,,,,
Central African Republic,2002,,,414767,,,,,,
Central African Republic,2003,,,331543,,,,,,
Central African Republic,2004,,,354703,,,,,,
Central African Republic,2005,,,382756,,,,,,
Central African Republic,2006,,,419528,,,,,,
Central African Republic,2007,,,467711,,,,,,
Central African Republic,2008,,,372754,,,,,,
Central African Republic,2009,,,310469,,,,,,
Central African Republic,2010,,,301558,,,,,,
Central African Republic,2011,,,323576,,,,,,
Central African Republic,2012,,,365917,,,,,,
China,1980,,,900000,,,,,,
China,1981,,,950000,,,,,,
China,1982,,,1000000,,,,,,
China,1983,,,1000000,,,,,,
China,1984,,,1000000,,,,,,
China,1985,,,1000000,,,,,,
China,1986,,,1000000,,,,,,
China,1987,,,1000000,,,,,,
China,1988,,,1000000,,,,,344,
China,1989,,,1000000,,,,,800,
China,1990,,,1000000,,,,,800,
China,1991,,,1000000,,,,,800,
China,1992,,,115255,,,,,955,
China,1993,,,118300,,,,,780,
China,1994,,,141940,,,,,780,
China,1995,,,365085,,,,,500,
China,1996,,,118380,,,,,500,
China,1997,,,120385,,,,,500,
China,1998,,,112825,,,,,500,
China,1999,,,113065,,,,,500,
China,2000,,,160000,,,,,500,
China,2001,,,1185000,,,,,665,
China,2002,,,1190000,,,,,730,
China,2003,,,1190000,,,,,750,
China,2004,,,1060000,,,,,750,
China,2005,,,1060000,,,,,750,
China,2006,,,1065000,,,,,750,
China,2007,,,1070000,,,,,712,
China,2008,,,69480,,,,,769,
China,2009,,,45932,,,,,750,
China,2010,,,17227,,,,,827,
China,2011,,,201,,,,,885,
China,2012,,,1855,,,,,1500,
China,2013,,,1050,,,,,1500,
China,2014,,,0,,,,,1500,
China,2015,,,0,,,,,1616,
Congo,2007,,,22000,,,,,,
Congo,2008,,,110000,,,,,,
Congo,2009,,,68000,,,,,,
Congo,2010,,,381242,,,,,,
Congo,2011,,,76548,,,,,,
Congo,2012,,,51588,,,,,,
Congo,2013,,,56495,,,,,,
Congo,2014,,,53163,,,,,,
Congo,2015,,,40057,,,,,,
Cote d'Ivoire,1970,,,212808,,,,,,
Cote d'Ivoire,1971,,,326368,,,,,,
Cote d'Ivoire,1972,,,333541,,,,,,
Cote d'Ivoire,1973,,,299916,,,,,,
Cote d'Ivoire,1974,,,278533,,,,,,
Cote d'Ivoire,1975,,,209023,,,,,,
Cote d'Ivoire,1976,,,60000,,,,,,
Cote d'Ivoire,1977,,,39000,,,,,,
Cote d'Ivoire,1978,,,45000,,,,,,
Cote d'Ivoire,1979,,,48000,,,,,,
Cote d'Ivoire,1985,,,5000,,,,,,
Cote d'Ivoire,1986,,,13581,,,,,,
Cote d'Ivoire,1987,,,67365,,,,,,
Cote d'Ivoire,1988,,,116543,,,,,,
Cote d'Ivoire,1989,,,11689,,,,,,
Cote d'Ivoire,1990,,,12000,,,,,,
Cote d'Ivoire,1991,,,15000,,,,,,
Cote d'Ivoire,1992,,,15000,,,,,,
Cote d'Ivoire,1993,,,15000,,,,,,
Cote d'Ivoire,1994,,,84400,,,,,,
Cote d'Ivoire,1995,,,75300,,,,,,
Cote d'Ivoire,1996,,,301591,,,,,,
Cote d'Ivoire,1997,,,306665,,,,,,
Cote d'Ivoire,1998,,,310000,,,,,,
Cote d'Ivoire,1999,,,398282,,,,,,
Cote d'Ivoire,2000,,,320208,,,,,,
Cote d'Ivoire,2001,,,309000,,,,,,
Cote d'Ivoire,2002,,,306000,,,,,,
Cote d'Ivoire,2003,,,230000,,,,,,
Cote d'Ivoire,2004,,,300000,,,,,,
Cote d'Ivoire,2005,,,0,,,,,,
Cote d'Ivoire,2006,,,0,,,,,,
Cote d'Ivoire,2010,,,0,,,,,,
Cote d'Ivoire,2011,,,0,,,,,,
Cote d'Ivoire,2012,,,0,,,,,,
Cote d'Ivoire,2013,,,0,,,,,,
Cote d'Ivoire,2014,,,1074,,,,,,
Cote d'Ivoire,2015,,,14925,,,,,,
Czech Republic,1992,,,,,,,,0,
Czech Republic,1993,,,,,,,,1018,
Czech Republic,1994,,,,,,,,537,
Czech Republic,1995,,,,,,,,611,
Czech Republic,1996,,,,,,,,589,
Czech Republic,1997,,,,,,,,624,
Czech Republic,1998,,,,,,,,611,
Czech Republic,1999,,,,,,,,605,
Czech Republic,2000,,,,,,,,498,
Czech Republic,2001,,,,,,,,490,
Czech Republic,2002,,,,,,,,477,
Czech Republic,2003,,,,,,,,458,
Czech Republic,2004,,,,,,,,435,
Czech Republic,2005,,,,,,,,420,
Czech Republic,2006,,,,,,,,383,
Czech Republic,2007,,,,,,,,322,
Czech Republic,2008,,,,,,,,290,
Czech Republic,2009,,,,,,,,286,
Czech Republic,2010,,,,,,,,259,
Czech Republic,2011,,,,,,,,252,
Czech Republic,2012,,,,,,,,222,
Czech Republic,2013,,,,,,,,232,
Czech Republic,2014,,,,,,,,165,
Czech Republic,2015,,,,,,,,134,
Czechoslovakia,1990,,,,,,,,2142,
Czechoslovakia,1991,,,,,,,,1778,
Czechoslovakia,1992,,,,,,,,1539,
Democratic Republic of Congo,1970,,,12438000,,,,,,
Democratic Republic of Congo,1971,,,11469000,,,,,,
Democratic Republic of Congo,1972,,,13389829,,,,,,
Democratic Republic of Congo,1973,,,12389840,,,,,,
Democratic Republic of Congo,1974,,,13596935,,,,,,
Democratic Republic of Congo,1975,,,12810319,,,,,,
Democratic Republic of Congo,1976,,,11821000,,,,,,
Democratic Republic of Congo,1977,,,11215000,,,,,,
Democratic Republic of Congo,1978,,,11245000,,,,,,
Democratic Republic of Congo,1979,,,8734000,,,,,,
Democratic Republic of Congo,1980,,,10334000,,,,,,
Democratic Republic of Congo,1981,,,7161000,,,,,,
Democratic Republic of Congo,1982,,,6164000,,,,,,
Democratic Republic of Congo,1983,,,11982000,,,,,,
Democratic Republic of Congo,1984,,,18459000,,,,,,
Democratic Republic of Congo,1985,,,19975000,,,,,,
Democratic Republic of Congo,1986,,,23233000,,,,,,
Democratic Republic of Congo,1987,,,19650310,,,,,,
Democratic Republic of Congo,1988,,,18162555,,,,,,
Democratic Republic of Congo,1989,,,17652206,,,,,,
Democratic Republic of Congo,1990,,,19427551,,,,,,
Democratic Republic of Congo,1991,,,18300000,,,,,,
