Entity,Year,Minutes spent sleeping (MTUS (2013)),Minutes spent eating and drinking (MTUS (2013)),Minutes spent on self care (MTUS (2013)),Minutes spent on paid work (MTUS (2013)),Minutes spent on education (MTUS (2013)),Minutes spent on food preparation (MTUS (2013)),Minutes spent cleaning (MTUS (2013)),Minutes spent on maintenance (MTUS (2013)),Minutes spent shopping (MTUS (2013)),Minutes spent gardening (MTUS (2013)),Minutes spent on pet care (MTUS (2013)),Minutes spent on elderly care (MTUS (2013)),"Minutes spent on physical, routine child care (MTUS (2013))",Minutes spent on interactive child care (MTUS (2013)),Minutes spent on religious activities (MTUS (2013)),Minutes spent on voluntary work (MTUS (2013)),Minutes spent commuting (MTUS (2013)),Minutes spent on travel (MTUS (2013)),Minutes spent on sports or exercise (MTUS (2013)),Minutes spent watching TV (MTUS (2013)),Minutes spent reading (MTUS (2013)),Minutes spent on computer (MTUS (2013)),Minutes spent on out-of-home leisure (MTUS (2013)),Minutes spent on leisure (MTUS (2013))
Australia,1974,,,,244.49484,96.780014,42.449345,,,28.468176,,,16.661745,,,,56.32785,27.558325,,,,,,,65.683899
Austria,1992,,,,155.11946,95.564957,41.686085,,,35.918278,,,57.667007,,,,53.26548,13.581457,,,,,,,68.880981
Canada,1971,,,,261.97772,106.07338,51.823608,,,31.520838,,,,,,,76.598671,25.079775,,,,,,,71.161194
Canada,1972,,,,255.74231,122.02151,47.397236,,,34.672684,,,,,,,69.44075,26.707106,,,,,,,78.18924
Canada,1981,,,,239.71478,135.28429,37.248104,,,30.719198,,,,,,,78.951004,21.82864,,,,,,,78.246559
Canada,1986,,,,217.80618,150.07883,36.60598,,,51.104305,,,,,,,88.927643,27.682285,,,,,,,75.906799
Canada,1992,,,,241.34981,149.82065,33.028362,,,40.551525,,,,,,,61.74379,27.001289,,,,,,,56.90522
Canada,1998,,,,248.00453,138.5136,31.525089,,,39.940224,,,,,,,61.854385,29.547581,,,,,,,58.727173
Canada,1999,,,,242.35794,125.24033,32.540977,,,43.263386,,,,,,,55.082783,28.416573,,,,,,,58.718719
Denmark,1964,,,,243.5107,124.31158,,,,49.6194,,,,,,,120.81436,,,,,,,,128.27838
Denmark,1987,,,,237.78232,141.08488,36.546421,,,34.30452,,,,,,,111.57343,28.04793,,,,,,,106.09097
Denmark,2001,,,,265.78461,144.20222,30.809053,,,28.281979,,,19.592905,,,,40.513115,32.159012,,,,,,,58.050159
France,1965,,,,272.00751,81.640366,64.293335,,,29.401012,,,,,,,64.588409,27.759592,,,,,,,53.721397
France,1974,,,,282.14926,133.68205,53.236557,,,29.002188,,,,,,,45.325718,39.458195,,,,,,,67.817963
France,1998,,,,200.37575,135.27908,37.390209,,,36.97805,,,29.787935,,,,39.232014,27.135254,,,,,,,54.418461
France,1999,,,,198.47215,154.79088,35.94548,,,36.794334,,,26.865393,,,,29.829529,27.983286,,,,,,,51.569824
Germany,1965,,,,275.00677,89.957169,58.213188,,,34.092999,,,,,,,53.334766,26.761297,,,,,,,52.873169
Germany,1991,,,,228.22522,113.37534,42.224876,,,27.627296,,,37.53854,,,,30.034672,27.615376,,,,,,,53.401901
