Entity,Year,Number of disasters (EMDAT (2017)),Total deaths (EMDAT (2017)),Injured (EMDAT (2017)),Affected (EMDAT (2017)),Homeless (EMDAT (2017)),Total affected (EMDAT (2017)),Total economic damage (EMDAT (2017))
All natural disasters,1970,,387507,,,,,
All natural disasters,1971,,18086,,,,,
All natural disasters,1972,,20045,,,,,
All natural disasters,1973,,110555,,,,,
All natural disasters,1974,,87504,,,,,
All natural disasters,1975,,14858,,,,,
All natural disasters,1976,,280469,,,,,
All natural disasters,1977,,22406,,,,,
All natural disasters,1978,,38096,,,,,
All natural disasters,1979,,7341,,,,,
All natural disasters,1980,,23089,,,,,
All natural disasters,1981,,119697,,,,,
All natural disasters,1982,,13973,,,,,
All natural disasters,1983,,461561,,,,,
All natural disasters,1984,,16273,,,,,
All natural disasters,1985,,60232,,,,,
All natural disasters,1986,,10349,,,,,
All natural disasters,1987,,21533,,,,,
All natural disasters,1988,,57464,,,,,
All natural disasters,1989,,12611,,,,,
All natural disasters,1990,,53141,,,,,
All natural disasters,1991,,189707,,,,,
All natural disasters,1992,,18911,,,,,
All natural disasters,1993,,21821,,,,,
All natural disasters,1994,,15590,,,,,
All natural disasters,1995,,27166,,,,,
All natural disasters,1996,,31595,,,,,
All natural disasters,1997,,30124,,,,,
All natural disasters,1998,,62672,,,,,
All natural disasters,1999,,76886,,,,,
All natural disasters,2000,,16667,,,,,
All natural disasters,2001,,39493,,,,,
All natural disasters,2002,,21342,,,,,
All natural disasters,2003,,113558,,,,,
All natural disasters,2004,,244772,,,,,
All natural disasters,2005,,93566,,,,,
All natural disasters,2006,,29893,,,,,
All natural disasters,2007,,22422,,,,,
All natural disasters,2008,,242236,,,,,
All natural disasters,2009,,16037,,,,,
All natural disasters,2010,,329900,,,,,
All natural disasters,2011,,34143,,,,,
All natural disasters,2012,,11619,,,,,
All natural disasters,2013,,22225,,,,,
All natural disasters,2014,,20882,,,,,
All natural disasters,2015,,23893,,,,,
All natural disasters,2016,,10201,,,,,
All natural disasters,2017,,9066,,,,,
Drought,1973,,100000,,,,,
Drought,1974,,19000,,,,,
Drought,1978,,63,,,,,
Drought,1979,,18,,,,,
Drought,1981,,103000,,,,,
Drought,1982,,280,,,,,
Drought,1983,,450520,,,,,
Drought,1984,,230,,,,,
Drought,1986,,84,,,,,
Drought,1987,,1317,,,,,
Drought,1988,,1600,,,,,
Drought,1989,,237,,,,,
Drought,1991,,2000,,,,,
Drought,1997,,732,,,,,
Drought,1998,,20,,,,,
Drought,1999,,361,,,,,
Drought,2000,,80,,,,,
Drought,2001,,99,,,,,
Drought,2002,,588,,,,,
Drought,2003,,9,,,,,
Drought,2004,,80,,,,,
Drought,2005,,149,,,,,
Drought,2006,,134,,,,,
Drought,2008,,8,,,,,
Drought,2010,,20000,,,,,
Drought,2015,,35,,,,,
Drought,2017,,0,,,,,
Earthquake,1970,,78599,,,,,
Earthquake,1971,,1107,,,,,
Earthquake,1972,,15170,,,,,
Earthquake,1973,,552,,,,,
Earthquake,1974,,24808,,,,,
Earthquake,1975,,12632,,,,,
Earthquake,1976,,276994,,,,,
Earthquake,1977,,3098,,,,,
Earthquake,1978,,25162,,,,,
Earthquake,1979,,2100,,,,,
Earthquake,1980,,7730,,,,,
Earthquake,1981,,4206,,,,,
Earthquake,1982,,2120,,,,,
Earthquake,1983,,2148,,,,,
Earthquake,1984,,57,,,,,
Earthquake,1985,,9853,,,,,
Earthquake,1986,,1181,,,,,
Earthquake,1987,,5160,,,,,
