Entity,Year,Number of people undernourished (FAO (2017) & World Bank (2017)),Number of people with sufficient caloric intake (FAO (2017) & World Bank (2017))
World,1991,1007889360,4410870640
World,1992,1018314000,4486086000
World,1993,1017032380,4571057620
World,1994,1009316960,4661003040
World,1995,989252840,4762217160
World,1996,968040620,4863529380
World,1997,951601770,4958968230
World,1998,940249450,5048600550
World,1999,928231110,5138638890
World,2000,900000000,5245010000
World,2001,917500000,5305910000
World,2002,936300000,5365850000
World,2003,947200000,5434210000
World,2004,941700000,5519670000
World,2005,926000000,5616160000
World,2006,890000000,5733850000
World,2007,845500000,5860920000
World,2008,831800000,5957970000
World,2009,814700000,6059040000
World,2010,794600000,6163570000
World,2011,782100000,6260910000
World,2012,779300000,6348880000
World,2013,775400000,6438030000
World,2014,775400000,6523050000
World,2015,777000000,6606010000
World,2016,815000000,6651960000
