Entity,Year,Multidimensional Poverty (headcount ratio) (Alkire and Robles (2016)),Percentage contribution of deprivations in education to overall poverty (Alkire and Robles (2016)),Percentage contribution of deprivations in health to overall poverty (Alkire and Robles (2016)),Percentage contribution of deprivations in living standards to overall poverty (Alkire and Robles (2016))
Afghanistan,2011,66.2,,,
Albania,2009,1.4,,,
Algeria,2013,1.5,,,
Argentina,2005,2.9,,,
Armenia,2010,0.3,,,
Azerbaijan,2006,5.3,,,
Bangladesh,2014,41.3,,,
Barbados,2012,0.9,,,
Belarus,2005,0,,,
Belize,2011,4.6,,,
Benin,2012,62.2,,,
Bhutan,2010,27.2,,,
Bolivia,2008,20.5,,,
Bosnia and Herzegovina,2012,0.5,,,
Brazil,2014,5.3,,,
Burkina Faso,2010,84,,,
Burundi,2010,80.8,,,
Cambodia,2014,33,,,
Cameroon,2011,46,,,
Central African Republic,2010,77.6,,,
Chad,2015,87.1,,,
China,2012,5.2,,,
Colombia,2010,5.4,,,
Comoros,2012,36,,,
Congo,2012,39.7,,,
Cote d'Ivoire,2012,58.7,,,
Democratic Republic of Congo,2014,75.1,,,
Djibouti,2006,29.3,,,
Dominican Republic,2014,8.8,,,
Ecuador,2014,3.5,,,
Egypt,2014,3.6,,,
Ethiopia,2011,87.3,,,
Gabon,2012,16.5,,,
Gambia,2013,60.4,,,
Georgia,2005,0.8,,,
Ghana,2014,33.7,,,
Guinea,2012,75.1,,,
Guinea-Bissau,2006,77.5,,,
Guyana,2014,3.2,,,
Haiti,2012,49.4,,,
Honduras,2012,15.8,,,
India,2006,53.7,,,
Indonesia,2012,15.5,,,
Iraq,2011,11.6,,,
Jamaica,2012,1.8,,,
Jordan,2012,1.7,,,
Kazakhstan,2011,0.2,,,
Kenya,2014,39.9,,,
Kyrgyzstan,2014,0.5,,,
Laos,2012,34.1,,,
Lesotho,2014,32,,,
Liberia,2013,71.2,,,
Libya,2007,1.5,,,
Macedonia,2011,0.7,,,
Madagascar,2009,66.9,,,
Malawi,2014,56,,,
Maldives,2009,5.2,,,
Mali,2013,77.7,,,
Mauritania,2011,52.2,,,
Mexico,2012,2.8,,,
Moldova,2012,0.8,,,
Mongolia,2013,9.9,,,
Montenegro,2013,0.3,,,
Morocco,2011,15.4,,,
Mozambique,2011,69.6,,,
Namibia,2013,42,,,
Nepal,2014,28.6,,,
Nicaragua,2012,16.1,,,
Niger,2012,89.3,,,
Nigeria,2013,53.2,,,
Pakistan,2013,44.2,,,
Palestine,2014,1.1,,,
Peru,2012,10.5,,,
Philippines,2013,11,,,
Rwanda,2015,53.8,,,
Saint Lucia,2012,1,,,
Sao Tome and Principe,2014,19.3,,,
Senegal,2014,56.9,,,
Serbia,2014,0.2,,,
Sierra Leone,2013,81,,,
Somalia,2006,81.2,,,
South Africa,2012,11.1,,,
South Sudan,2010,91.1,,,
Sudan,2014,53.4,,,
Suriname,2010,5.9,,,
Swaziland,2010,20.4,,,
Syria,2009,4.4,,,
Tajikistan,2012,13.2,,,
Tanzania,2010,65.6,,,
Thailand,2012,0.9,,,
Timor,2010,68.1,,,
Togo,2014,50.1,,,
Trinidad and Tobago,2006,5.6,,,
Tunisia,2012,1.2,,,
Turkmenistan,2006,6.7,,,
Uganda,2011,69.9,,,
Ukraine,2012,1.2,,,
Uzbekistan,2006,2.3,,,
Vanuatu,2007,30.1,,,
Vietnam,2014,7.1,,,
Yemen,2013,45.9,,,
Zambia,2014,56.6,,,
Zimbabwe,2014,29.7,,,
