Entity,Year,Oil Imports (DECC (2013)),Domestic oil production (DECC (2013)),Oil Exports (DECC (2013)),Oil refinery throughput (DECC (2013)),Natural gas consumption (DECC (2013))
United Kingdom,1920,,227.5945078,,,32908.01879
United Kingdom,1921,,155.4551772,,,32023.67948
United Kingdom,1922,,205.2414758,,,32516.5945
United Kingdom,1923,,227.5945078,,,33778.09907
United Kingdom,1924,,228.6105548,,,35912.06044
United Kingdom,1925,,196.0970536,,,37151.3377
United Kingdom,1926,,155.4551772,,,38662.79465
United Kingdom,1927,,168.6637871,,,39170.66767
United Kingdom,1928,,167.6477402,,,39481.98977
United Kingdom,1929,,164.5995994,,,40903.55893
United Kingdom,1930,,162.5675056,,,40539.11495
United Kingdom,1931,,142.2465674,,,40722.44401
United Kingdom,1932,,114.8133008,,,40203.41997
United Kingdom,1933,,116.8453947,,,40001.32593
United Kingdom,1934,,117.8614416,,,40548.01168
United Kingdom,1935,,116.8453947,,,41185.73522
United Kingdom,1936,,117.8614416,,,42963.98228
United Kingdom,1937,,122.9416761,,,43860.0356
United Kingdom,1938,,128.0219107,,,43940.39305
United Kingdom,1939,,133.1021452,,,43904.10571
United Kingdom,1940,,145.2947081,,,42252.16332
United Kingdom,1941,,163.5835525,,,44643.59342
United Kingdom,1942,,234.7068362,,,47932.31007
United Kingdom,1943,,261.1240559,,,49558.137
United Kingdom,1944,,232.6747424,,,51873.39
United Kingdom,1945,,191.0168191,,,53368.047
United Kingdom,1946,,169.679834,,,58672.614
United Kingdom,1947,,147.326802,,,61368.858
United Kingdom,1948,,155.4551772,,,63830.646
United Kingdom,1949,,160.5354118,,,65676.987
United Kingdom,1950,,159.5193649,,,68490.459
United Kingdom,1951,,152.4070365,,,71772.843
United Kingdom,1952,,164.5995994,,,71890.071
United Kingdom,1953,,161.5514587,,,71391.852
United Kingdom,1954,,161.5514587,,,74058.789
United Kingdom,1955,,153.4230834,,,75699.981
United Kingdom,1956,,146.310755,,,75934.437
United Kingdom,1957,,155.4551772,,,74351.859
United Kingdom,1958,,145.2947081,,,75524.139
United Kingdom,1959,,145.2947081,,,73707.105
United Kingdom,1960,,148.3428489,,,79452
United Kingdom,1961,,151.3909896,,,78602
United Kingdom,1962,,129.0379576,,,83174
United Kingdom,1963,,124.9737699,,,88508
United Kingdom,1964,,129.0379576,,,91468
United Kingdom,1965,,83.31584662,,,99791
United Kingdom,1966,,79.25165898,,,110107
United Kingdom,1967,,90.42817499,,,118635
United Kingdom,1968,,85.34794044,,,132322
United Kingdom,1969,,86.36398735,,,148909
United Kingdom,1970,,156,,,171564
United Kingdom,1971,,212,,,222616
United Kingdom,1972,,333,,,290287
United Kingdom,1973,,372,,,319917
United Kingdom,1974,,410,,,377388
United Kingdom,1975,,1564,,,391250
United Kingdom,1976,,12169,,,417655
United Kingdom,1977,,38265,,,436793
United Kingdom,1978,,54006,,,460297
United Kingdom,1979,,77748,,,502382
United Kingdom,1980,,80467,,,508684
United Kingdom,1981,,89454,,,512112
United Kingdom,1982,,103211,,,518149
United Kingdom,1983,,114960,,,528642
United Kingdom,1984,,126065,,,544584
United Kingdom,1985,,127611,,,581717
United Kingdom,1986,,127068,,,588691
United Kingdom,1987,,123351,,,614247
United Kingdom,1988,,114459,,,594766
United Kingdom,1989,,91710,,,580522
United Kingdom,1990,,91604,,,597046
United Kingdom,1991,,91261,,,641763
United Kingdom,1992,,94251,,,640818
United Kingdom,1993,,100189,,,717357
United Kingdom,1994,,126542,,,764667
United Kingdom,1995,,129894,,,808786
United Kingdom,1996,,129742,,,938848
United Kingdom,1997,,128234,,,960243
United Kingdom,1998,,132633,,,1005306
United Kingdom,1999,,137099,,,1072963
United Kingdom,2000,,126245,,,1105537
United Kingdom,2001,,116678.386,,,1111729
United Kingdom,2002,,115944.2525,,,1096267
United Kingdom,2003,,106072.9327,,,1102774
United Kingdom,2004,,95374.0154,,,1124995.696
United Kingdom,2005,,84721.1287,,,1093331.265
United Kingdom,2006,,76577.8367,,,1035324.544
United Kingdom,2007,,76575.10025,,,1046816.644
United Kingdom,2008,,71788.83608,,,1087028.071
United Kingdom,2009,,68198.54672,,,1013596.695
United Kingdom,2010,,62961.61428,,,1094365.595
United Kingdom,2011,,51972.42535,,,910205.7412
United Kingdom,2012,,44560.80743,,,854430.2116
United Kingdom,2013,,41100.80103,,,848063.939
United Kingdom,2014,,40327.75308,,,778394.5274
United Kingdom,2015,,45698.12053,,,796778.6007
United Kingdom,2016,,47872.12027,,,896526.6293
