Entity,Year,Oil & Gas Employees (US Bureau of Labor Statistics (2017)),Rig Count (US Bureau of Labor Statistics (2017))
United States,1975,150.7166667,1658
United States,1976,156.5083333,1658
United States,1977,164.9583333,2002
United States,1978,176.9583333,2259
United States,1979,191.9916667,2177
United States,1980,218.5333333,2910
United States,1981,253.1166667,3969
United States,1982,264.6083333,3117
United States,1983,255.675,2229
United States,1984,251.9666667,2429
United States,1985,244.7416667,1976
United States,1986,216.5916667,970
United States,1987,197.9916667,937
United States,1988,194.5083333,937
United States,1989,190.9583333,870
United States,1990,190.275,1008
United States,1991,191,862
United States,1992,182.0833333,718
United States,1993,170.8166667,753
United States,1994,162.425,774
United States,1995,151.7583333,724
United States,1996,146.9833333,777
United States,1997,144.0666667,944
United States,1998,140.7333333,829
United States,1999,131.2333333,622
United States,2000,124.9083333,916
United States,2001,123.775,1155
United States,2002,121.9583333,831
United States,2003,120.1083333,1032
United States,2004,123.3,1190
United States,2005,125.7416667,1380
United States,2006,134.6,1648
United States,2007,146.1416667,1767
United States,2008,160.3916667,1878
United States,2009,159.9083333,1086
United States,2010,158.85,1541
United States,2011,172.075,1875
United States,2012,187.2083333,1919
United States,2013,193.425,1761
United States,2014,197.525,1862
United States,2015,193.4833333,977
United States,2016,180.1083333,510
United States,2017,178.55,816
