Entity,Year,Coastal population,Per capita waste generation rate,Share of plastics in waste stream,Share of plastic inadequately managed,Municipal waste generated,Plastic waste generated,Inadequately managed plastic waste,Plastic waste littered,Per capita mismanaged plastic waste,Total mismanaged plastic waste in 2010,Total mismanaged plastic waste in 2025,Per capita plastic waste (kg/person/day)
Albania,2010,2530533,0.77,,45,,174392,,3488,0.032,29705,63051,0.069
Algeria,2010,16556580,1.2,,58,,2374214,,47484,0.086,520555,1017444,0.144
Angola,2010,3790041,0.48,,71,,235589,,4712,0.045,62528,136770,0.062
Anguilla,2010,14561,2.1,,2,,3654,,73,0.01,52,73,0.252
Antigua and Barbuda,2010,66843,5.5,,6,,43933,,879,0.051,1253,1385,0.660
Argentina,2010,16449245,1.22,,12,,3000178,,60004,0.026,157777,320197,0.183
Aruba,2010,137910,2.1,,1,,34609,,692,0.007,372,476,0.252
Australia,2010,17235954,2.23,,0,,1902591,,38052,0.002,13889,24653,0.112
Bahamas,2010,341145,3.25,,1,,132492,,2650,0.011,1333,1718,0.390
Bahrain,2010,743574,1.1,,10,,97743,,1955,0.016,4376,9915,0.132
Bangladesh,2010,70874124,0.43,,87,,2422832,,48457,0.03,787327,2210230,0.034
Barbados,2010,276784,4.75,,4,,157110,,3142,0.034,3483,3719,0.570
Belgium,2010,4747957,1.33,,0,,375730,,7515,0.002,2743,5739,0.080
Belize,2010,202429,2.87,,29,,34568,,691,0.053,3892,6042,0.172
Benin,2010,3235418,0.54,,83,,138896,,2778,0.036,43015,119467,0.043
Bermuda,2010,66966,2.1,,0,,16805,,336,0.005,123,173,0.252
Bosnia and Herzegovina,2010,585582,1.2,,40,,83972,,1679,0.061,12955,20201,0.144
Brazil,2010,74696771,1.03,,9,,12271559,,245431,0.017,471404,954198,0.165
British Virgin Islands,2010,29674,2.1,,0,,7447,,149,0.005,55,78,0.252
Brunei,2010,359871,0.87,,1,,9236,,185,0.001,93,341,0.026
Bulgaria,2010,1002695,1.28,,31,,153372,,3067,0.051,18739,25770,0.154
Cambodia,2010,1391254,0.6,,87,,91405,,1828,0.058,29686,62834,0.066
Cameroon,2010,1986723,0.77,,81,,91022,,1820,0.038,27713,71863,0.046
Canada,2010,11846863,2.33,,0,,1090326,,21807,0.002,7959,14668,0.093
Cape Verde,2010,522245,0.5,,74,,33815,,676,0.049,9347,18475,0.065
Cayman Islands,2010,51864,2.1,,0,,13015,,260,0.005,95,134,0.252
