Entity,Year,Domestic plastic waste generated (tonnes),Imported recycled waste (tonnes),Total waste to manage (tonnes),Share of plastic waste imported (%),Displaced plastic waste - 100% ban (tonnes),Displaced plastic waste - 75% ban (tonnes),Displaced plastic waste - 50% ban (tonnes)
China,2010,59092770,8009674,,,,,
China,2011,59357760,8384190,,,,,
China,2012,59666915,8877767,,,,,
China,2013,59931905,7881304,,,,,
China,2014,60241060,8254247,,,,,
China,2015,60550215,7354229,,,,,
China,2016,60903535,7347176,,,,,
China,2018,,,,,15809461,11857096,7904731
China,2020,,,,,31618923,23714192,15809461
China,2025,,,,,71142577,53356933,35571289
China,2030,,,,,110666231,82999673,55333116
