Entity,Year,Plastic waste generated (% global total),Mismanaged waste (% global total),Mismanaged waste in 2025 (% global total)
Albania,2010,,0.0933,0.0913
Algeria,2010,,1.6347,1.4729
Angola,2010,,0.1964,0.1980
Anguilla,2010,,0.0002,0.0001
Antigua and Barbuda,2010,,0.0039,0.0020
Argentina,2010,,0.4955,0.4635
Aruba,2010,,0.0012,0.0007
Australia,2010,,0.0436,0.0357
Bahamas,2010,,0.0042,0.0025
Bahrain,2010,,0.0137,0.0144
Bangladesh,2010,,2.4725,3.1996
Barbados,2010,,0.0109,0.0054
Belgium,2010,,0.0086,0.0083
Belize,2010,,0.0122,0.0087
Benin,2010,,0.1351,0.1729
Bermuda,2010,,0.0004,0.0003
Bosnia and Herzegovina,2010,,0.0407,0.0292
Brazil,2010,,1.4804,1.3813
British Virgin Islands,2010,,0.0002,0.0001
Brunei,2010,,0.0003,0.0005
Bulgaria,2010,,0.0588,0.0373
Cambodia,2010,,0.0932,0.0910
Cameroon,2010,,0.0870,0.1040
Canada,2010,,0.0250,0.0212
Cape Verde,2010,,0.0294,0.0267
Cayman Islands,2010,,0.0003,0.0002
Channel Islands,2010,,0.0009,0.0005
Chile,2010,,0.0683,0.0616
China,2010,,27.6966,25.7893
Christmas Island,2010,,0.0000,0.0000
Cocos Islands,2010,,0.0000,0.0000
Colombia,2010,,0.2895,0.2605
Comoros,2010,,0.1822,0.1460
Congo,2010,,0.0527,0.0577
Cook Islands,2010,,0.0013,0.0011
Costa Rica,2010,,0.1322,0.1099
Cote d'Ivoire,2010,,0.6110,0.7776
Croatia,2010,,0.0517,0.0284
Cuba,2010,,0.2846,0.2612
Curacao,2010,,0.0008,0.0005
Cyprus,2010,,0.0057,0.0038
Democratic Republic of Congo,2010,,0.0478,0.0629
Denmark,2010,,0.0056,0.0061
Djibouti,2010,,0.0544,0.0660
Dominica,2010,,0.0025,0.0021
Dominican Republic,2010,,0.3713,0.3310
Ecuador,2010,,0.3435,0.3055
Egypt,2010,,3.0367,2.8047
El Salvador,2010,,0.3729,0.3284
Equatorial Guinea,2010,,0.0188,0.0204
Eritrea,2010,,0.0511,0.0629
Estonia,2010,,0.0188,0.0121
Faeroe Islands,2010,,0.0003,0.0002
Falkland Islands,2010,,0.0000,0.0000
Fiji,2010,,0.1547,0.1028
Finland,2010,,0.0157,0.0093
France,2010,,0.0757,0.0502
French Guiana,2010,,0.0074,0.0081
French Polynesia,2010,,0.0040,0.0026
Gabon,2010,,0.0191,0.0224
Gambia,2010,,0.0616,0.0774
Georgia,2010,,0.0454,0.0355
Germany,2010,,0.0981,0.0482
Ghana,2010,,0.2876,0.4706
Gibraltar,2010,,0.0002,0.0001
Greece,2010,,0.0447,0.0270
Greenland,2010,,0.0003,0.0002
Grenada,2010,,0.0071,0.0035
Guadeloupe,2010,,0.0206,0.0167
Guam,2010,,0.0012,0.0008
Guatemala,2010,,0.2875,0.2283
Guernsey,2010,,0.0003,0.0002
Guinea,2010,,0.0581,0.0867
Guinea-Bissau,2010,,0.0636,0.0752
Guyana,2010,,0.1319,0.0523
Haiti,2010,,0.4628,0.4693
Honduras,2010,,0.3003,0.2738
Hong Kong,2010,,0.0895,0.0544
Iceland,2010,,0.0019,0.0013
India,2010,,1.8836,4.1711
Indonesia,2010,,10.1019,10.7345
Iran,2010,,0.7769,0.6660
Iraq,2010,,0.0489,0.0690
Ireland,2010,,0.0368,0.0203
Israel,2010,,0.0597,0.0408
Italy,2010,,0.1029,0.0652
Jamaica,2010,,0.0315,0.0862
Japan,2010,,0.4494,0.2566
Jordan,2010,,0.0055,0.0043
Kenya,2010,,0.0712,0.1261
Kiribati,2010,,0.0096,0.0101
Kuwait,2010,,0.0361,0.0195
Latvia,2010,,0.0323,0.0241
Lebanon,2010,,0.1502,0.1474
Liberia,2010,,0.1781,0.2067
Libya,2010,,0.1657,0.1485
Lithuania,2010,,0.0109,0.0079
Macao,2010,,0.0022,0.0017
Madagascar,2010,,0.1084,0.2571
Malaysia,2010,,2.9419,2.5565
Maldives,2010,,0.0988,0.0581
Malta,2010,,0.0082,0.0054
Marshall Islands,2010,,0.0100,0.0083
Martinique,2010,,0.0024,0.0014
Mauritania,2010,,0.0435,0.0575
Mauritius,2010,,0.1760,0.1059
Mexico,2010,,0.3182,0.3379
Micronesia (country),2010,,0.0151,0.0155
Monaco,2010,,0.0002,0.0001
Montenegro,2010,,0.0139,0.0105
Montserrat,2010,,0.0001,0.0001
Morocco,2010,,0.9739,1.0229
