Entity,Year,"Political participation (How Was Life, OECD (2014))","Political competition (How Was Life, OECD (2014))","Index of Democracy (How Was Life, OECD (2014))","Polity2 (How Was Life, OECD (2014))"
East Asia,1820,0,0,0,
East Asia,1821,0,0,0,
East Asia,1822,0,0,0,
East Asia,1823,0,0,0,
East Asia,1824,0,0,0,
East Asia,1825,0,0,0,
East Asia,1826,0,0,0,
East Asia,1827,0,0,0,
East Asia,1828,0,0,0,
East Asia,1829,0,0,0,
East Asia,1830,0,0,0,
East Asia,1831,0,0,0,
East Asia,1832,0,0,0,
East Asia,1833,0,0,0,
East Asia,1834,0,0,0,
East Asia,1835,0,0,0,
East Asia,1836,0,0,0,
East Asia,1837,0,0,0,
East Asia,1838,0,0,0,
East Asia,1839,0,0,0,
East Asia,1840,0,0,0,
East Asia,1841,0,0,0,
East Asia,1842,0,0,0,
East Asia,1843,0,0,0,
East Asia,1844,0,0,0,
East Asia,1845,0,0,0,
East Asia,1846,0,0,0,
East Asia,1847,0,0,0,
East Asia,1848,0,0,0,
East Asia,1849,0,0,0,
East Asia,1850,0,0,0,
East Asia,1851,0,0,0,
East Asia,1852,0,0,0,
East Asia,1853,0,0,0,
East Asia,1854,0,0,0,
East Asia,1855,0,0,0,
East Asia,1856,0,0,0,
East Asia,1857,0,0,0,
East Asia,1858,0,0,0,
East Asia,1859,0,0,0,
East Asia,1860,0,0,0,
East Asia,1861,0,0,0,
East Asia,1862,0,0,0,
East Asia,1863,0,0,0,
East Asia,1864,0,0,0,
East Asia,1865,0,0,0,
East Asia,1866,0,0,0,
East Asia,1867,0,0,0,
East Asia,1868,0,0,0,
East Asia,1869,0,0,0,
East Asia,1870,0,0,0,
East Asia,1871,0,0,0,
East Asia,1872,0,0,0,
East Asia,1873,0,0,0,
East Asia,1874,0,0,0,
East Asia,1875,0,0,0,
East Asia,1876,0,0,0,
East Asia,1877,0,0,0,
East Asia,1878,0,0,0,
East Asia,1879,0,0,0,
East Asia,1880,0,0,0,
East Asia,1881,0,0,0,
East Asia,1882,0,0,0,
East Asia,1883,0,0,0,
East Asia,1884,0,0,0,
East Asia,1885,0,0,0,
East Asia,1886,0,0,0,
East Asia,1887,0,0,0,
East Asia,1888,0,0,0,
East Asia,1889,0,0,0,
East Asia,1890,.050000001,2.7,.01402495,
East Asia,1891,.050000001,2.7,.014086663,
East Asia,1892,.050000001,2.0999999,.010375643,
East Asia,1893,.050000001,2.0999999,.010421234,
East Asia,1894,.050000001,2.0999999,.010466993,
East Asia,1895,.050000001,2.0999999,.01051292,
East Asia,1896,.050000001,2.0999999,.010559015,
East Asia,1897,.050000001,2.0999999,.01060528,
East Asia,1898,.039999999,1.6,.0077467011,
East Asia,1899,.039999999,1.7,.0077805952,
East Asia,1900,.039999999,1.7,.0078146122,
East Asia,1901,.050000001,1.7,.0078584757,
East Asia,1902,.090000004,2.5,.022719843,
East Asia,1903,.079999998,2.4000001,.020860473,
East Asia,1904,.07,2.5,.01698163,
East Asia,1905,.07,2.5,.017076666,
East Asia,1906,.07,2.5,.017172163,
East Asia,1907,.07,2.5,.017268123,
East Asia,1908,.14,2.4000001,.032686204,
East Asia,1909,.14,2.4000001,.032868583,
East Asia,1910,.14,2.4000001,.033051834,
East Asia,1911,.14,2.4000001,.033036359,
East Asia,1912,.12,24.1,.028893249,
East Asia,1913,.12,43.599998,.028879665,
East Asia,1914,.12,2.4000001,.02886606,
East Asia,1915,.13,3.0999999,.039156877,
East Asia,1916,.13,3.0999999,.039138362,
East Asia,1917,.11,2.9000001,.031913534,
East Asia,1918,.11,2.9000001,.031898387,
East Asia,1919,.11,2.9000001,.031883214,
East Asia,1920,.25,2,.048316032,
East Asia,1921,.25,2,.048757896,
East Asia,1922,.25,2,.049203049,
East Asia,1923,.25,2.0999999,.049651504,
East Asia,1924,.28,3.5999999,.092744343,
East Asia,1925,.28,3.5999999,.093586728,
East Asia,1926,.28,3.5999999,.094435275,
East Asia,1927,.28999999,3.7,.09528999,
East Asia,1928,.89999998,2.9000001,.23871946,
East Asia,1929,.91000003,3,.24087229,
East Asia,1930,.93000001,2.3,.19015674,
