Entity,Year,Population Total,Population younger than 5,Population younger than 15,PopulationTotal_SSP2,PopulationUnder5_SSP2,PopulationUnder15_SSP2,PopulationTotal_SSP2_FT,PopulationUnder5_SSP2_FT,PopulationUnder15_SSP2_FT,PopulationTotal_SSP2_CER,PopulationUnder5_SSP2_CER,PopulationUnder15_SSP2_CER
Africa,1970,368002720,66142688,163661984,368002720,,163661984,368002720,,163661984,368002720,,163661984
Africa,1975,420166976,76001744,188124192,420166976,,188124192,420166976,,188124192,420166976,,188124192
Africa,1980,482569664,87114872,216124128,482569664,,216124112,482569664,,216124112,482569664,,216124112
Africa,1985,553231936,99005264,248772912,553231936,,248772896,553231936,,248772896,553231936,,248772896
Africa,1990,634977088,109836240,282240096,634977088,,282240096,634977088,,282240096,634977088,,282240096
Africa,1995,720581760,118923888,312818272,720581760,,312818272,720581760,,312818272,720581760,,312818272
Africa,2000,810706688,129054480,342407360,810706752,,342407360,810706752,,342407360,810706752,,342407360
Africa,2005,910590464,142432656,374806016,910590464,,374806016,910590464,,374806016,910590464,,374806016
Africa,2010,1021612736,155237904,411556928,1021612672,,411556928,1021612992,,411556928,1021612992,,411556928
Africa,2015,1141314304,165171616,448425408,1141314304,,448425408,1137929216,,445063776,1143920128,,451055040
Africa,2020,1267694208,174121296,480958592,1267694208,,480958592,1255195136,,468199520,1276558592,,489995040
Africa,2025,1396670464,181192992,507724352,1396670336,,507724384,1370687104,,480809280,1414988032,,526420352
Africa,2030,1526196480,186477568,529410208,1526196480,,529410240,1483785472,,488443936,1557408000,,559410816
Africa,2035,1654855168,191071952,546841344,1654855168,,546841344,1593405312,,494317376,1702264064,,588111872
Africa,2040,1781015424,194245152,560525056,1781015424,,560525056,1697637504,,497518208,1848027392,,613617600
Africa,2045,1902342144,195550160,570194816,1902342144,,570194816,1793916672,,496262944,1992368384,,635450688
Africa,2050,2017273856,195317904,575264960,2017273856,,575264960,1880740480,,489731008,2133191040,,652689920
Africa,2055,2121754112,191028304,573139264,2121753984,,573139264,1957467648,,479123968,2268103424,,664246272
Africa,2060,2215744256,186634688,565429952,2215744256,,565429952,2023654400,,466069792,2395619584,,670120704
Africa,2065,2300922368,182913872,554237696,2300922368,,554237696,2079852800,,451727296,2516241408,,671518848
Africa,2070,2376477184,178779200,543082304,2376477184,,543082240,2125276800,,436503936,2629522688,,670643200
Africa,2075,2441858304,173852144,531237120,2441858304,,531237152,2159811072,,420595520,2735471872,,668576896
Africa,2080,2497132800,168494528,517601152,2497132800,,517601152,2183876608,,404278880,2834258944,,665529600
Africa,2085,2542305536,162837088,502304256,2542305536,,502304256,2197915648,,387858016,2925744896,,661272192
Africa,2090,2577286656,156617936,485611200,2577286656,,485611200,2202706176,,371644896,3010143232,,655936128
Africa,2095,2603044352,151170416,468737984,2603044608,,468737984,2198896384,,355708704,3087248896,,649705280
Africa,2100,2620471808,145960448,452220736,2620471808,,452220704,2187603200,,340000352,3157225728,,642639872
Asia,1970,2120421760,335645760,854652224,2120421760,,854652160,2120421760,,854652160,2120421760,,854652160
Asia,1975,2376965376,346971296,942393792,2376965376,,942393792,2376965376,,942393792,2376965376,,942393792
Asia,1980,2619764224,334594912,989771520,2619764224,,989771520,2619764224,,989771520,2619764224,,989771520
Asia,1985,2869767424,363627936,1022557696,2869767424,,1022557696,2869767424,,1022557696,2869767424,,1022557696
Asia,1990,3179238400,394989824,1073736960,3179238400,,1073736960,3179238400,,1073736960,3179238400,,1073736960
Asia,1995,3449278720,384511040,1125304192,3449278720,,1125304192,3449278720,,1125304192,3449278720,,1125304192
Asia,2000,3697089280,370875520,1134165888,3697089280,,1134165888,3697089280,,1134165888,3697089280,,1134165888
Asia,2005,3922263552,357533312,1098881408,3922263808,,1098881408,3922263808,,1098881408,3922263808,,1098881408
Asia,2010,4141036032,359396768,1076098176,4141036032,,1076098176,4141036288,,1076098176,4141036288,,1076098176
Asia,2015,4344921600,350921120,1058224960,4344922112,,1058224960,4335633920,,1048512960,4350533632,,1063433856
Asia,2020,4531746304,342920160,1044372736,4531745792,,1044372736,4504892928,,1016215040,4551313408,,1063472128
Asia,2025,4693511168,329315968,1015372544,4693511168,,1015372544,4647044608,,966250048,4730967552,,1052311296
Asia,2030,4828027392,315260896,980749504,4828026880,,980749440,4761824256,,919933952,4886997504,,1034675584
Asia,2035,4937270784,305250880,944049600,4937270784,,944049600,4848458752,,876642048,5019680768,,1008416448
Asia,2040,5020654592,295257344,910803648,5020655104,,910803712,4906186240,,835628544,5130748928,,986000960
Asia,2045,5077730816,284251328,880450944,5077730816,,880450944,4935396864,,794947520,5220887040,,968410432
Asia,2050,5106590208,270915488,846658432,5106590720,,846658432,4936994816,,753593344,5288710144,,951677056
Asia,2055,5108270592,258889424,810746496,5108270592,,810746496,4911795712,,712676288,5332366336,,932122304
Asia,2060,5082706432,246440720,773324992,5082706432,,773324992,4861467136,,673786880,5352292352,,909902720
Asia,2065,5035232256,235488768,738273792,5035232256,,738273792,4790462976,,637898624,5353512448,,888180096
Asia,2070,4971158528,226579152,706326592,4971158528,,706326592,4701896192,,605086848,5340538368,,869508224
Asia,2075,4892131328,217121808,677323200,4892130816,,677323264,4597009408,,574598848,5315886080,,853603712
Asia,2080,4799282176,206789216,648898112,4799282176,,648898112,4477037568,,545543040,5281281536,,838426112
Asia,2085,4695324672,196105168,618676544,4695324672,,618676544,4345406976,,517447936,5239598592,,822377472
Asia,2090,4584995328,186523568,588314432,4584994816,,588314432,4207162624,,490528000,5194718208,,805618048
Asia,2095,4470256640,177490544,559228800,4470257152,,559228800,4065502976,,465260288,5148381184,,789320064
Asia,2100,4355246592,170577760,533892736,4355246592,,533892736,3924136704,,441839232,5102760448,,774363648
Europe,1970,655663680,52722120,166128416,655663680,,166128416,655663680,,166128416,655663680,,166128416
Europe,1975,675892352,51237800,160373728,675892352,,160373728,675892352,,160373728,675892352,,160373728
Europe,1980,692620608,49614232,153564320,692620608,,153564336,692620608,,153564336,692620608,,153564336
Europe,1985,689756736,49438260,150282048,689756736,,150282048,689756736,,150282048,689756736,,150282048
Europe,1990,720213760,48136832,147575264,720213760,,147575264,720213760,,147575264,720213760,,147575264
Europe,1995,727122112,41337912,140214352,727122048,,140214352,727122048,,140214352,727122048,,140214352
Europe,2000,726764992,36816620,127606144,726764992,,127606144,726764992,,127606144,726764992,,127606144
Europe,2005,730398464,36827488,115854240,730398528,,115854240,730398528,,115854240,730398528,,115854240
Europe,2010,737849088,39649592,113936784,737849088,,113936776,737849344,,113936776,737849344,,113936776
Europe,2015,743836160,39102968,116270280,743836160,,116270280,743428608,,115985200,744014528,,116580160
Europe,2020,748064192,37892200,117411800,748064192,,117411792,746673920,,116211664,748731008,,118320176
Europe,2025,751149504,36221592,113948848,751149504,,113948832,748441920,,111482864,752464448,,115620816
Europe,2030,753106176,34914192,109785120,753106176,,109785120,748897984,,106140160,755113792,,111944608
Europe,2035,754281408,34581272,106485296,754281344,,106485288,748599552,,102332368,757185792,,109028512
Europe,2040,755060544,35067328,105330832,755060544,,105330832,747847360,,100992416,759191040,,108385920
Europe,2045,755243968,35360840,105769408,755244032,,105769408,746229888,,101198432,760943296,,109588528
Europe,2050,754421824,34995992,106167568,754421888,,106167552,743230656,,100971456,761992512,,110822720
Europe,2055,752490112,34230320,105309904,752490112,,105309904,738873792,,99270000,762239104,,110779776
Europe,2060,749805248,33561952,103488816,749805248,,103488816,733682752,,96746408,762037120,,109752208
Europe,2065,745833344,33218240,101634168,745833344,,101634168,727259456,,94495024,760779136,,108679632
Europe,2070,741061376,32990940,100291360,741061376,,100291360,720101376,,92953128,758964800,,108132848
Europe,2075,735774272,32603110,99237992,735774336,,99237992,712441088,,91715672,756891136,,107910208
Europe,2080,729936448,31916350,97846240,729936448,,97846240,704173056,,90106576,754512576,,107391552
Europe,2085,723620672,31038860,95806168,723620672,,95806168,695350528,,87845392,751874624,,106198576
Europe,2090,716939584,30179650,93298256,716939584,,93298256,686136128,,85184408,749040128,,104457424
Europe,2095,709922304,29436960,90740064,709922304,,90740064,676634240,,82578040,745985344,,102586800
