Entity,Year,"Poverty headcount ratio at $1.90 a day (2011 PPP) by country, income group and region (World Bank (WDI) (2017))","Poverty headcount ratio at $3.10 a day (2011 PPP) by country, income group and region (World Bank (WDI) (2017))","Poverty gap at $1.90 a day (2011 PPP) by country, income group and region (World Bank (WDI) (2017))","Poverty gap at $3.10 a day (2011 PPP) by country, income group and region (World Bank (WDI) (2017))"
Albania,1996,1.1,,,
Albania,2002,2.35,,,
Albania,2005,1.12,,,
Albania,2008,0.37,,,
Albania,2012,1.06,,,
Angola,2000,32.28,,,
Angola,2008,30.13,,,
Argentina,1986,0,,,
Argentina,1987,0,,,
Argentina,1991,1.1,,,
Argentina,1992,2.05,,,
Argentina,1993,2.42,,,
Argentina,1994,2.28,,,
Argentina,1995,4.11,,,
Argentina,1996,4.63,,,
Argentina,1997,4.14,,,
Argentina,1998,4.59,,,
Argentina,1999,4.78,,,
Argentina,2000,5.7,,,
Argentina,2001,9.42,,,
Argentina,2002,13.99,,,
Argentina,2003,9.79,,,
Argentina,2004,7.09,,,
Argentina,2005,5.37,,,
Argentina,2006,4.12,,,
Argentina,2007,3.49,,,
Argentina,2008,2.97,,,
Argentina,2009,3.05,,,
Argentina,2010,2.05,,,
Argentina,2011,1.53,,,
Argentina,2012,1.63,,,
Argentina,2013,1.75,,,
Argentina,2014,1.71,,,
Armenia,1996,17.9,,,
Armenia,1999,16.88,,,
Armenia,2001,19.33,,,
Armenia,2002,15.06,,,
Armenia,2003,11.36,,,
Armenia,2004,7.93,,,
Armenia,2005,4.45,,,
Armenia,2006,3.3,,,
Armenia,2007,3.57,,,
Armenia,2008,1.49,,,
Armenia,2009,1.59,,,
Armenia,2010,2.54,,,
Armenia,2011,2.7,,,
Armenia,2012,1.74,,,
Armenia,2013,2.44,,,
Armenia,2014,2.31,,,
Azerbaijan,1995,7.32,,,
Azerbaijan,2001,2.71,,,
Azerbaijan,2002,0,,,
Azerbaijan,2003,0,,,
Azerbaijan,2004,0,,,
Azerbaijan,2005,0,,,
Azerbaijan,2008,0.49,,,
Bangladesh,1983,38.48,,,
Bangladesh,1985,34.57,,,
Bangladesh,1988,43.9,,,
Bangladesh,1991,44.19,,,
Bangladesh,1995,35.08,,,
Bangladesh,2000,33.74,,,
Bangladesh,2005,24.51,,,
Bangladesh,2010,18.52,,,
Belarus,1988,0.15,,,
Belarus,1993,0.09,,,
Belarus,1995,0.7,,,
Belarus,1998,11.33,,,
Belarus,1999,10.25,,,
Belarus,2000,7.11,,,
Belarus,2001,3.15,,,
Belarus,2002,2.03,,,
Belarus,2003,1.4,,,
Belarus,2004,0.32,,,
Belarus,2005,0.37,,,
Belarus,2006,0.11,,,
Belarus,2007,0.08,,,
Belarus,2008,0,,,
Belarus,2009,0.03,,,
Belarus,2010,0,,,
Belarus,2011,0,,,
Belarus,2012,0,,,
Belarus,2013,0,,,
Belarus,2014,0,,,
Belize,1993,10.09,,,
Belize,1994,9.75,,,
Belize,1995,12.29,,,
Belize,1996,12.67,,,
Belize,1997,16.45,,,
Belize,1998,14.88,,,
Belize,1999,13.92,,,
Benin,2003,48.85,,,
Benin,2011,53.11,,,
Bhutan,2003,35.22,,,
Bhutan,2007,7.95,,,
Bhutan,2012,2.17,,,
Bolivia,1990,8.57,,,
Bolivia,1992,15.24,,,
Bolivia,1997,19.26,,,
Bolivia,1999,25.3,,,
Bolivia,2000,29.67,,,
Bolivia,2001,23.67,,,
Bolivia,2002,24.93,,,
Bolivia,2004,13.66,,,
Bolivia,2005,20.38,,,
Bolivia,2006,17.9,,,
Bolivia,2007,13.9,,,
Bolivia,2008,11.91,,,
Bolivia,2009,11.92,,,
Bolivia,2011,7.96,,,
Bolivia,2012,9.07,,,
Bolivia,2013,7.7,,,
Bolivia,2014,6.81,,,
Bosnia and Herzegovina,2001,0.31,,,
Bosnia and Herzegovina,2004,0.18,,,
Bosnia and Herzegovina,2007,0.06,,,
Bosnia and Herzegovina,2011,0.07,,,
Botswana,1985,42.56,,,
Botswana,1993,34.82,,,
Botswana,2002,29.75,,,
Botswana,2009,18.24,,,
Brazil,1981,24.32,,,
