Entity,Year,UK (forged) cents/lb (Daniel Sichel (2017)),Mixed (cents/lb) (Daniel Sichel (2017)),Cut (cents/lb) (Daniel Sichel (2017)),PPI wire (cents/lb) (Daniel Sichel (2017)),PPI wire 1974=100 (Daniel Sichel (2017)),"Sears (cents/lb 6d, 2"") (Daniel Sichel (2017))",CPI-U 2010=100 w/RPI splice (Daniel Sichel (2017)),"Matched Model, Real price (cents/nail 2010$) (Daniel Sichel (2017))",UK (forged) real (Daniel Sichel (2017)),Mixed (cents/lb) real (Daniel Sichel (2017)),Cut (cents/lb) real (Daniel Sichel (2017)),PPI wire (cents/lb) real (Daniel Sichel (2017)),Count per pound for 2" nails (Daniel Sichel (2017)),UK (forged) (cents/nail) real (Daniel Sichel (2017)),Mixed (cents/nail) real (Daniel Sichel (2017)),Cut (cents/nail) real (Daniel Sichel (2017)),PPI wire (cents/nail) real (Daniel Sichel (2017))
World,1695,6.84,,,,,,5.7,1.54,120,,,,,1.411764706,,,
World,1696,8.06,,,,,,5.74,1.81,140.4181185,,,,,1.651977864,,,
World,1697,7.17,,,,,,6.07,1.52,118.121911,,,,,1.389669542,,,
World,1698,7.06,,,,,,6.07,1.5,116.3097199,,,,,1.368349646,,,
World,1699,6.98,,,,,,5.58,1.61,125.0896057,,,,,1.47164242,,,
World,1700,6.98,,,,,,4.73,1.9,147.5687104,,,,,1.736102475,,,
World,1701,6.98,,,,,,4.39,2.04,158.9977221,,,,,1.870561436,,,
World,1702,6.76,,,,,,4.23,2.06,159.8108747,,,,,1.880127938,,,
World,1703,6.98,,,,,,4.53,1.98,154.0838852,,,,,1.812751591,,,
World,1704,6.98,,,,,,4.34,2.07,160.8294931,,,,,1.892111683,,,
World,1705,6.98,,,,,,4.09,2.19,170.6601467,,,,,2.007766432,,,
World,1706,7.45,,,,,,4.12,2.33,180.8252427,,,,,2.127355797,,,
World,1707,7.45,,,,,,4.41,2.17,168.9342404,,,,,1.987461651,,,
World,1708,7.45,,,,,,5.31,1.8,140.3013183,,,,,1.650603744,,,
World,1709,7.45,,,,,,6.01,1.59,123.9600666,,,,,1.458353724,,,
World,1710,7.45,,,,,,5.38,1.78,138.4758364,,,,,1.629127487,,,
World,1711,7.45,,,,,,5.56,1.72,133.9928058,,,,,1.57638595,,,
World,1712,7.45,,,,,,4.82,1.99,154.5643154,,,,,1.81840371,,,
World,1713,7.45,,,,,,5.17,1.85,144.1005803,,,,,1.695300944,,,
World,1714,7.45,,,,,,4.65,2.06,160.2150538,,,,,1.884882985,,,
World,1715,7.45,,,,,,4.82,1.99,154.5643154,,,,,1.81840371,,,
World,1716,7.45,,,,,,4.77,2.01,156.1844864,,,,,1.837464546,,,
World,1717,7.45,,,,,,4.63,2.07,160.9071274,,,,,1.893025029,,,
World,1718,8.38,,,,,,4.38,2.46,191.3242009,,,,,2.250872952,,,
World,1719,8.38,,,,,,4.69,2.3,178.6780384,,,,,2.102094569,,,
World,1720,8.7,,,,,,4.65,2.4,187.0967742,,,,,2.20113852,,,
World,1721,8.38,,,,,,4.46,2.41,187.8923767,,,,,2.210498549,,,
World,1722,8.38,,,,,,4.53,2.38,184.9889625,,,,,2.176340735,,,
World,1723,8.16,,,,,,4.4,2.38,185.4545455,,,,,2.181818182,,,
World,1724,8.38,,,,,,4.62,2.33,181.3852814,,,,,2.133944487,,,
World,1725,8.38,,,,,,5.01,2.15,167.2654691,,,,,1.967829048,,,
World,1726,8.38,,,,,,4.82,2.24,173.8589212,,,,,2.045399072,,,
World,1727,8.38,,,,,,5.39,2,155.4730983,,,,,1.829095274,,,
World,1728,8.38,,,,,,5.54,1.95,151.2635379,,,,,1.779571034,,,
World,1729,7.69,,,,,,4.74,2.09,162.2362869,,,,,1.908662199,,,
World,1730,7.45,,,,,,4.4,2.18,169.3181818,,,,,1.99197861,,,
World,1731,7.45,,,,,,4.1,2.34,181.7073171,,,,,2.137733142,,,
World,1732,8.85,,,,,,4.04,2.81,219.0594059,,,,,2.577169482,,,
World,1733,7.45,,,,,,4.25,2.25,175.2941176,,,,,2.062283737,,,
World,1734,8.26,,,,,,4.51,2.36,183.1485588,,,,,2.154688927,,,
World,1735,8.94,,,,,,4.63,2.48,193.0885529,,,,,2.271630034,,,
World,1736,8.49,,,,,,4.47,2.44,189.9328859,,,,,2.23450454,,,
World,1737,8.7,,,,,,4.39,2.55,198.1776765,,,,,2.331502077,,,
World,1738,8.38,,,,,,4.27,2.53,196.2529274,,,,,2.308857969,,,
World,1739,8.38,,,,,,4.8,2.24,174.5833333,,,,,2.053921569,,,
World,1740,8.38,,,,,,5.37,2.01,156.0521415,,,,,1.835907547,,,
World,1741,8.38,,,,,,4.82,2.24,173.8589212,,,,,2.045399072,,,
World,1742,8.38,,,,,,4.26,2.53,196.713615,,,,,2.314277824,,,
World,1743,8.38,,,,,,3.89,2.77,215.4241645,,,,,2.534401936,,,
