Entity,Year,Public expenditure on health %GDP (OWID extrapolated series),Public expenditure on health %GDP - (Lindert (1994)),Public expenditure on health %GDP - (OECD (1993)),Public expenditure on health %GDP (OECDstat (2016)),Public expenditure on health %GDP (WHO (2017))
Afghanistan,2002,0.55072335,,,,0.55072335
Afghanistan,2003,0.60790041,,,,0.60790041
Afghanistan,2004,0.9694588,,,,0.9694588
Afghanistan,2005,0.80191917,,,,0.80191917
Afghanistan,2006,1.06242003,,,,1.06242003
Afghanistan,2007,0.52213607,,,,0.52213607
Afghanistan,2008,1.38558405,,,,1.38558405
Afghanistan,2009,2.58612678,,,,2.58612678
Afghanistan,2010,2.8553765,,,,2.8553765
Afghanistan,2011,2.08009266,,,,2.08009266
Afghanistan,2012,2.92056601,,,,2.92056601
Afghanistan,2013,2.65039389,,,,2.65039389
Afghanistan,2014,2.93283372,,,,2.93283372
Albania,1995,1.71300446,,,,1.71300446
Albania,1996,1.74619755,,,,1.74619755
Albania,1997,2.0245094,,,,2.0245094
Albania,1998,2.09512776,,,,2.09512776
Albania,1999,2.51017142,,,,2.51017142
Albania,2000,2.25841796,,,,2.25841796
Albania,2001,2.29222402,,,,2.29222402
Albania,2002,2.25632589,,,,2.25632589
Albania,2003,2.25210415,,,,2.25210415
Albania,2004,2.67940487,,,,2.67940487
Albania,2005,2.70645544,,,,2.70645544
Albania,2006,2.57513609,,,,2.57513609
Albania,2007,2.6291711,,,,2.6291711
Albania,2008,2.69389845,,,,2.69389845
Albania,2009,2.83357574,,,,2.83357574
Albania,2010,2.47656803,,,,2.47656803
Albania,2011,2.84917086,,,,2.84917086
Albania,2012,2.7357041,,,,2.7357041
Albania,2013,2.83598424,,,,2.83598424
Albania,2014,2.93637328,,,,2.93637328
Algeria,1995,2.67359436,,,,2.67359436
Algeria,1996,2.50218252,,,,2.50218252
Algeria,1997,2.55336573,,,,2.55336573
Algeria,1998,2.52798038,,,,2.52798038
Algeria,1999,2.38333129,,,,2.38333129
Algeria,2000,2.55856124,,,,2.55856124
Algeria,2001,2.97171746,,,,2.97171746
Algeria,2002,2.85227361,,,,2.85227361
Algeria,2003,2.80223702,,,,2.80223702
Algeria,2004,2.56624807,,,,2.56624807
Algeria,2005,2.28023307,,,,2.28023307
Algeria,2006,2.33485067,,,,2.33485067
Algeria,2007,2.70557079,,,,2.70557079
Algeria,2008,3.06280389,,,,3.06280389
Algeria,2009,3.83796598,,,,3.83796598
Algeria,2010,3.59320852,,,,3.59320852
Algeria,2011,3.77572931,,,,3.77572931
Algeria,2012,4.52025089,,,,4.52025089
Algeria,2013,5.18835905,,,,5.18835905
Algeria,2014,5.24414553,,,,5.24414553
Andorra,1995,3.9826833,,,,3.9826833
Andorra,1996,4.23564722,,,,4.23564722
Andorra,1997,4.29707049,,,,4.29707049
Andorra,1998,5.73758023,,,,5.73758023
Andorra,1999,3.93346564,,,,3.93346564
Andorra,2000,3.97654822,,,,3.97654822
Andorra,2001,3.97976351,,,,3.97976351
Andorra,2002,4.10958904,,,,4.10958904
Andorra,2003,3.94617981,,,,3.94617981
Andorra,2004,3.91626014,,,,3.91626014
Andorra,2005,3.45970885,,,,3.45970885
Andorra,2006,3.56612237,,,,3.56612237
Andorra,2007,4.58632291,,,,4.58632291
Andorra,2008,4.82507082,,,,4.82507082
Andorra,2009,5.03753715,,,,5.03753715
Andorra,2010,6.2420267,,,,6.2420267
Andorra,2011,4.92628931,,,,4.92628931
Andorra,2012,5.74703988,,,,5.74703988
Andorra,2013,9.6923568,,,,9.6923568
Andorra,2014,6.341446,,,,6.341446
Angola,1995,4.65911821,,,,4.65911821
Angola,1996,1.73978177,,,,1.73978177
Angola,1997,2.01921944,,,,2.01921944
Angola,1998,1.41470539,,,,1.41470539
Angola,1999,2.13179778,,,,2.13179778
Angola,2000,1.67721647,,,,1.67721647
Angola,2001,2.81240339,,,,2.81240339
Angola,2002,1.68521754,,,,1.68521754
Angola,2003,2.04436936,,,,2.04436936
Angola,2004,2.40784052,,,,2.40784052
Angola,2005,2.02464638,,,,2.02464638
Angola,2006,3.02243534,,,,3.02243534
Angola,2007,2.21376402,,,,2.21376402
Angola,2008,2.71633445,,,,2.71633445
Angola,2009,2.66391721,,,,2.66391721
Angola,2010,2.06125466,,,,2.06125466
Angola,2011,2.15509427,,,,2.15509427
Angola,2012,2.1373165,,,,2.1373165
Angola,2013,3.08040839,,,,3.08040839
Angola,2014,2.1249122,,,,2.1249122
Antigua and Barbuda,1995,2.74634456,,,,2.74634456
Antigua and Barbuda,1996,2.50580046,,,,2.50580046
Antigua and Barbuda,1997,2.5974026,,,,2.5974026
Antigua and Barbuda,1998,2.67206478,,,,2.67206478
Antigua and Barbuda,1999,2.74420005,,,,2.74420005
Antigua and Barbuda,2000,2.78780548,,,,2.78780548
Antigua and Barbuda,2001,2.94975995,,,,2.94975995
Antigua and Barbuda,2002,2.95023144,,,,2.95023144
Antigua and Barbuda,2003,2.95001301,,,,2.95001301
Antigua and Barbuda,2004,2.67979353,,,,2.67979353
Antigua and Barbuda,2005,2.95009859,,,,2.95009859
Antigua and Barbuda,2006,2.95010588,,,,2.95010588
Antigua and Barbuda,2007,2.95,,,,2.95
Antigua and Barbuda,2008,3.34303139,,,,3.34303139
Antigua and Barbuda,2009,3.34389959,,,,3.34389959
Antigua and Barbuda,2010,3.89354714,,,,3.89354714
Antigua and Barbuda,2011,3.89103956,,,,3.89103956
Antigua and Barbuda,2012,3.65233263,,,,3.65233263
Antigua and Barbuda,2013,3.59259739,,,,3.59259739
Antigua and Barbuda,2014,3.78461068,,,,3.78461068
Argentina,1995,4.96644308,,,,4.96644308
Argentina,1996,4.63164122,,,,4.63164122
Argentina,1997,4.5530443,,,,4.5530443
Argentina,1998,4.62421172,,,,4.62421172
Argentina,1999,5.15231569,,,,5.15231569
Argentina,2000,4.96580358,,,,4.96580358
Argentina,2001,5.06593399,,,,5.06593399
Argentina,2002,4.45294005,,,,4.45294005
Argentina,2003,4.25102319,,,,4.25102319
Argentina,2004,3.52239676,,,,3.52239676
