Entity,Year,Support for nuclear energy (Ipsos MORI (2011)),Opposed to nuclear energy (Ipsos MORI (2011))
Argentina,2011,,72
Australia,2011,,66
Belgium,2011,,60
Brazil,2011,,69
Canada,2011,,63
China,2011,,58
France,2011,,67
Germany,2011,,79
Hungary,2011,,59
India,2011,,39
Indonesia,2011,,67
Italy,2011,,81
Japan,2011,,58
Mexico,2011,,81
Poland,2011,,43
Russia,2011,,62
Saudi Arabia,2011,,58
South Africa,2011,,60
South Korea,2011,,61
Spain,2011,,60
Sweden,2011,,51
Turkey,2011,,71
United Kingdom,2011,,51
United States,2011,,48
World,2011,,62
