Entity,Year,Beef,Hides,Lamb,Pork,Coal,Natural gas,Petroleum,Barley,Corn,Rice,Rye,Wheat,Aluminum,Chromium,Copper,Lead,Manganese,Nickel,Steel,Tin,Zinc,Bauxite,Iron ore,Phosphate,Potash,Sulfur,Gold,Platinum,Silver,Cocoa,Coffee,Cotton,Cottonseed,Palm oil,Peanuts,Rubber,Sugar,Tea,Tobacco,Wool
World,1850,76.80694471,,78.36911985,55.13065906,,,,116.8384226,98.80268838,124.9669749,189.6575143,98.04872698,,,115.8092126,138.6827818,,416.0845443,58.3065494,61.75391103,86.28674721,,,,,,,,,79.91210062,138.9906694,,,117.3051519,,,210.8425933,191.1221759,,
World,1851,78.46539425,,81.92319129,76.30844038,,,,126.4721324,98.94129557,118.7584345,205.8352318,70.05146382,,,118.3098164,137.6863725,,425.0688259,60.0801622,66.32257645,83.36460917,,,,,,,,,78.66895814,120.2754219,,,111.8488529,,,224.0110079,182.4457594,,
World,1852,80.21488969,,81.04817723,92.36371987,,,,143.7136162,106.7651641,132.176235,224.2432444,68.53605593,,,133.5526699,140.1640398,,420.5287049,62.08705263,68.01471031,94.93253774,,,,,,,,,63.19299031,112.3801728,,,114.6061415,,,196.0470169,155.1641505,,
World,1853,100.9155064,,99.46821751,84.03927551,,,,166.8283937,109.2369243,160.0801068,200.9218993,111.9464869,,,159.0627305,189.517575,,370.4138852,67.43880985,90.41955605,153.4867277,,,,,,,,,92.88047956,115.685472,,,146.2216288,,,221.618367,193.1635343,,
World,1854,102.3809524,,91.52542373,67.31146854,,,,166.4530656,118.1766805,166.2162162,146.9032611,152.599007,,,158.7880521,174.3841077,,340.8353808,63.69511544,85.40815277,163.2403515,,,,,,,,,94.58436926,123.1751825,,,174.5454545,,,196.0784314,180.6526807,,
World,1855,101.7615638,,87.25779701,84.30487719,,,,156.7455104,135.8427906,170.6443914,119.3020423,178.457213,,,154.2404229,165.860859,,305.7565632,44.27724041,82.24690541,130.281809,,,,,,,,,91.87550904,116.6932332,,,155.4176611,,,220.9368712,170.4975216,,
World,1856,96.6689839,,88.95624562,86.45023267,,,,188.184438,97.08020591,133.8199513,187.6526826,144.3562611,,,147.6713767,179.8822279,,311.7080292,43.50852749,96.97182477,143.9426099,,,,,,,,,93.66384012,129.5058045,,,151.2408759,,,256.3045656,168.6224967,,
World,1857,96.21749409,,88.06346917,99.91264282,,,,187.2946771,106.9439644,133.9243499,177.4822415,123.6765093,,,150.1248084,169.5358104,,279.7163121,42.27424302,94.92927847,170.0810576,,,,,,,,,85.80632648,128.7582038,,,157.4468085,,,309.4052751,195.2385282,,
World,1858,99.57632176,,88.17382439,80.96384645,,,,164.1307881,110.7463326,104.7619048,220.6937656,93.49119322,,,138.0281191,164.9100755,,245.4135338,44.81705463,87.87163657,154.8199885,,,,,,,,,90.04874453,128.7472026,,,144.6616541,,,264.0129736,196.8768074,,
World,1859,98.58797117,,90.72212642,88.14957185,,,,156.8981915,124.3123092,117.369727,183.3936435,125.2990213,,,136.658113,165.1077819,,242.9776675,44.37222034,99.64040891,124.3400898,,,,,,,,,76.41853754,138.2197388,,,165.2605459,,,245.5505279,218.6994974,,
World,1860,100.9925558,,95.85734113,101.2427438,,,500,171.3739175,107.5652548,140.5707196,193.5643643,132.4284108,,,132.4747014,161.4387201,,242.9776675,44.37222034,97.40965349,119.7091739,,,,,,,,,71.86981507,147.4343881,,,168.9330025,,,253.4715127,219.523446,,
World,1861,95.31615925,,88.85404676,66.8236327,,,468.6346787,159.097382,63.31989147,136.5339578,226.9292148,96.7246951,,,117.1322597,141.9763664,,229.3208431,43.26247459,83.51314429,99.65036749,,,,,,,,,69.54751648,159.4400474,,,155.971897,,,216.7975387,189.0770432,,
World,1862,77.52380952,,74.99695784,46.67284931,,,306.5091127,135.4927954,62.00803321,119.5897436,175.5310245,90.17251897,,,100.2903213,125.8732808,,180.7753846,43.07203992,71.3048578,101.0651068,,,,,,,,,124.1004299,223.4450059,,,130.5435897,,,183.3443942,186.6298488,,
World,1863,65.29326603,,61.21749788,55.06616628,,,354.506925,102.395838,103.1432645,99.42481512,98.71766217,94.19757195,,,79.42409202,100.8434255,,221.2654067,53.00404197,59.09577227,123.5994096,,,,,,,,,134.3566062,245.1258229,,,89.99178307,,,141.6404853,145.8546657,,
World,1864,55.99224588,,49.82360862,83.72356051,,,412.8282903,71.93760987,151.8014365,69.33683519,54.1770409,115.8312809,,,65.68020339,81.5529092,,245.3893631,53.89356567,40.92598875,161.6280841,,,,,,,,,117.0414068,104.8461306,,,66.08010506,,,134.1418511,113.435022,,
World,1865,56.46129256,,55.92039587,104.3803137,,,424.0667803,71.26934386,86.09339772,75.93413553,69.25554098,83.14042896,,,59.07998114,74.91485311,,173.639012,45.86106838,34.54021264,126.3477487,,,,,,,,,132.0971822,100.3437761,,,69.36035465,,,109.1681258,119.445933,,
World,1866,59.18809369,,54.68441978,91.15155691,,,331.1589442,91.70781581,75.55745823,85.76998051,77.27178888,97.95697232,,,59.1549082,78.78350675,,164.3664717,52.28656374,31.93309236,134.8460099,,,,,,,,,93.92941662,89.27851529,,,80.7797271,,,107.857152,118.7900901,,
World,1867,60.81888822,,52.91586885,70.21710563,,,261.7253325,104.9843448,128.8002541,91.28312413,58.59332801,159.7359863,,,55.64851545,81.45880136,,172.9874477,56.11507782,36.36100228,126.8899999,,,,,,,,,77.02491334,83.73078894,,,84.63040446,,,124.6588454,124.8417552,,
World,1868,60.47757274,,51.0614745,94.14306928,,,217.6341718,117.4445695,129.4348645,87.808418,54.28791664,143.580054,,,57.09435987,82.62311852,,135.0130624,52.65020954,41.31808001,132.8592273,,,,,,,,,72.00310122,75.4558071,,,85.92162554,,,129.7248072,132.6690484,,
World,1869,67.48855485,,60.57557834,115.2003681,,,221.715608,112.5402771,109.9045417,79.93943982,75.29602234,97.06847722,,,58.7071042,86.18823416,,171.7244512,51.4244045,57.16542967,144.8081417,,,,,,,,,68.07162148,78.71165949,,,91.86979561,,,144.9881997,127.6926959,,
World,1870,73.54037267,,63.25718497,107.813162,,,186.1517628,103.2411067,121.3739706,83.47826087,103.3932136,88.10217806,,,57.752025,86.49704473,,165.1351779,50.27549321,59.22229484,131.0069612,,,,,,,,,78.81756614,88.06728023,,,91.256917,203.4221599,,151.4066496,128.8456471,,
World,1871,86.75595238,,73.41101695,68.46614368,,,174.4751112,130.2364865,88.39328498,84.54391892,105.251996,118.1572376,,,65.50007149,91.16565006,,181.9459459,48.55755398,67.82953512,116.3259457,,,,,,,,,66.68648434,108.7287105,,,95,221.7741935,,167.1568627,131.7307692,,
World,1872,85.11904762,,78.0720339,58.64471511,,,166.3554475,124.6621622,69.22917756,92.90540541,102.0958084,121.5237987,,,88.28270505,101.1564062,,310.1351351,48.30443033,73.90382185,117.2716851,,,,,,,,,71.59135949,140.0927616,,,97.5,188.5080645,,161.7647059,134.4551282,,
World,1873,93.56321839,,84.44476914,62.87123779,,,130.5625024,166.0344828,67.1369892,91.03448276,106.0289765,116.0568535,,,81.38899438,119.8201723,,540.2482759,52.40416066,68.19957788,139.4867774,,,,,,,,,65.75266172,172.8699975,,,96.96551724,178.8264739,,154.1041244,136.3373121,,
World,1874,89.5315735,,77.48096291,87.61369212,,,96.71504973,174.2753623,127.551727,99.63768116,125.9770314,113.2020466,,,80.42709892,119.2013046,,458.2608696,53.70501299,53.20136153,123.06491,,,,,,,,,69.92480771,187.2449002,,,96.52173913,230.7094437,,153.246661,146.0888146,,
World,1875,100.1834945,,92.06384606,112.7024829,,,100.6844489,160.9022556,126.5048116,85.80827068,115.900905,110.3820155,,,86.619687,125.0722483,,454.0150376,53.75229841,47.31549661,122.8094357,,,,,,,,,69.35591059,175.6701288,,,100.1503759,197.4290565,,150.0073714,149.1734143,,
World,1876,96.99802924,,95.60692321,105.6454747,,,154.1336165,131.8575553,91.22964198,95.28392685,106.3359326,113.8260929,,,82.21336616,123.8122969,,395.8267565,55.04566459,42.68565174,130.1950709,,,,,,,,,80.70381938,184.241566,,,108.2579403,171.8525878,,159.7614599,149.932134,,
World,1877,93.56321839,,93.78976371,83.971802,,,132.1142813,124.729064,94.54140154,108.3743842,97.00480812,144.3082566,,,75.29866147,119.4559772,,257.2610837,56.34723696,40.15213243,110.8876595,,,,,,,,,87.766538,197.8502711,,,116.6502463,152.6330844,,188.6989278,149.3646583,,
World,1878,98.20751465,,97.01856169,60.33558291,,,93.14025811,120.7859359,82.20873239,113.753878,91.5707365,115.0911559,,,72.06254587,101.6846145,,160.3309204,59.14420425,37.80672911,94.19751296,,,,,,,,,95.96756377,169.4736734,,,116.3185109,160.2094939,,165.0546465,150.0092806,,
World,1879,90.19057468,,91.31158747,61.10020435,,,70.64381543,123.8883144,78.66648539,110.3412616,113.2452778,118.1594082,,,67.41334936,92.51006283,,150.204757,56.83267313,45.24411844,97.22109712,,,,,,,,,108.4412239,149.3423276,,,104.0744571,133.0553424,,158.4524606,144.0246069,,
World,1880,95.82912883,,91.88458841,75.5599737,,,77.61286506,133.8042381,80.66506909,101.0090817,122.143201,122.7266401,,,71.45148851,98.47599019,,156.4480323,50.0505408,53.21998677,103.8118381,,,121.9549586,,,,,,96.58458029,145.1010227,,,95.580222,132.4826666,,164.2785066,128.9528836,,
