Entity,Year,Wind,Solar PV,Solar Thermal,Solar PV-Thermal Hybrid,Total solar technologies,Bioenergy,Geothermal,Hydropower,Marine,Other,Total patents,Cumulative patents
China,2000,,,,,,,,,,,883,
China,2001,,,,,,,,,,,1070,
China,2002,,,,,,,,,,,1536,
China,2003,,,,,,,,,,,1716,
China,2004,,,,,,,,,,,2339,
China,2005,,,,,,,,,,,2859,
China,2006,,,,,,,,,,,4919,
China,2007,,,,,,,,,,,6603,
China,2008,,,,,,,,,,,9249,
China,2009,,,,,,,,,,,13186,
China,2010,,,,,,,,,,,16792,
China,2011,,,,,,,,,,,19529,
China,2012,,,,,,,,,,,21190,
China,2013,,,,,,,,,,,20215,
China,2014,,,,,,,,,,,19430,
China,2015,,,,,,,,,,,19647,
China,2016,,,,,,,,,,,6965,
Germany,2000,,,,,,,,,,,1493,
Germany,2001,,,,,,,,,,,1368,
Germany,2002,,,,,,,,,,,1381,
Germany,2003,,,,,,,,,,,1305,
Germany,2004,,,,,,,,,,,1183,
Germany,2005,,,,,,,,,,,1436,
Germany,2006,,,,,,,,,,,1769,
Germany,2007,,,,,,,,,,,2280,
Germany,2008,,,,,,,,,,,2749,
Germany,2009,,,,,,,,,,,3135,
Germany,2010,,,,,,,,,,,3317,
Germany,2011,,,,,,,,,,,3249,
Germany,2012,,,,,,,,,,,2617,
Germany,2013,,,,,,,,,,,1770,
Germany,2014,,,,,,,,,,,1359,
Germany,2015,,,,,,,,,,,448,
Germany,2016,,,,,,,,,,,110,
Japan,2000,,,,,,,,,,,3681,
Japan,2001,,,,,,,,,,,3569,
Japan,2002,,,,,,,,,,,3430,
Japan,2003,,,,,,,,,,,3553,
Japan,2004,,,,,,,,,,,3610,
Japan,2005,,,,,,,,,,,3461,
Japan,2006,,,,,,,,,,,3537,
Japan,2007,,,,,,,,,,,3968,
Japan,2008,,,,,,,,,,,5111,
Japan,2009,,,,,,,,,,,7093,
Japan,2010,,,,,,,,,,,8313,
Japan,2011,,,,,,,,,,,9011,
Japan,2012,,,,,,,,,,,9763,
Japan,2013,,,,,,,,,,,7306,
Japan,2014,,,,,,,,,,,5124,
Japan,2015,,,,,,,,,,,1918,
Japan,2016,,,,,,,,,,,534,
Other,2000,,,,,,,,,,,3777,
Other,2001,,,,,,,,,,,4008,
Other,2002,,,,,,,,,,,4721,
Other,2003,,,,,,,,,,,5211,
Other,2004,,,,,,,,,,,5454,
Other,2005,,,,,,,,,,,6355,
Other,2006,,,,,,,,,,,8203,
Other,2007,,,,,,,,,,,12410,
Other,2008,,,,,,,,,,,16445,
Other,2009,,,,,,,,,,,21080,
Other,2010,,,,,,,,,,,22955,
Other,2011,,,,,,,,,,,23683,
Other,2012,,,,,,,,,,,21518,
Other,2013,,,,,,,,,,,16052,
Other,2014,,,,,,,,,,,12048,
Other,2015,,,,,,,,,,,5615,
Other,2016,,,,,,,,,,,1029,
United States,2000,,,,,,,,,,,1066,
United States,2001,,,,,,,,,,,1495,
United States,2002,,,,,,,,,,,1635,
United States,2003,,,,,,,,,,,1923,
United States,2004,,,,,,,,,,,2599,
United States,2005,,,,,,,,,,,3136,
United States,2006,,,,,,,,,,,3944,
United States,2007,,,,,,,,,,,5511,
United States,2008,,,,,,,,,,,7821,
United States,2009,,,,,,,,,,,10464,
United States,2010,,,,,,,,,,,12593,
United States,2011,,,,,,,,,,,12667,
United States,2012,,,,,,,,,,,11794,
United States,2013,,,,,,,,,,,10454,
United States,2014,,,,,,,,,,,8841,
United States,2015,,,,,,,,,,,4915,
United States,2016,,,,,,,,,,,1822,
World,2000,1885,3060,2100,660,,1879,128,918,235,35,10900,
World,2001,2274,3222,2221,691,,1820,188,819,263,12,11510,
World,2002,2936,3113,2549,614,,2007,234,984,237,29,12703,
World,2003,3185,3616,2416,818,,2090,242,1072,251,18,13708,
World,2004,3248,4024,2808,749,,2323,254,1234,514,31,15185,
World,2005,3685,4749,3028,872,,2844,253,1252,553,11,17247,
World,2006,4254,5816,4396,1182,,4081,352,1594,668,29,22372,
World,2007,6192,8085,5635,1435,,5898,503,2039,924,61,30772,
World,2008,8411,11600,8025,1943,,7128,578,2573,1064,53,41375,
World,2009,11180,17152,10530,2419,,7984,897,3249,1485,62,54958,
World,2010,12741,21844,12312,2911,,8433,726,3396,1533,74,63970,
World,2011,13549,24771,11769,2871,,9021,830,3848,1376,104,68139,
World,2012,12748,24653,11482,2944,,8841,832,3853,1402,127,66882,
World,2013,9820,19967,9932,2792,,7754,749,3255,1360,168,55797,
World,2014,8812,14655,7849,2952,,7167,661,3192,1308,206,46802,
World,2015,5908,9554,5971,2605,,4681,371,2324,821,308,32543,
World,2016,1812,3036,1880,946,,1509,165,729,270,113,10460,
