Entity,Year,"Age-standardized cancer death rate attributed to tobacco (per 100,000)",Age-standardized share of cancer deaths attributed to tobacco
Afghanistan,1990,,19.3
Afghanistan,1995,,19.1
Afghanistan,2000,,18.6
Afghanistan,2005,,18.9
Afghanistan,2006,,19
Afghanistan,2010,,19.4
Afghanistan,2016,,20.3
Albania,1990,,29.3
Albania,1995,,29.4
Albania,2000,,31.8
Albania,2005,,29.7
Albania,2006,,29.3
Albania,2010,,28.1
Albania,2016,,28
Algeria,1990,,15.9
Algeria,1995,,14.5
Algeria,2000,,10
Algeria,2005,,9.3
Algeria,2006,,8.8
Algeria,2010,,7.5
Algeria,2016,,7.4
American Samoa,1990,,24.2
American Samoa,1995,,23.6
American Samoa,2000,,22.6
American Samoa,2005,,22.8
American Samoa,2006,,22.4
American Samoa,2010,,21.6
American Samoa,2016,,22.4
Andorra,1990,,23.2
Andorra,1995,,22.4
Andorra,2000,,22
Andorra,2005,,22.3
Andorra,2006,,22.2
Andorra,2010,,21.8
Andorra,2016,,22.4
Angola,1990,,10.1
Angola,1995,,9.5
Angola,2000,,8.6
Angola,2005,,8.2
Angola,2006,,8.3
Angola,2010,,8.8
Angola,2016,,10.2
Antigua and Barbuda,1990,,8.1
Antigua and Barbuda,1995,,7.5
Antigua and Barbuda,2000,,7.1
Antigua and Barbuda,2005,,6
Antigua and Barbuda,2006,,6.1
Antigua and Barbuda,2010,,5.7
Antigua and Barbuda,2016,,5.2
Argentina,1990,,24.7
Argentina,1995,,24.4
Argentina,2000,,23.5
Argentina,2005,,22.7
Argentina,2006,,22.7
Argentina,2010,,22.4
Argentina,2016,,22
Armenia,1990,,28.7
Armenia,1995,,29.8
Armenia,2000,,29.4
Armenia,2005,,31.5
Armenia,2006,,32.5
Armenia,2010,,32.4
Armenia,2016,,29.2
Australasia,1990,,27.6
Australasia,1995,,26.7
Australasia,2000,,25.6
Australasia,2005,,25
Australasia,2006,,25
Australasia,2010,,24.3
Australasia,2016,,23.3
Australia,1990,,27.3
Australia,1995,,26.6
Australia,2000,,25.6
Australia,2005,,25.1
Australia,2006,,25.1
Australia,2010,,24.4
Australia,2016,,23.5
Austria,1990,,25.2
Austria,1995,,25.2
Austria,2000,,25
Austria,2005,,25.6
Austria,2006,,25.8
Austria,2010,,26.1
Austria,2016,,24.7
Azerbaijan,1990,,25.7
Azerbaijan,1995,,22.9
Azerbaijan,2000,,20.5
Azerbaijan,2005,,20.1
Azerbaijan,2006,,20.5
Azerbaijan,2010,,22.5
Azerbaijan,2016,,22.2
Bahamas,1990,,16
Bahamas,1995,,15.5
Bahamas,2000,,13.7
Bahamas,2005,,12.4
Bahamas,2006,,12
Bahamas,2010,,11.2
Bahamas,2016,,11.1
Bahrain,1990,,33.9
Bahrain,1995,,29.6
Bahrain,2000,,26.6
Bahrain,2005,,25
Bahrain,2006,,24.5
Bahrain,2010,,21.6
Bahrain,2016,,19.3
Bangladesh,1990,,29
Bangladesh,1995,,28.9
Bangladesh,2000,,28.6
Bangladesh,2005,,26.9
Bangladesh,2006,,27.7
Bangladesh,2010,,30.7
Bangladesh,2016,,38.3
Barbados,1990,,8
Barbados,1995,,8.1
Barbados,2000,,6.7
Barbados,2005,,6
Barbados,2006,,6
Barbados,2010,,5.5
Barbados,2016,,5.7
Belarus,1990,,30.3
Belarus,1995,,33
Belarus,2000,,31.1
Belarus,2005,,29.7
Belarus,2006,,29
Belarus,2010,,27.7
Belarus,2016,,25.5
Belgium,1990,,35.4
Belgium,1995,,35.1
Belgium,2000,,34.4
Belgium,2005,,33.9
Belgium,2006,,33.8
Belgium,2010,,34.3
Belgium,2016,,33
Belize,1990,,10.2
Belize,1995,,14.3
Belize,2000,,15.9
Belize,2005,,16.8
Belize,2006,,16.5
Belize,2010,,14.8
Belize,2016,,16
Benin,1990,,7.4
Benin,1995,,7.6
Benin,2000,,8.2
Benin,2005,,8.9
Benin,2006,,9.1
Benin,2010,,9.7
Benin,2016,,10.4
Bermuda,1990,,33.2
Bermuda,1995,,33
Bermuda,2000,,32.9
Bermuda,2005,,29.1
Bermuda,2006,,29.3
Bermuda,2010,,27.4
Bermuda,2016,,24.9
Bhutan,1990,,9.4
Bhutan,1995,,8.7
Bhutan,2000,,7.4
Bhutan,2005,,7.4
Bhutan,2006,,7.3
Bhutan,2010,,7.3
Bhutan,2016,,7.8
Bolivia,1990,,9
Bolivia,1995,,8.9
Bolivia,2000,,8.2
Bolivia,2005,,8.8
Bolivia,2006,,8.7
Bolivia,2010,,8.6
Bolivia,2016,,9.2
Bosnia and Herzegovina,1990,,35.9
Bosnia and Herzegovina,1995,,35.4
Bosnia and Herzegovina,2000,,35.4
Bosnia and Herzegovina,2005,,34.3
Bosnia and Herzegovina,2006,,34.3
Bosnia and Herzegovina,2010,,34.3
Bosnia and Herzegovina,2016,,33.6
Botswana,1990,,23.6
Botswana,1995,,25.7
Botswana,2000,,27.2
Botswana,2005,,24.9
Botswana,2006,,24.8
Botswana,2010,,24.2
Botswana,2016,,22
Brazil,1990,,19.5
Brazil,1995,,20.1
Brazil,2000,,19.8
Brazil,2005,,19.1
Brazil,2006,,18.8
Brazil,2010,,17.8
Brazil,2016,,17
Brunei,1990,,20.3
Brunei,1995,,19.6
Brunei,2000,,20
Brunei,2005,,20.4
Brunei,2006,,20.5
Brunei,2010,,21
Brunei,2016,,21.4
Bulgaria,1990,,25.7
Bulgaria,1995,,27.2
Bulgaria,2000,,26.1
Bulgaria,2005,,27.7
Bulgaria,2006,,27.8
Bulgaria,2010,,27.7
Bulgaria,2016,,26.3
Burkina Faso,1990,,4.5
Burkina Faso,1995,,4.6
Burkina Faso,2000,,4.7
Burkina Faso,2005,,4
Burkina Faso,2006,,4
Burkina Faso,2010,,4.2
Burkina Faso,2016,,4.6
Burundi,1990,,7.7
Burundi,1995,,7.5
Burundi,2000,,5.6
Burundi,2005,,4.5
Burundi,2006,,4.5
Burundi,2010,,4.4
Burundi,2016,,4.8
Cambodia,1990,,24
Cambodia,1995,,24.7
Cambodia,2000,,24.6
Cambodia,2005,,25.4
Cambodia,2006,,25.4
Cambodia,2010,,26
Cambodia,2016,,26.8
Cameroon,1990,,9.9
Cameroon,1995,,10
Cameroon,2000,,11
Cameroon,2005,,11.6
Cameroon,2006,,11.7
Cameroon,2010,,11.7
Cameroon,2016,,12.1
Canada,1990,,36.3
Canada,1995,,37
Canada,2000,,36.2
Canada,2005,,36.4
Canada,2006,,36.4
Canada,2010,,34.4
Canada,2016,,33.4
Cape Verde,1990,,16
Cape Verde,1995,,18.5
Cape Verde,2000,,19
Cape Verde,2005,,19.8
Cape Verde,2006,,19.9
Cape Verde,2010,,20.5
Cape Verde,2016,,19.8
Caribbean,1990,,21.6
Caribbean,1995,,21.2
Caribbean,2000,,21.3
Caribbean,2005,,21.5
Caribbean,2006,,21.6
Caribbean,2010,,21.4
Caribbean,2016,,21.4
Central African Republic,1990,,11.5
Central African Republic,1995,,11.9
Central African Republic,2000,,12.3
Central African Republic,2005,,12.4
Central African Republic,2006,,12.4
Central African Republic,2010,,12.4
Central African Republic,2016,,12.3
Central Asia,1990,,29.7
Central Asia,1995,,28.5
Central Asia,2000,,24.8
Central Asia,2005,,23.7
Central Asia,2006,,23.5
Central Asia,2010,,21.8
Central Asia,2016,,20.1
Central Europe,1990,,32.2
Central Europe,1995,,33.1
Central Europe,2000,,33.1
Central Europe,2005,,33.4
Central Europe,2006,,33.4
Central Europe,2010,,33.6
Central Europe,2016,,31.4
Central Sub-Saharan Africa,1990,,8.4
Central Sub-Saharan Africa,1995,,8
Central Sub-Saharan Africa,2000,,7.6
Central Sub-Saharan Africa,2005,,6.8
Central Sub-Saharan Africa,2006,,6.8
Central Sub-Saharan Africa,2010,,7.1
Central Sub-Saharan Africa,2016,,8.4
Chad,1990,,5.1
Chad,1995,,5.4
Chad,2000,,6.8
Chad,2005,,7.1
Chad,2006,,7.3
Chad,2010,,8.3
Chad,2016,,9.1
Chile,1990,,16.1
Chile,1995,,15.7
Chile,2000,,14.1
Chile,2005,,14.3
Chile,2006,,14.4
Chile,2010,,14.6
Chile,2016,,14.3
China,1990,,18.3
China,1995,,18.6
China,2000,,20.8
China,2005,,23.4
China,2006,,23.2
China,2010,,23.9
China,2016,,22
Colombia,1990,,14.8
Colombia,1995,,15.3
Colombia,2000,,14.7
Colombia,2005,,14.7
Colombia,2006,,14.8
Colombia,2010,,13.6
Colombia,2016,,11.5
Comoros,1990,,5.5
Comoros,1995,,5.5
Comoros,2000,,4.5
Comoros,2005,,4.2
Comoros,2006,,4.2
Comoros,2010,,4.4
Comoros,2016,,4.5
Congo,1990,,15.7
Congo,1995,,15.7
Congo,2000,,14
Congo,2005,,11.4
Congo,2006,,11.2
Congo,2010,,10.7
Congo,2016,,11.1
Costa Rica,1990,,9.7
Costa Rica,1995,,8.9
Costa Rica,2000,,8.4
Costa Rica,2005,,6.9
Costa Rica,2006,,6.4
Costa Rica,2010,,5.4
Costa Rica,2016,,5.3
Cote d'Ivoire,1990,,4.4
Cote d'Ivoire,1995,,5.7
Cote d'Ivoire,2000,,5.3
Cote d'Ivoire,2005,,4.7
Cote d'Ivoire,2006,,4.7
Cote d'Ivoire,2010,,4.5
Cote d'Ivoire,2016,,4.5
Croatia,1990,,32.8
Croatia,1995,,33
Croatia,2000,,34
Croatia,2005,,33.2
Croatia,2006,,33
Croatia,2010,,31.8
Croatia,2016,,30
Cuba,1990,,31.2
Cuba,1995,,31
Cuba,2000,,32.4
Cuba,2005,,33.6
Cuba,2006,,33.7
Cuba,2010,,33.4
Cuba,2016,,33.2
Cyprus,1990,,19.2
Cyprus,1995,,19.2
Cyprus,2000,,19
Cyprus,2005,,21.7
Cyprus,2006,,21.6
Cyprus,2010,,23.2
Cyprus,2016,,21.8
Czech Republic,1990,,32.9
Czech Republic,1995,,31.9
Czech Republic,2000,,31.2
Czech Republic,2005,,30
Czech Republic,2006,,29.8
Czech Republic,2010,,29.3
Czech Republic,2016,,25.9
Democratic Republic of Congo,1990,,6.1
Democratic Republic of Congo,1995,,5.9
Democratic Republic of Congo,2000,,5.7
Democratic Republic of Congo,2005,,4.9
Democratic Republic of Congo,2006,,5
Democratic Republic of Congo,2010,,5.4
Democratic Republic of Congo,2016,,7
Denmark,1990,,35.3
Denmark,1995,,36.3
Denmark,2000,,35.5
Denmark,2005,,35.8
Denmark,2006,,35.6
Denmark,2010,,34.6
Denmark,2016,,32.3
Djibouti,1990,,4.8
Djibouti,1995,,4.5
Djibouti,2000,,4.4
Djibouti,2005,,4.4
Djibouti,2006,,4.4
Djibouti,2010,,4.7
Djibouti,2016,,4.9
Dominica,1990,,13.1
Dominica,1995,,13.9
Dominica,2000,,12.5
Dominica,2005,,11.9
Dominica,2006,,11.9
Dominica,2010,,12.3
Dominica,2016,,12.7
Dominican Republic,1990,,12.5
Dominican Republic,1995,,12.9
Dominican Republic,2000,,12.9
Dominican Republic,2005,,11.7
Dominican Republic,2006,,11.6
Dominican Republic,2010,,11.5
Dominican Republic,2016,,11.7
East Asia,1990,,19
East Asia,1995,,19.4
East Asia,2000,,21.6
East Asia,2005,,24.1
East Asia,2006,,24
East Asia,2010,,24.6
East Asia,2016,,22.8
Eastern Europe,1990,,32.5
Eastern Europe,1995,,34.1
Eastern Europe,2000,,30.4
Eastern Europe,2005,,28.9
Eastern Europe,2006,,27.9
Eastern Europe,2010,,26
Eastern Europe,2016,,24.3
Eastern Sub-Saharan Africa,1990,,4.5
Eastern Sub-Saharan Africa,1995,,4.1
Eastern Sub-Saharan Africa,2000,,3.7
Eastern Sub-Saharan Africa,2005,,3.7
Eastern Sub-Saharan Africa,2006,,3.8
Eastern Sub-Saharan Africa,2010,,4
Eastern Sub-Saharan Africa,2016,,4.6
Ecuador,1990,,5.3
Ecuador,1995,,6.5
Ecuador,2000,,6.2
Ecuador,2005,,6.6
Ecuador,2006,,6.4
Ecuador,2010,,6.2
Ecuador,2016,,5.3
Egypt,1990,,5.6
Egypt,1995,,6
Egypt,2000,,6.5
Egypt,2005,,7.4
Egypt,2006,,7.6
Egypt,2010,,8.3
Egypt,2016,,8.1
El Salvador,1990,,4.6
El Salvador,1995,,4.2
El Salvador,2000,,4.5
El Salvador,2005,,5.2
El Salvador,2006,,5.1
El Salvador,2010,,4.9
El Salvador,2016,,5.3
England,1990,,35.5
England,1995,,34.2
England,2000,,32.8
England,2005,,32.2
England,2006,,31.9
England,2010,,31.1
England,2016,,30.6
Equatorial Guinea,1990,,11.2
Equatorial Guinea,1995,,10.4
Equatorial Guinea,2000,,12.3
Equatorial Guinea,2005,,12
Equatorial Guinea,2006,,12.3
Equatorial Guinea,2010,,12.5
Equatorial Guinea,2016,,12.8
Eritrea,1990,,4.8
Eritrea,1995,,3.4
Eritrea,2000,,3.2
Eritrea,2005,,3.6
Eritrea,2006,,3.6
Eritrea,2010,,3.6
Eritrea,2016,,3.8
Estonia,1990,,33.8
Estonia,1995,,34.7
Estonia,2000,,31.2
Estonia,2005,,30.3
Estonia,2006,,30.4
Estonia,2010,,26.8
Estonia,2016,,25.1
Ethiopia,1990,,5.8
Ethiopia,1995,,4.3
Ethiopia,2000,,3.2
Ethiopia,2005,,2.9
Ethiopia,2006,,3
Ethiopia,2010,,3.3
Ethiopia,2016,,4.1
