Entity,Year,Accidents involving casualties,Deaths,Deaths (per million vehicles),Injuries,Road deaths per 100 million vehicle kilometres
Albania,1994,,421,,,
Albania,1995,,306,,,
Albania,1996,,256,,,
Albania,1997,,266,,,
Albania,1998,,308,,,
Albania,1999,,274,,,
Albania,2000,,280,,,
Albania,2001,,297,,,
Albania,2002,,250,,,
Albania,2003,,260,,,
Albania,2004,,315,,,
Albania,2005,,308,,,
Albania,2006,,277,,,
Albania,2007,,384,,,
Albania,2008,,303,,,
Albania,2009,,378,,,
Albania,2010,,353,,,
Albania,2011,,322,,,
Albania,2012,,334,,,
Albania,2013,,295,,,
Albania,2014,,264,,,
Albania,2015,,270,,,
Armenia,1997,,261,,,
Armenia,1998,,316,,,
Armenia,1999,,229,,,
Armenia,2000,,214,,,
Armenia,2001,,237,,,
Armenia,2002,,235,,,
Armenia,2003,,252,,,
Armenia,2004,,259,,,
Armenia,2005,,310,,,
Armenia,2006,,332,,,
Armenia,2007,,371,,,
Armenia,2008,,407,,,
Armenia,2009,,325,,,
Armenia,2010,,294,,,
Armenia,2011,,327,,,
Armenia,2012,,311,,,
Armenia,2013,,316,,,
Armenia,2014,,297,,,
Armenia,2015,,346,,,
Australia,1970,,3798,,,
Australia,1971,,3590,,,
Australia,1972,,3422,,,
Australia,1973,,3679,,,
Australia,1974,,3572,,,
Australia,1975,,3694,,,
Australia,1976,,3583,,,
Australia,1977,,3578,,,
Australia,1978,,3705,,,
Australia,1979,,3508,,,
Australia,1980,,3272,,,
Australia,1981,,3321,,,
Australia,1982,,3252,,,
Australia,1983,,2755,,,
Australia,1984,,2822,,,
Australia,1985,,2941,,,
Australia,1986,,2888,,,
Australia,1987,,2772,,,
Australia,1988,,2887,,,
Australia,1989,,2800,,,
Australia,1990,,2331,,,
Australia,1991,,2113,,,
Australia,1992,,1974,,,
Australia,1993,,1953,,,
Australia,1994,,1928,,,
Australia,1995,,2017,,,
Australia,1996,,1970,,,
Australia,1997,,1767,,,
