Entity,Year,"Share of workers in financial sector (GGDC, 2017)","Share of population in financial sector (GGDC, 2017)",Share of workers in financial sector
Argentina,1960,0.011588779,0.011588779,
Argentina,1961,0.011475219,0.011475219,
Argentina,1962,0.012152972,0.012152972,
Argentina,1963,0.012946222,0.012946222,
Argentina,1964,0.012426776,0.012426776,
Argentina,1965,0.01220937,0.01220937,
Argentina,1966,0.012761151,0.012761151,
Argentina,1967,0.013006526,0.013006526,
Argentina,1968,0.013244378,0.013244378,
Argentina,1969,0.012510633,0.012510633,
Argentina,1970,0.011941013,0.011941013,
Argentina,1971,0.011571686,0.011571686,
Argentina,1972,0.011949345,0.011949345,
Argentina,1973,0.012125891,0.012125891,
Argentina,1974,0.012786921,0.012786921,
Argentina,1975,0.016676568,0.016676568,
Argentina,1976,0.014045641,0.014045641,
Argentina,1977,0.009846327,0.009846327,
Argentina,1978,0.014864441,0.014864441,
Argentina,1979,0.01382482,0.01382482,
Argentina,1980,0.014736327,0.014736327,
Argentina,1981,0.017310178,0.017310178,
Argentina,1982,0.01713083,0.01713083,
Argentina,1983,0.018581141,0.018581141,
Argentina,1984,0.017269239,0.017269239,
Argentina,1985,0.020360215,0.020360215,
Argentina,1986,0.020314904,0.020314904,
Argentina,1987,0.018146548,0.018146548,
Argentina,1988,0.018419709,0.018419709,
Argentina,1989,0.018470546,0.018470546,
Argentina,1990,0.018901505,0.018901505,
Argentina,1991,0.01944138,0.01944138,
Argentina,1992,0.01925187,0.01925187,
Argentina,1993,0.021592983,0.021592983,
Argentina,1994,0.024347893,0.024347893,
Argentina,1995,0.023967338,0.023967338,
Argentina,1996,0.025353394,0.025353394,
Argentina,1997,0.027008928,0.027008928,
Argentina,1998,0.028665064,0.028665064,
Argentina,1999,0.031377456,0.031377456,
Argentina,2000,0.031080675,0.031080675,
Argentina,2001,0.030002427,0.030002427,
Argentina,2002,0.028724062,0.028724062,
Argentina,2003,0.029522388,0.029522388,
Argentina,2004,0.030343489,0.030343489,
Argentina,2005,0.03400112,0.03400112,
Argentina,2006,0.036728687,0.036728687,
Argentina,2007,0.039522732,0.039522732,
Argentina,2008,0.039320985,0.039320985,
Argentina,2009,0.041189192,0.041189192,
Argentina,2010,0.042079674,0.042079674,
Argentina,2011,0.041955549,0.041955549,
Bolivia,1960,0.001135314,0.001135314,
Bolivia,1961,0.001101164,0.001101164,
Bolivia,1962,0.001128663,0.001128663,
Bolivia,1963,0.001138667,0.001138667,
Bolivia,1964,0.001223383,0.001223383,
Bolivia,1965,0.001190996,0.001190996,
Bolivia,1966,0.001195772,0.001195772,
Bolivia,1967,0.001211372,0.001211372,
Bolivia,1968,0.001305105,0.001305105,
Bolivia,1969,0.001490245,0.001490245,
Bolivia,1970,0.001592141,0.001592141,
Bolivia,1971,0.001692152,0.001692152,
Bolivia,1972,0.001935398,0.001935398,
Bolivia,1973,0.002008703,0.002008703,
Bolivia,1974,0.002078001,0.002078001,
Bolivia,1975,0.002214249,0.002214249,
Bolivia,1976,0.002370341,0.002370341,
Bolivia,1977,0.002492585,0.002492585,
Bolivia,1978,0.002657097,0.002657097,
Bolivia,1979,0.002725727,0.002725727,
Bolivia,1980,0.002747523,0.002747523,
Bolivia,1981,0.002686215,0.002686215,
Bolivia,1982,0.002652513,0.002652513,
Bolivia,1983,0.003033765,0.003033765,
Bolivia,1984,0.003663879,0.003663879,
Bolivia,1985,0.004235367,0.004235367,
Bolivia,1986,0.003530111,0.003530111,
Bolivia,1987,0.003827138,0.003827138,
Bolivia,1988,0.003920654,0.003920654,
Bolivia,1989,0.004459745,0.004459745,
Bolivia,1990,0.005486952,0.005486952,
Bolivia,1991,0.007783912,0.007783912,
Bolivia,1992,0.009113356,0.009113356,
Bolivia,1993,0.010304063,0.010304063,
Bolivia,1994,0.009934758,0.009934758,
Bolivia,1995,0.009717776,0.009717776,
Bolivia,1996,0.010616854,0.010616854,
Bolivia,1997,0.012260737,0.012260737,
Bolivia,1998,0.011112101,0.011112101,
Bolivia,1999,0.010069777,0.010069777,
Bolivia,2000,0.015996853,0.015996853,
Bolivia,2001,0.013547399,0.013547399,
Bolivia,2002,0.0103982,0.0103982,
Bolivia,2003,0.010526544,0.010526544,
Bolivia,2004,0.010996332,0.010996332,
Bolivia,2005,0.011770702,0.011770702,
Bolivia,2006,0.016711013,0.016711013,
Bolivia,2007,0.015211417,0.015211417,
Bolivia,2008,0.01455131,0.01455131,
Bolivia,2009,0.017610608,0.017610608,
Bolivia,2010,0.032319126,0.032319126,
Botswana,1964,0.002082006,0.002082006,
Botswana,1965,0.002258616,0.002258616,
Botswana,1966,0.002517602,0.002517602,
Botswana,1967,0.002772517,0.002772517,
Botswana,1968,0.00286033,0.00286033,
