Entity,Year,Social Expenditure %GDP - (OWID extrapolated series),Social Expenditure %GDP - OECD (1985),Social Expenditure %GDP - OECD (SOCX),Social Expenditure %GDP - Lindert_Historical (2004),Social Expenditure %GDP - Lindert_OECD_Old (2004),Social Expenditure %GDP - Lindert_OECD_New (2004)
Australia,1880,0,,,0,,
Australia,1890,0,,,0,,
Australia,1900,0,,,0,,
Australia,1910,1.12,,,1.12,,
Australia,1920,1.66,,,1.66,,
Australia,1930,2.11,,,2.11,,
Australia,1960,5.93012553,7.388657043,,,7.39,
Australia,1961,6.333481916,7.891220099,,,,
Australia,1962,6.285261018,7.831139131,,,,
Australia,1963,6.199258799,7.723984418,,,,
Australia,1964,5.976754619,7.446754692,,,,
Australia,1965,6.059972782,7.550440603,,,,
Australia,1966,5.921643458,7.378088782,,,,
Australia,1967,5.652750976,7.043061417,,,,
Australia,1968,5.676263156,7.072356485,,,,
Australia,1969,5.849024071,7.287608447,,,,
Australia,1970,5.914159614,7.368764265,,,7.37,
Australia,1971,6.211192705,7.738853503,,,,
Australia,1972,6.638595805,8.271377631,,,,
Australia,1973,7.012542058,8.737297045,,,,
Australia,1974,8.39848658,10.46411863,,,,
Australia,1975,10.15894538,12.65756735,,,,
Australia,1976,10.59740856,13.20387182,,,,
Australia,1977,10.9222346,13.60858977,,,,
Australia,1978,10.6378896,13.25430929,,,,
Australia,1979,10.29641421,12.82884704,,,,
Australia,1980,10.268,12.79344428,10.268,,12.79,10.9
Australia,1981,,13.04127405,,,,
Australia,1985,12.088,,12.088,,,
Australia,1990,13.131,,13.131,,,13.57
Australia,1995,16.871,,16.871,,,14.84
Australia,2000,18.242,,18.242,,,
Australia,2005,16.681,,16.681,,,
Australia,2010,16.706,,16.706,,,
Australia,2013,18.109,,18.109,,,
Australia,2014,18.697,,18.697,,,
Australia,2015,18.794,,18.794,,,
Australia,2016,19.146,,19.146,,,
Austria,1880,0,,,0,,
Austria,1890,0,,,0,,
Austria,1900,0,,,0,,
Austria,1910,0,,,0,,
Austria,1920,0,,,0,,
Austria,1930,1.2,,,1.2,,
Austria,1960,14.99186298,15.88383373,,,15.88,
Austria,1961,14.99976284,15.89220362,,,,
Austria,1962,15.90124034,16.84731631,,,,
Austria,1963,16.29504608,17.26455231,,,,
Austria,1964,16.2562269,17.2234235,,,,
Austria,1965,16.46515979,17.44478727,,,,
Austria,1966,16.70533011,17.699247,,,,
Austria,1967,17.5085993,18.5503083,,,,
Austria,1968,17.04526279,18.05940465,,,,
Austria,1969,17.88484547,18.94893998,,,,
Austria,1970,17.84083333,18.90230925,,,18.9,
Austria,1971,17.98526652,19.05533578,,,,
Austria,1972,17.83411503,18.89519122,,,,
Austria,1973,17.67992692,18.73182939,,,,
Austria,1974,18.13958036,19.21883083,,,,
Austria,1975,19.78976937,20.96720112,,,,
Austria,1976,20.49304033,21.71231459,,,,
Austria,1977,20.49407434,21.71341012,,,,
Austria,1978,22.12682645,23.44330607,,,,
Austria,1979,22.07379021,23.38711433,,,,
Austria,1980,21.959,23.26549445,21.959,,23.27,23.43
Austria,1981,,23.87873636,,,,
Austria,1985,23.261,,23.261,,,
Austria,1990,23.205,,23.205,,,24.54
Austria,1995,25.998,,25.998,,,21.39
Austria,2000,25.487,,25.487,,,
Austria,2005,25.936,,25.936,,,
Austria,2010,27.577,,27.577,,,
Austria,2013,27.559,,27.559,,,
Austria,2014,27.854,,27.854,,,
Austria,2015,28.03,,28.03,,,
Austria,2016,27.786,,27.786,,,
Belgium,1880,0.17,,,0.17,,
Belgium,1890,0.22,,,0.22,,
Belgium,1900,0.26,,,0.26,,
Belgium,1910,0.43,,,0.43,,
Belgium,1920,0.52,,,0.52,,
Belgium,1930,0.56,,,0.56,,
Belgium,1960,10.02010637,13.14135938,,,13.14,
Belgium,1961,10.48927026,13.75666734,,,,
Belgium,1962,10.99132453,14.41511101,,,,
Belgium,1963,11.41547067,14.97137825,,,,
Belgium,1964,11.42834488,14.98826276,,,,
Belgium,1965,12.24171024,16.0549906,,,,
Belgium,1966,12.98460026,17.02929011,,,,
Belgium,1967,13.38371551,17.55272937,,,,
Belgium,1968,14.40560157,18.8929319,,,,
Belgium,1969,14.41783948,18.9089819,,,,
Belgium,1970,14.68352941,19.25743398,,,19.26,
Belgium,1971,14.96647344,19.62851478,,,,
Belgium,1972,15.86459354,20.80639838,,,,
