Entity,Year,Time spent on personal care (Eurostat),Time spent in employment (Eurostat),Time spent in study (Eurostat),Time spent on household and family care (Eurostat),"Time spent on leisure, social, and associative life (Eurostat)",Time spent on travel (Eurostat),Participation time in personal care (Eurostat),Participation time in employment (Eurostat),Participation time in study (Eurostat),Participation time in household and family care (Eurostat),"Participation time in leisure, social, and associative life (Eurostat)",Participation time in travel (Eurostat),Participation rate in personal care (Eurostat) ,Participation rate in employment (Eurostat),Participation rate in study (Eurostat),Participation rate in household and family care (Eurostat),"Participation rate in leisure, social, and associative life activities (Eurostat)",Participation rate in travel (Eurostat)
Austria,2010,,201,22,,306,,454.66275,327.27271,218.88562,159.06158,219.58943,60.527859,,,,,,
Belgium,2000,,149.20723,14.019471,,331.46036,,488.14813,319.25925,153.33333,158.51851,246.66666,74.074074,,,,,,
Belgium,2010,,131,35,,341,,463.89261,306.50046,227.8044,140.13423,238.15915,63.509106,,,,,,
Bulgaria,2000,,181.25174,5.0069542,,255.35466,,487.60806,338.21326,201.95966,181.21037,181.21037,49.798271,,,,,,
Estonia,2000,,222.46347,7.0146141,,278.58038,,467.92609,354.08624,161.88911,184.0657,211.41684,60.616016,,,,,,
Estonia,2010,,164,21,,323,,461.54733,326.61221,208.97646,148.77463,228.35175,65.737625,,,,,,
Finland,2000,,190.58824,15.126051,,338.82355,,463.35541,330.44363,187.2514,146.86385,248.19989,63.885773,,,,,,
Finland,2010,,144.10007,24.016678,,365.25363,,465.62875,314.01199,189.70061,135.08983,264.43115,71.137726,,,,,,
France,2000,,181.25174,15.020863,,264.36719,,503.6803,309.73853,208.14998,167.65663,193.94179,56.832756,,,,,,
France,2010,,147,26,,303,,488.43338,288.84335,222.07907,149.69254,218.56516,72.386528,,,,,,
Germany,2000,,161.67365,13.054394,,329.37241,,482.97675,319.2558,159.25581,160.74419,245.58139,72.186043,,,,,,
Germany,2010,,152,19,,351,,481.69525,306.5994,184.54086,141.67508,257.19476,68.294647,,,,,,
Greece,2010,,128,27,,344,,473.51651,295.10944,250.17233,141.5184,232.06334,47.619934,,,,,,
Hungary,2010,,143,28,,300,,483.49344,301.83405,219.38864,164.89082,213.79912,56.593884,,,,,,
Italy,2000,,182.37996,12.025053,,275.57413,,473.44388,319.60974,207.92195,177.71707,196.68292,64.62439,,,,,,
Italy,2010,,162,26,,294,,467.47034,309.59659,233.05173,164.70811,204.34741,60.825817,,,,,,
Latvia,2000,,251.52402,10.020877,,265.55325,,476.8212,360.91696,178.25777,151.11563,202.46561,70.422821,,,,,,
Lithuania,2000,,245.51149,10.020877,,253.5282,,483.94049,349.47153,185.44896,166.97795,192.83736,61.323757,,,,,,
Luxembourg,2010,,193.86537,30.978487,,274.80914,,488.50815,318.34564,229.01035,132.58493,198.5229,73.028069,,,,,,
Netherlands,2010,,152,23,,334,,501.89645,296.70938,177.13992,132.11685,251.68631,80.45105,,,,,,
Norway,2000,,201.41963,14.029228,,346.72235,,460.08301,317.4274,194.19087,143.4025,260.66391,64.232368,,,,,,
Norway,2010,,172.11952,28.019457,,353.2453,,458.54749,306.42966,207.69934,136.75978,259.62418,70.93956,,,,,,
Poland,2000,,186.64809,14.048781,,296.02789,,485.4433,321.40207,179.62886,172.20618,221.93814,59.381443,,,,,,
Poland,2010,,173,23,,302,,469.94641,321.24695,219.54213,158.51924,216.03506,54.710178,,,,,,
Romania,2010,,176,21,,266,,494.36984,297.59537,239.1888,168.96185,189.12602,50.758087,,,,,,
Serbia,2010,,155,20,,329,,477.62378,288,217.42575,164.67328,235.9604,56.316833,,,,,,
Slovenia,2000,,197.13689,17.011812,,299.20776,,463.35541,330.44363,179.17389,185.78276,223.23303,58.011219,,,,,,
Spain,2000,,193.26843,19.026426,,291.40472,,479.52142,336.66998,181.61516,168.69392,213.91824,59.581257,,,,,,
Spain,2010,,156,27,,311,,484.22906,312.95154,202.99559,157.1806,224.14096,58.502201,,,,,,
Turkey,2010,,169,26,,327,,476.30771,319.15387,198,159.23077,230.53847,56.769234,,,,,,
United Kingdom,2000,,197.23271,9.0566044,,309.93713,,476.48718,338.73495,156.57083,160.33455,234.85625,73.016205,,,,,,
United Kingdom,2010,,156.89105,21.984732,,314.7814,,466.96832,299.72852,199.81902,138.28055,232.39819,102.80544,,,,,,
