Entity,Year,Number of people working in agriculture (GGDC 2017),Number of people working in mining (GGDC 2017),Number of people working in manufacturing (GGDC 2017),Number of people working in utilities (GGDC 2017),Number of people working in construction (GGDC 2017),"Number of people working in trade, restaurants and hotels (GGDC 2017)","Number of people working in transport, storage and communication (GGDC 2017)","Number of people working in finance, insurance, real estate and business services (GGDC 2017)",Number of people working in government services (GGDC 2017),"Number of people working in community, social and personal services (GGDC 2017)",Total number of people in all 10 sectors (GGDC 2017)
Argentina,1950,,,1603.24866597811,,,,,,,,
Argentina,1951,,,1640.92708383160,,,,,,,,
Argentina,1952,,,1690.11746707231,,,,,,,,
Argentina,1953,,,1578.12448600909,,,,,,,,
Argentina,1954,,,1721.99745056554,,,,,,,,
Argentina,1955,,,1839.94429635162,,,,,,,,
Argentina,1956,,,1870.17729477377,,,,,,,,
Argentina,1957,,,1939.58033693973,,,,,,,,
Argentina,1958,,,2042.99899831195,,,,,,,,
Argentina,1959,,,1931.85646987761,,,,,,,,
Argentina,1960,,,2050.89165108905,,,,,,,,
Argentina,1961,,,2087.51201456977,,,,,,,,
Argentina,1962,,,1990.25955280056,,,,,,,,
Argentina,1963,,,1927.19581078167,,,,,,,,
Argentina,1964,,,2029.15705114941,,,,,,,,
Argentina,1965,,,2094.27236832946,,,,,,,,
Argentina,1966,,,2051.68717353798,,,,,,,,
Argentina,1967,,,1979.70325453009,,,,,,,,
Argentina,1968,,,2005.64108095778,,,,,,,,
Argentina,1969,,,2049.49721669568,,,,,,,,
Argentina,1970,,,2013.22310513385,,,,,,,,
Argentina,1971,,,2009.78450884952,,,,,,,,
Argentina,1972,,,2012.01418205706,,,,,,,,
Argentina,1973,,,2004.78249648490,,,,,,,,
Argentina,1974,,,2068.43539479266,,,,,,,,
Argentina,1975,,,1984.92287047065,,,,,,,,
Argentina,1976,,,1982.92002934498,,,,,,,,
Argentina,1977,,,2038.03390450827,,,,,,,,
Argentina,1978,,,2079.36348668137,,,,,,,,
Argentina,1979,,,2029.68332401827,,,,,,,,
Argentina,1980,,,2078.71171657911,,,,,,,,
Argentina,1981,,,1924.81477516975,,,,,,,,
Argentina,1982,,,1781.20452704589,,,,,,,,
Argentina,1983,,,1895.70926663447,,,,,,,,
Argentina,1984,,,2104.91781289477,,,,,,,,
Argentina,1985,,,1939.15802479339,,,,,,,,
Argentina,1986,,,2090.73998283316,,,,,,,,
Argentina,1987,,,2100.29945920086,,,,,,,,
Argentina,1988,,,2097.52791957862,,,,,,,,
Argentina,1989,,,2068.87626529153,,,,,,,,
Argentina,1990,,,2081.92364777204,,,,,,,,
Argentina,1991,,,2105.20726298773,,,,,,,,
Argentina,1992,,,2140.86379189767,,,,,,,,
Argentina,1993,,,2041.90097527257,,,,,,,,
Argentina,1994,,,1977.54630188224,,,,,,,,
Argentina,1995,,,1732.22029272105,,,,,,,,
Argentina,1996,,,1693.11152301351,,,,,,,,
Argentina,1997,,,1802.98659021542,,,,,,,,
Argentina,1998,,,1774.27709156832,,,,,,,,
Argentina,1999,,,1674.43464632901,,,,,,,,
Argentina,2000,,,1614.19818931220,,,,,,,,
Argentina,2001,,,1558.87987596659,,,,,,,,
Argentina,2002,,,1456.16822319796,,,,,,,,
Argentina,2003,,,1626.66991193286,,,,,,,,
Argentina,2004,,,1833.86804336662,,,,,,,,
Argentina,2005,,,1879.97243672046,,,,,,,,
Argentina,2006,,,1965.80340717893,,,,,,,,
Argentina,2007,,,2058.36845606898,,,,,,,,
Argentina,2008,,,2080.60192240547,,,,,,,,
Argentina,2009,,,1979.56197698692,,,,,,,,
Argentina,2010,,,2097.05297519891,,,,,,,,
Argentina,2011,,,2163.60207787852,,,,,,,,
Bolivia,1950,,,117.17786841217,,,,,,,,
Bolivia,1951,,,117.08795575486,,,,,,,,
Bolivia,1952,,,115.31912204915,,,,,,,,
Bolivia,1953,,,121.50604447254,,,,,,,,
Bolivia,1954,,,140.88023102922,,,,,,,,
Bolivia,1955,,,139.40724099447,,,,,,,,
Bolivia,1956,,,132.99345476217,,,,,,,,
Bolivia,1957,,,93.03642803681,,,,,,,,
Bolivia,1958,,,91.09551002822,,,,,,,,
Bolivia,1959,,,89.23672472001,,,,,,,,
Bolivia,1960,,,91.72401587926,,,,,,,,
Bolivia,1961,,,89.47989175935,,,,,,,,
Bolivia,1962,,,97.34967877636,,,,,,,,
Bolivia,1963,,,98.38118116548,,,,,,,,
Bolivia,1964,,,105.74070941187,,,,,,,,
Bolivia,1965,,,110.92662087394,,,,,,,,
Bolivia,1966,,,120.69012244613,,,,,,,,
Bolivia,1967,,,125.82937529654,,,,,,,,
Bolivia,1968,,,120.70282962159,,,,,,,,
Bolivia,1969,,,135.63049377715,,,,,,,,
Bolivia,1970,,,137.75197718946,,,,,,,,
Bolivia,1971,,,141.66909011890,,,,,,,,
Bolivia,1972,,,149.18258302647,,,,,,,,
Bolivia,1973,,,154.53407544734,,,,,,,,
Bolivia,1974,,,169.12793741856,,,,,,,,
Bolivia,1975,,,176.09729334941,,,,,,,,
Bolivia,1976,,,186.54708940731,,,,,,,,
Bolivia,1977,,,195.74580193085,,,,,,,,
Bolivia,1978,,,202.70465239467,,,,,,,,
Bolivia,1979,,,207.74629043879,,,,,,,,
Bolivia,1980,,,212.43402955692,,,,,,,,
Bolivia,1981,,,194.44809862683,,,,,,,,
Bolivia,1982,,,171.91522403020,,,,,,,,
Bolivia,1983,,,166.88966916400,,,,,,,,
Bolivia,1984,,,167.15019802574,,,,,,,,
Bolivia,1985,,,158.22173714114,,,,,,,,
Bolivia,1986,,,155.27145926517,,,,,,,,
Bolivia,1987,,,162.16060772421,,,,,,,,
Bolivia,1988,,,153.87195774073,,,,,,,,
Bolivia,1989,,,162.57264408580,,,,,,,,
Bolivia,1990,,,204.85837517800,,,,,,,,
Bolivia,1991,,,241.32830655972,,,,,,,,
Bolivia,1992,,,264.30046108936,,,,,,,,
Bolivia,1993,,,264.18945807573,,,,,,,,
Bolivia,1994,,,294.95638132480,,,,,,,,
Bolivia,1995,,,318.94014156988,,,,,,,,
Bolivia,1996,,,357.78042213828,,,,,,,,
Bolivia,1997,,,387.69466813621,,,,,,,,
Bolivia,1998,,,385.02479122136,,,,,,,,
Bolivia,1999,,,384.03780152823,,,,,,,,
Bolivia,2000,,,357.06494819316,,,,,,,,
Bolivia,2001,,,396.81489015802,,,,,,,,
Bolivia,2002,,,488.43394889957,,,,,,,,
Bolivia,2003,,,484.57801855410,,,,,,,,
Bolivia,2004,,,515.24312687450,,,,,,,,
Bolivia,2005,,,515.38519741871,,,,,,,,
Bolivia,2006,,,513.18704520538,,,,,,,,
Bolivia,2007,,,544.14153976064,,,,,,,,
Bolivia,2008,,,554.57916373781,,,,,,,,
Bolivia,2009,,,580.44126018825,,,,,,,,
Bolivia,2010,,,603.80782940397,,,,,,,,
Botswana,1964,,,2.42000000000,,,,,,,,
Botswana,1965,,,2.33040613597,,,,,,,,
Botswana,1966,,,1.28164155871,,,,,,,,
Botswana,1967,,,1.04162328395,,,,,,,,
Botswana,1968,,,1.06933164200,,,,,,,,
Botswana,1969,,,2.12440192970,,,,,,,,
Botswana,1970,,,2.87332309076,,,,,,,,
Botswana,1971,,,3.23800000000,,,,,,,,
Botswana,1972,,,3.63461728023,,,,,,,,
Botswana,1973,,,3.62744199142,,,,,,,,
Botswana,1974,,,3.89773544946,,,,,,,,
Botswana,1975,,,4.21989797973,,,,,,,,
Botswana,1976,,,4.34830645424,,,,,,,,
Botswana,1977,,,3.91719259424,,,,,,,,
Botswana,1978,,,3.85409404253,,,,,,,,
Botswana,1979,,,4.47069583498,,,,,,,,
Botswana,1980,,,4.22418824842,,,,,,,,
Botswana,1981,,,4.48000000000,,,,,,,,
Botswana,1982,,,5.24727910387,,,,,,,,
Botswana,1983,,,7.43586288415,,,,,,,,
Botswana,1984,,,7.50468608978,,,,,,,,
Botswana,1985,,,8.14231217105,,,,,,,,
Botswana,1986,,,10.44662520142,,,,,,,,
Botswana,1987,,,13.10500365018,,,,,,,,
Botswana,1988,,,15.22184474785,,,,,,,,
Botswana,1989,,,21.45260533612,,,,,,,,
Botswana,1990,,,24.44764163449,,,,,,,,
Botswana,1991,,,27.54800000000,,,,,,,,
Botswana,1992,,,23.45280784977,,,,,,,,
Botswana,1993,,,22.56697450407,,,,,,,,
Botswana,1994,,,24.29240554895,,,,,,,,
Botswana,1995,,,26.97099213895,,,,,,,,
Botswana,1996,,,27.44952042189,,,,,,,,
Botswana,1997,,,28.75135463053,,,,,,,,
Botswana,1998,,,28.76340310866,,,,,,,,
Botswana,1999,,,35.48331265598,,,,,,,,
Botswana,2000,,,38.49760847373,,,,,,,,
Botswana,2001,,,38.96800000000,,,,,,,,
Botswana,2002,,,37.33514458457,,,,,,,,
Botswana,2003,,,36.10297055056,,,,,,,,
Botswana,2004,,,39.68664874736,,,,,,,,
Botswana,2005,,,35.34492268143,,,,,,,,
Botswana,2006,,,35.97300000000,,,,,,,,
Botswana,2007,,,45.44502057469,,,,,,,,
Botswana,2008,,,41.45706278890,,,,,,,,
Botswana,2009,,,41.13167009965,,,,,,,,
Botswana,2010,,,43.34754194223,,,,,,,,
Brazil,1950,,,2254.32499507853,,,,,,,,
Brazil,1951,,,2325.63847542306,,,,,,,,
Brazil,1952,,,2399.28314541310,,,,,,,,
Brazil,1953,,,2475.33820569900,,,,,,,,
Brazil,1954,,,2553.88560584732,,,,,,,,
Brazil,1955,,,2635.01013546805,,,,,,,,
Brazil,1956,,,2718.79951776367,,,,,,,,
Brazil,1957,,,2805.34450552493,,,,,,,,
Brazil,1958,,,2894.73897959704,,,,,,,,
Brazil,1959,,,2987.08004983929,,,,,,,,
Brazil,1960,,,3082.46815860063,,,,,,,,
Brazil,1961,,,3200.66647106648,,,,,,,,
Brazil,1962,,,3323.19110067922,,,,,,,,
Brazil,1963,,,3450.17825746654,,,,,,,,
Brazil,1964,,,3581.76677367810,,,,,,,,
Brazil,1965,,,3718.09808117349,,,,,,,,
Brazil,1966,,,3859.31619269920,,,,,,,,
Brazil,1967,,,4005.56768871459,,,,,,,,
Brazil,1968,,,4157.00171157935,,,,,,,,
Brazil,1969,,,4313.76996905974,,,,,,,,
Brazil,1970,,,4476.02674924321,,,,,,,,
Brazil,1971,,,4508.58427896349,,,,,,,,
Brazil,1972,,,4537.44958985993,,,,,,,,
Brazil,1973,,,5326.36159409485,,,,,,,,
Brazil,1974,,,5600.39761708935,,,,,,,,
Brazil,1975,,,5885.90322179313,,,,,,,,
Brazil,1976,,,6183.02723420434,,,,,,,,
Brazil,1977,,,6927.90264871110,,,,,,,,
Brazil,1978,,,6922.76887203482,,,,,,,,
Brazil,1979,,,7070.15572309014,,,,,,,,
Brazil,1980,,,6346.74275731344,,,,,,,,
Brazil,1981,,,7345.42723109070,,,,,,,,
Brazil,1982,,,7599.79504137706,,,,,,,,
Brazil,1983,,,7404.80398384035,,,,,,,,
Brazil,1984,,,7695.57208746469,,,,,,,,
Brazil,1985,,,8618.14409773676,,,,,,,,
Brazil,1986,,,9822.09810012580,,,,,,,,
Brazil,1987,,,9910.39279447012,,,,,,,,
Brazil,1988,,,10330.77542173510,,,,,,,,
Brazil,1989,,,10652.03285964330,,,,,,,,
Brazil,1990,,,10452.07036313390,,,,,,,,
Brazil,1991,,,9931.04796569336,,,,,,,,
Brazil,1992,,,9484.07951306669,,,,,,,,
Brazil,1993,,,9502.01804628247,,,,,,,,
Brazil,1994,,,9574.69210392592,,,,,,,,
Brazil,1995,,,9534.56038538547,,,,,,,,
Brazil,1996,,,9204.13511586824,,,,,,,,
Brazil,1997,,,8970.15991189609,,,,,,,,
Brazil,1998,,,8447.18145179865,,,,,,,,
Brazil,1999,,,8964.31515387517,,,,,,,,
Brazil,2000,,,9493.70800000000,,,,,,,,
Brazil,2001,,,9352.25800000000,,,,,,,,
Brazil,2002,,,9650.55000000000,,,,,,,,
Brazil,2003,,,9984.71200000000,,,,,,,,
Brazil,2004,,,10809.82200000000,,,,,,,,
Brazil,2005,,,11673.76400000000,,,,,,,,
Brazil,2006,,,11643.04900000000,,,,,,,,
Brazil,2007,,,12094.95400000000,,,,,,,,
Brazil,2008,,,12520.28500000000,,,,,,,,
Brazil,2009,,,12255.78500000000,,,,,,,,
Brazil,2010,,,12175.30892566490,,,,,,,,
Brazil,2011,,,11840.71384385750,,,,,,,,
Chile,1950,,,418.02553796808,,,,,,,,
Chile,1951,,,379.13944190353,,,,,,,,
Chile,1952,,,348.08377849371,,,,,,,,
Chile,1953,,,350.79585580417,,,,,,,,
Chile,1954,,,557.50052440601,,,,,,,,
Chile,1955,,,517.76523564733,,,,,,,,
Chile,1956,,,548.22442020804,,,,,,,,
Chile,1957,,,508.74720868839,,,,,,,,
Chile,1958,,,460.98050152858,,,,,,,,
Chile,1959,,,508.57391517941,,,,,,,,
Chile,1960,,,445.86005572600,,,,,,,,
Chile,1961,,,447.70502689438,,,,,,,,
Chile,1962,,,449.02722177375,,,,,,,,
Chile,1963,,,447.21356732837,,,,,,,,
Chile,1964,,,490.29490091824,,,,,,,,
Chile,1965,,,537.34178264210,,,,,,,,
Chile,1966,,,539.02978920946,,,,,,,,
Chile,1967,,,553.98588279504,,,,,,,,
Chile,1968,,,564.41010237937,,,,,,,,
Chile,1969,,,570.59760378689,,,,,,,,
Chile,1970,,,567.83792063603,,,,,,,,
Chile,1971,,,603.22213859761,,,,,,,,
Chile,1972,,,640.87709434408,,,,,,,,
Chile,1973,,,680.88932422582,,,,,,,,
Chile,1974,,,660.64765309779,,,,,,,,
Chile,1975,,,595.64939946864,,,,,,,,
Chile,1976,,,598.74913586057,,,,,,,,
Chile,1977,,,627.16615029698,,,,,,,,
Chile,1978,,,606.85537592342,,,,,,,,
Chile,1979,,,616.98399978641,,,,,,,,
Chile,1980,,,572.10080315611,,,,,,,,
Chile,1981,,,563.02590417376,,,,,,,,
Chile,1982,,,464.09348378242,,,,,,,,
Chile,1983,,,458.27389447959,,,,,,,,
Chile,1984,,,504.53634076177,,,,,,,,
Chile,1985,,,510.06650953336,,,,,,,,
Chile,1986,,,578.68015122315,,,,,,,,
Chile,1987,,,648.44502516078,,,,,,,,
Chile,1988,,,702.79705175463,,,,,,,,
Chile,1989,,,775.39888442667,,,,,,,,
Chile,1990,,,790.80983760222,,,,,,,,
Chile,1991,,,803.67421454189,,,,,,,,
Chile,1992,,,840.76368353573,,,,,,,,
Chile,1993,,,844.90244454933,,,,,,,,
Chile,1994,,,823.79720852257,,,,,,,,
Chile,1995,,,831.83728583120,,,,,,,,
Chile,1996,,,839.88382469062,,,,,,,,
Chile,1997,,,848.60674959911,,,,,,,,
Chile,1998,,,822.02787055920,,,,,,,,
Chile,1999,,,737.97458812248,,,,,,,,
Chile,2000,,,735.09902471841,,,,,,,,
Chile,2001,,,715.12734252886,,,,,,,,
Chile,2002,,,722.48547377299,,,,,,,,
Chile,2003,,,746.63129970595,,,,,,,,
Chile,2004,,,744.67932923291,,,,,,,,
Chile,2005,,,724.48721327352,,,,,,,,
Chile,2006,,,751.33008218063,,,,,,,,
Chile,2007,,,769.69494599644,,,,,,,,
Chile,2008,,,760.31811216047,,,,,,,,
Chile,2009,,,753.16611259402,,,,,,,,
Chile,2010,,,680.02489234357,,,,,,,,
Chile,2011,,,719.71029055429,,,,,,,,
Chile,2012,,,742.26078033242,,,,,,,,
China,1952,,,11653.47992113780,,,,,,,,
China,1953,,,13054.02878167950,,,,,,,,
China,1954,,,14325.17910619290,,,,,,,,
China,1955,,,14561.14114247980,,,,,,,,
China,1956,,,18785.62275987460,,,,,,,,
China,1957,,,16304.21553956700,,,,,,,,
China,1958,,,53860.23770213640,,,,,,,,
China,1959,,,41118.28774264280,,,,,,,,
China,1960,,,31299.22236167110,,,,,,,,
China,1961,,,21738.95405275600,,,,,,,,
China,1962,,,15672.44621660530,,,,,,,,
China,1963,,,15512.60096621730,,,,,,,,
China,1964,,,16616.29436175290,,,,,,,,
China,1965,,,18328.92204448060,,,,,,,,
China,1966,,,19790.36433374150,,,,,,,,
China,1967,,,20254.67672772540,,,,,,,,
China,1968,,,20878.83437209720,,,,,,,,
China,1969,,,23063.38612739870,,,,,,,,
China,1970,,,26777.88527927020,,,,,,,,
China,1971,,,30370.59757370320,,,,,,,,
China,1972,,,32547.53765041480,,,,,,,,
China,1973,,,34191.66022583330,,,,,,,,
China,1974,,,35866.22951561150,,,,,,,,
China,1975,,,39215.36809516770,,,,,,,,
China,1976,,,42709.12856793210,,,,,,,,
China,1977,,,44383.69785771020,,,,,,,,
China,1978,,,52863.10780685940,,,,,,,,
China,1979,,,54698.77429483930,,,,,,,,
China,1980,,,58515.84173642020,,,,,,,,
China,1981,,,60725.09110899400,,,,,,,,
China,1982,,,62797.57664828540,,,,,,,,
China,1983,,,64602.29948408530,,,,,,,,
China,1984,,,69863.55914266830,,,,,,,,
China,1985,,,73729.81309666930,,,,,,,,
China,1986,,,79817.28834800630,,,,,,,,
China,1987,,,83235.04325831590,,,,,,,,
China,1988,,,85157.85127109620,,,,,,,,
China,1989,,,83034.71445437490,,,,,,,,
China,1990,,,96398.34443191530,,,,,,,,
China,1991,,,98222.18656330070,,,,,,,,
China,1992,,,100040.98320474900,,,,,,,,
China,1993,,,102081.86607850600,,,,,,,,
China,1994,,,103369.56923950000,,,,,,,,
China,1995,,,104480.13544464900,,,,,,,,
China,1996,,,108029.64771482800,,,,,,,,
China,1997,,,109581.39846068700,,,,,,,,
