Entity,Year,Import trade share from labor-intensive countries (OWID calculations based on NBER- United Nations Trade Data 1962-2000),Import trade share from capital-intensive countries (OWID calculations based on NBER- United Nations Trade Data 1962-2000),Export trade share by labor-intensive countries (OWID calculations based on NBER- United Nations Trade Data 1962-2000),Export trade share by capital-intensive countries (OWID calculations based on NBER- United Nations Trade Data 1962-2000)
Afghanistan,1970,0.91750,3.09117,,
Afghanistan,1971,0.82207,5.35626,,
Afghanistan,1972,1.11046,4.10634,,
Afghanistan,1973,1.45529,4.97083,,
Afghanistan,1974,1.67256,6.16723,,
Afghanistan,1975,2.20517,9.03731,,
Afghanistan,1976,1.63522,6.66779,,
Afghanistan,1977,1.63107,9.13500,,
Afghanistan,1978,0.12161,7.39045,,
Afghanistan,1979,1.48320,7.76973,,
Afghanistan,1980,0.71301,6.60808,,
Afghanistan,1981,0.59981,6.15786,,
Afghanistan,1982,0.52927,6.33304,,
Afghanistan,1983,0.57515,7.15462,,
Afghanistan,1984,0.89878,6.32648,,
Afghanistan,1985,0.78106,7.06957,,
Afghanistan,1986,1.14160,9.30154,,
Afghanistan,1987,1.67138,13.48374,,
Afghanistan,1988,2.05900,12.07499,,
Afghanistan,1989,1.56445,8.18964,,
Afghanistan,1990,1.36161,8.84675,,
Afghanistan,1991,0.64860,9.43996,,
Afghanistan,1992,1.56248,7.72512,,
Afghanistan,1993,1.32473,10.20650,,
Afghanistan,1994,1.83444,10.69460,,
Afghanistan,1995,1.13781,7.46056,,
Afghanistan,1996,1.05798,12.23403,,
Afghanistan,1997,1.19667,10.62016,,
Afghanistan,1998,1.62430,8.60915,,
Afghanistan,1999,4.08674,8.16083,,
Afghanistan,2000,3.47258,9.01024,,
Albania,1970,0.11664,0.94979,,
Albania,1971,0.04258,0.95807,,
Albania,1972,0.06416,0.96995,,
Albania,1973,0.03262,1.40148,,
Albania,1974,0.13859,2.14679,,
Albania,1975,0.20770,2.38197,,
Albania,1976,0.08129,1.63243,,
Albania,1977,0.07263,2.25017,,
Albania,1978,0.02129,2.56692,,
Albania,1979,0.02075,4.06469,,
Albania,1980,0.00822,5.81939,,
Albania,1981,0.03658,5.65644,,
Albania,1982,0.20325,6.74258,,
Albania,1983,0.07027,5.14987,,
Albania,1984,0.09529,3.99934,,
Albania,1985,0.05320,3.76134,,
Albania,1986,0.00589,2.60936,,
Albania,1987,0.00642,3.01612,,
Albania,1988,0.00961,4.89303,,
Albania,1989,0.02028,6.09471,,
Albania,1990,0.00692,9.65049,,
Albania,1991,,30.02072,,
Albania,1992,,66.45760,,
Albania,1993,0.02939,44.65026,,
Albania,1994,,28.77371,,
Albania,1995,0.02533,30.88009,,
Albania,1996,0.02873,32.51699,,
Albania,1997,0.06361,28.21880,,
Albania,1998,0.06360,25.79938,,
Albania,1999,0.07876,25.31449,,
Albania,2000,0.01980,23.03602,,
Algeria,1962,1.45233,31.32736,,
Algeria,1963,0.26808,22.45733,,
Algeria,1964,0.42094,20.14014,,
Algeria,1965,0.51229,18.68243,,
Algeria,1966,0.34580,18.10801,,
Algeria,1967,0.28252,14.85016,,
Algeria,1968,0.25785,17.05182,,
Algeria,1969,0.27416,18.30799,,
Algeria,1970,0.54123,20.57731,,
Algeria,1971,0.44792,21.02666,,
Algeria,1972,0.38149,19.15626,,
Algeria,1973,0.46681,21.91509,,
Algeria,1974,0.60549,27.54553,,
Algeria,1975,0.77247,36.83125,,
Algeria,1976,0.29627,28.59558,,
Algeria,1977,0.40053,32.48261,,
Algeria,1978,0.39166,31.48118,,
Algeria,1979,0.17720,24.25679,,
Algeria,1980,0.31112,23.71040,,
Algeria,1981,0.38235,24.18871,,
Algeria,1982,0.03546,18.54539,,
Algeria,1983,0.33176,19.99441,,
Algeria,1984,0.23369,18.07868,,
Algeria,1985,0.22558,16.10937,,
