Entity,Year,Total electricity production (DECC (2016)),Coal (DECC (2016)),Oil (DECC (2016)),Gas (DECC (2016)),Nuclear (DECC (2016)),Natural flow hydropower (DECC (2016)),Wind and solar (DECC (2016)),Other fuels (DECC (2016))
United Kingdom,1920,,3.67,0.02,,,0,,
United Kingdom,1921,,3.1,0.09,,,0,,
United Kingdom,1922,,3.17,0.04,,,0,,
United Kingdom,1923,,3.57,0.05,,,0,,
United Kingdom,1924,,3.85,0.05,,,0,,
United Kingdom,1925,,4.04,0.04,,,0,,
United Kingdom,1926,,4.05,0.1,,,0,,
United Kingdom,1927,,4.6,0.03,,,0,,
United Kingdom,1928,,4.75,0.03,,,0.01,,
United Kingdom,1929,,5.13,0.03,,,0.01,,
United Kingdom,1930,,5.59,0.03,,,0.03,,0.13825001
United Kingdom,1931,,5.55,0.03,,,0.04,,0.14087086
United Kingdom,1932,,5.67,0.04,,,0.03,,0.16511376
United Kingdom,1933,,5.96,0.03,,,0.03,,0.15331992
United Kingdom,1934,,6.45,0.02,,,0.04,,0.1330083
United Kingdom,1935,,7.07,0.02,,,0.05,,0.11466233
United Kingdom,1936,,7.86,0.02,,,0.06,,0.11007584
United Kingdom,1937,,8.53,0.02,,,0.06,,0.13956044
United Kingdom,1938,,8.62,0.02,,,0.08,,0.11990404
United Kingdom,1939,,9.2,0.02,,,0.08,,0.15397513
United Kingdom,1940,,10.46,0.03,,,0.07,,0.16904504
United Kingdom,1941,,11.8,0.02,,,0.07,,0.18018366
United Kingdom,1942,,12.87,0.02,,,0.09,,0.20966826
United Kingdom,1943,,13.05,0.01,,,0.11,,0.20835784
United Kingdom,1944,,13.9,0.02,,,0.1,,0.22080689
United Kingdom,1945,,13.57,0.02,,,0.1,,0.2162204
United Kingdom,1946,,15.13,0.03,,,0.1,,0.24767063
United Kingdom,1947,,15.62,0.07,,,0.1,,0.14676778
United Kingdom,1948,,16.58,0.07,,,0.08,,0.27518959
United Kingdom,1949,,17.26,0.09,,,0.06,,0.50451426
United Kingdom,1950,,18.32,0.07,,,0.09,,0.57593251
United Kingdom,1951,,19.74,0.08,,,0.15,,0.5018934
United Kingdom,1952,,19.9,0.07,,,0.16,,0.54972398
United Kingdom,1953,,20.56,0.1,,,0.16,,0.59100241
United Kingdom,1954,,22.3,0.18,,,0.2,,0.72466593
United Kingdom,1955,,24.2,0.22,,,0.15,,0.67159365
United Kingdom,1956,,25.87,0.38,,0.02,0.2,,0.59100241
United Kingdom,1957,,26.34,0.6,,0.13,0.24,,0.55758654
United Kingdom,1958,,26.18,2.6,,0.1,0.23,,0.65848939
United Kingdom,1959,,26.21,4.25,,0.38,0.23,,0.75218489
United Kingdom,1960,,30.07,5.78,,0.65,0.27,,0.54
