Entity,Year,"Unemployment rate, ages 25-54,  advanced education","Unemployment rate, ages 25-54,  basic education","Unemployment rate, ages 25-54,  less than basic education","Unemployment rate, ages 25-54,  all levels of education","Unemployment rate, ages 25-54,  intermediate education","Unemployment rate, ages 25-54,  education level not stated"
Albania,2007,14.39999961853027,12.89999961853027,,,,
Albania,2008,8.5,10.5,,,,
Albania,2009,10.39999961853027,10.80000019073486,,,,
Albania,2010,8.800000190734863,11.30000019073486,,,,
Albania,2011,11.19999980926514,12.39999961853027,,,,
Albania,2012,13.39999961853027,11.69999980926514,,,,
Albania,2013,12.19999980926514,14.60000038146973,,,,
Albania,2014,14.30000019073486,14.10000038146973,,,,
Albania,2015,16.89999961853027,13.39999961853027,,,,
Angola,2004,12.19999980926514,14.5,,,,
Angola,2011,6.400000095367432,7.300000190734863,,,,
Argentina,2004,5.099999904632568,11,,,,
Argentina,2005,4.900000095367432,9.800000190734863,,,,
Argentina,2006,3.5,8.399999618530273,,,,
Argentina,2008,3.5,7,,,,
Argentina,2009,3.900000095367432,7.900000095367432,,,,
Argentina,2010,5.200000047683716,13,,,,
Argentina,2011,5.5,12.40000009536743,,,,
Argentina,2012,5.5,13.30000019073486,,,,
Argentina,2013,5.699999809265137,11.30000019073486,,,,
Argentina,2014,6,14,,,,
Argentina,2017,3.299999952316284,8.699999809265137,,,,
Armenia,2009,18,14.10000038146973,,,,
Armenia,2010,17.89999961853027,16.39999961853027,,,,
Armenia,2011,16.60000038146973,18,,,,
Armenia,2012,16,12.89999961853027,,,,
Armenia,2013,15.69999980926514,15.30000019073486,,,,
Armenia,2014,14.5,9.100000381469727,,,,
Armenia,2015,16.29999923706055,18.89999961853027,,,,
Armenia,2016,14.89999961853027,18.60000038146973,,,,
Australia,2009,3.599999904632568,7.699999809265137,,,,
Australia,2010,3,7.199999809265137,,,,
Australia,2011,2.900000095367432,6.699999809265137,,,,
Australia,2012,3,6.699999809265137,,,,
Australia,2013,3.299999952316284,8.199999809265137,,,,
Austria,1998,2.299999952316284,9.300000190734863,,,,
Austria,1999,2.099999904632568,8.100000381469727,,,,
Austria,2000,2.200000047683716,8.300000190734863,,,,
Austria,2001,2,6.5,,,,
Austria,2002,1.700000047683716,8.100000381469727,,,,
Austria,2003,2.299999952316284,8.399999618530273,,,,
Austria,2004,3.5,9.300000190734863,,,,
Austria,2005,3,10.10000038146973,,,,
Austria,2006,2.799999952316284,9,,,,
Austria,2007,2.599999904632568,8.600000381469727,,,,
Austria,2008,2,7.599999904632568,,,,
Austria,2009,2.700000047683716,10.39999961853027,,,,
