Entity,Year,Urban population (US Census Bureau (2010)),Rural population (US Census Bureau (2010)),Total population (US Census Bureau (2010)),Percentage of the population in urban areas (US Census Bureau (2010)),Percentage of the population in rural areas (US Census Bureau (2010))
United States,1790,201655,3727559,,,
United States,1800,322371,4986112,,,
United States,1810,525459,6714422,,,
United States,1820,693255,8945198,,,
United States,1830,1127247,11733455,,,
United States,1840,1845055,15218298,,,
United States,1850,3574496,19617380,,,
United States,1860,6216518,25226803,,,
United States,1870,9902361,28656010,,,
United States,1880,14358167,35797616,,,
United States,1890,22298359,40649355,,,
United States,1900,30380433,45614142,,,
United States,1910,42166120,49806146,,,
United States,1920,54304603,51406017,,,
United States,1930,68954823,53820223,,,
United States,1940,74423702,57245573,,,
United States,1950,96467686,54299675,,,
United States,1960,125268750,54054425,,,
United States,1970,149639720,53572206,,,
United States,1980,167054638,59491167,,,
United States,1990,187053487,61656386,,,
United States,2000,222360539,59061367,,,
United States,2010,249253271,59492267,,,
