Entity,Year,Percentage of urban population (Kuroda (1986)),Percentage of densely inhabited districts (D.I.D) (Kuroda (1986)),Percentage of rural population (Kuroda (1986)),Percentage of non-densely inhabited districts (D.I.D) (Kuroda (1986))
Japan,1898,11.9,,,
Japan,1903,13,,,
Japan,1908,14.5,,,
Japan,1913,15.6,,,
Japan,1920,18,30.2,,
Japan,1925,21.6,,,
Japan,1930,24,33.7,,
Japan,1935,32.7,,,
Japan,1940,37.7,36.4,,
Japan,1945,27.8,,,
Japan,1950,37.3,33.8,,
Japan,1955,56.1,38.5,,
Japan,1960,63.3,43.7,,
Japan,1965,67.90000000000001,48.1,,
Japan,1970,72.09999999999999,53.5,,
Japan,1975,75.90000000000001,57,,
Japan,1980,76.2,59.7,,
