Entity,Year,Favor spanking to discipline child - Strongly agree (US General Social Survey (2017)),Favor spanking to discipline child - Agree (US General Social Survey (2017)),Favor spanking to discipline child - Disagree (US General Social Survey (2017)),Favor spanking to discipline child - Strongly disagree (US General Social Survey (2017)),Favor spanking to discipline child - Don't know (US General Social Survey (2017)),Favor spanking to discipline child - No answer (US General Social Survey (2017)),Favor spanking to discipline child - Not applicable (US General Social Survey (2017))
United States,1986,404,816,195,45,9,,
United States,1988,302,476,145,55,8,,
United States,1989,315,455,169,55,9,,
United States,1990,261,466,154,36,8,,
United States,1991,263,485,194,65,15,,
United States,1993,243,538,210,70,15,,
United States,1994,522,909,357,162,20,,
United States,1996,512,890,357,164,33,,
United States,1998,486,880,336,133,34,,
United States,2000,588,780,328,144,33,,
United States,2002,272,387,176,64,6,,
United States,2004,222,433,182,60,8,,
United States,2006,532,893,402,143,20,,
United States,2008,342,608,280,78,18,,
United States,2010,336,647,324,110,10,,
United States,2012,302,598,277,100,21,,
United States,2014,378,777,365,139,12,,
United States,2016,457,817,440,152,15,,
