Entity,Year,Total water withdrawal per capita,Total water withdrawal,Municipal water as share of total withdrawal,Municipal water withdrawal,Irrigation water withdrawal,Irrigation water requirement,Industrial water as share of total withdrawal,Industrial water withdrawal,Agricultural water withdrawal,Agricultural water as share of total withdrawal
Afghanistan,1975,819.5,,,,,,,,,
Afghanistan,1985,2303,,,0.2611,,,,0,25.85,
Afghanistan,2000,943.8,,,0.1542,,,,0.1285,20,
Afghanistan,2005,,,,0.2034,,,,0.1695,,
Albania,1990,370.3,,,0.1,,,,0.1,1,
Albania,1995,,,,,,,,,0.67,
Albania,2000,588.5,,,0.5504,,,,0.2274,1.06,
Albania,2005,435.4,,,0.5613,,,,0.2318,0.5176,
Algeria,1970,130.1,,,,,,,,,
Algeria,1975,141.3,,,,,,,,,
Algeria,1980,145.8,,,0.66,,,,0.12,2.22,
Algeria,1985,146.3,,,,,,,,,
Algeria,1990,165.6,,,1.12,,,,0.68,2.7,
Algeria,2000,178.9,,,1.721,,,,0.5,3.502,
Algeria,2010,225,,,3.02,,,,0.415,4.99,
Angola,1985,46.67,,,0.067,,,,0.048,0.365,
Angola,2000,39.76,,,0.246,,,,0.1845,0.21,
Angola,2005,36.79,,,0.3195,,,,0.2396,0.1467,
Antigua and Barbuda,1990,78.83,,,0.003,,,,0.001,0.001,
Antigua and Barbuda,1995,,,,,,,,,0.0013,
Antigua and Barbuda,2005,99.53,,,0.0053,,,,0.0018,0.0013,
Antigua and Barbuda,2010,129.1,,,0.0072,,,,0.0025,0.0018,
Argentina,1975,1027,,,,,,,,,
Argentina,1995,797.6,,,4.56,,,,2.5,21.52,
Argentina,2000,,,,,,,,3.975,21.52,
Argentina,2010,897.5,,,5.85,,,,4,27.93,
Armenia,1995,932.1,,,0.865,,,,0.12,1.94,
Armenia,2000,568.8,,,0.5168,,,,0.0766,1.14,
Armenia,2005,956.5,,,0.843,,,,0.125,1.89,
Armenia,2010,987.6,,,0.243,,,,0.101,2.597,
Armenia,2015,1084,,,0.198,,,,0.125,2.949,
Australia,1995,1199,,,,,,,,15.5,
Australia,2000,1112,,,4.443,,,,2.227,15.03,
Australia,2005,894.4,,,4.191,,,,2.332,12.24,
Australia,2010,699.2,,,3.744,,,,2.688,9.587,
Australia,2015,724.7,,,4.015,,,,2.768,10.59,
Austria,1980,440.4,,,0.5582,,,,2.694,0.09,
Austria,1985,469.6,,,0.7088,,,,2.671,0.2,
Austria,1990,487.3,,,0.6851,,,,3.022,0.1,
Austria,1995,454.6,,,0.6871,,,,2.857,0.1,
Austria,2000,452,,,0.6687,,,,2.899,0.1,
Austria,2010,413,,,0.72,,,,2.695,0.0771,
Azerbaijan,1995,1579,,,0.222,,,,2.132,10.16,
Azerbaijan,2000,1216,,,0.503,,,,1.977,7.595,
Azerbaijan,2005,1393,,,0.521,,,,2.36,9.33,
Azerbaijan,2010,1279,,,,,,,,10.1,
Bahamas,2000,,,,0.025,,,,,,
Bahamas,2015,,,,0.031,,,,,,
Bahrain,1990,457.2,,,0.094,,,,0.01,0.135,
Bahrain,2000,,,,,,,,,0.17,
Bahrain,2005,348,,,0.1779,,,,0.0203,0.1592,
Bangladesh,1985,,,,0.675,,,,0.225,,
Bangladesh,1990,,,,1.7,,,,0.33,,
Bangladesh,2010,231,,,3.6,,,,0.77,31.5,
Barbados,1960,129,,,,,,,,,
Barbados,1990,,,,,,,,,0.0548,
Barbados,1995,303.5,,,0.02,,,,0.0062,0.0548,
Barbados,2005,293.3,,,0.02,,,,0.0062,0.0548,
Belarus,1995,196.2,,,0.752,,,,0.66,0.568,
Belarus,2000,187,,,0.8505,,,,0.5445,0.442,
Belarus,2005,178.5,,,0.803,,,,0.494,0.409,
Belarus,2010,163.1,,,0.5895,,,,0.4875,0.471,
